source,target,type
3,4,FS
4,5,FS
5,6,FS
6,8,FS
8,9,FS
9,10,FS
10,12,FS
12,13,FS
13,14,FS
3,16,FS
3,17,FS
3,18,FS
18,20,FS
20,21,FS
20,22,FS
22,23,FS
27,28,FS
28,30,FS
30,31,FS
31,33,FS
33,35,FS
35,36,FS
36,38,FS
38,39,FS
39,42,FS
42,44,FS
44,46,FS
46,47,FS
44,50,FS
50,51,FS
54,53,FS
51,54,FS
54,55,FS
55,57,FS
57,58,FS
58,59,FS
59,61,FS
61,62,FS
62,63,FS
63,66,FS
66,67,FS
67,68,FS
68,70,FS
70,71,FS
71,73,FS
73,74,FS
74,75,FS
75,78,FS
78,79,FS
79,80,FS
80,82,FS
86,84,FS
82,86,FS
86,87,FS
86,89,FS
89,90,FS
87,93,FS
93,94,FS
94,95,FS
86,97,FS
97,98,FS
98,99,FS
98,100,FS
95,101,FS
101,102,FS
102,105,FS
105,106,FS
102,108,FS
105,110,FS
110,112,FS
106,115,FS
110,117,FS
108,118,FS
118,120,FS
120,122,FS
122,123,FS
117,124,FS
123,125,FS
112,126,FS
108,127,FS
127,128,FS
124,130,FS
130,131,FS
131,132,FS
131,133,FS
130,134,FS
133,135,FS
132,136,FS
135,137,FS
136,138,FS
134,139,FS
132,140,FS
139,142,FS
137,144,FS
144,145,FS
135,146,FS
144,148,FS
148,149,FS
139,150,FS
150,151,FS
148,152,FS
152,153,FS
153,155,FS
155,156,FS
152,157,FS
151,158,FS
158,159,FS
155,160,FS
157,161,FS
151,162,FS
158,163,FS
163,165,FS
