source,target,type
5,4,FS
7,5,FS
7,8,FS
7,10,FS
186,11,FS
10,13,FS
13,14,FS
14,15,FS
15,16,FS
16,17,FS
17,18,FS
8,21,FS
21,22,FS
22,23,FS
23,24,FS
24,25,FS
25,27,FS
27,28,FS
28,29,FS
28,32,FS
53,33,FS
32,35,FS
61,36,FS
35,38,FS
70,39,FS
38,41,FS
78,42,FS
41,44,FS
44,46,FS
33,48,FS
32,51,FS
51,52,FS
52,53,FS
53,54,FS
54,55,FS
52,56,FS
35,59,FS
59,60,FS
60,61,FS
61,62,FS
60,63,FS
38,66,FS
66,67,FS
67,68,FS
68,69,FS
69,70,FS
70,71,FS
71,72,FS
71,73,FS
41,76,FS
76,77,FS
77,78,FS
78,79,FS
77,80,FS
44,83,FS
83,84,FS
84,85,FS
83,86,FS
85,88,FS
46,91,FS
91,92,FS
91,93,FS
92,94,FS
91,95,FS
94,97,FS
97,99,FS
99,101,FS
101,102,FS
102,103,FS
103,104,FS
104,105,FS
95,108,FS
114,109,FS
108,111,FS
111,112,FS
112,113,FS
113,114,FS
113,115,FS
115,118,FS
122,120,FS
118,122,FS
120,124,FS
124,126,FS
126,127,FS
127,128,FS
128,129,FS
129,130,FS
130,133,FS
133,134,FS
134,135,FS
134,137,FS
135,140,FS
154,141,FS
140,143,FS
164,144,FS
143,146,FS
172,147,FS
177,149,FS
140,152,FS
152,153,FS
153,154,FS
154,155,FS
154,156,FS
153,157,FS
156,159,FS
143,162,FS
162,163,FS
163,164,FS
164,165,FS
164,166,FS
163,167,FS
146,170,FS
170,171,FS
171,172,FS
172,173,FS
171,174,FS
159,176,FS
176,177,FS
177,180,FS
184,182,FS
180,184,FS
182,186,FS
