source,target,type
5,6,FS
6,7,FS
7,9,FS
7,12,FS
7,13,FS
7,14,FS
12,16,FS
12,17,FS
12,18,FS
12,19,FS
12,20,FS
12,21,FS
21,23,FS
21,24,FS
12,26,FS
23,28,FS
23,29,FS
5,32,FS
5,33,FS
33,34,FS
33,35,FS
5,38,FS
5,40,FS
38,41,FS
41,43,FS
38,45,FS
45,46,FS
41,47,FS
40,48,FS
48,49,FS
40,51,FS
51,52,FS
51,53,FS
51,54,FS
51,56,FS
51,57,FS
38,59,FS
29,62,FS
62,64,FS
64,66,FS
62,68,FS
68,69,FS
68,70,FS
68,72,FS
68,73,FS
64,75,FS
62,77,FS
104,78,FS
104,79,FS
104,80,FS
78,82,FS
78,83,FS
78,84,FS
78,87,FS
78,88,FS
78,89,FS
78,90,FS
87,93,FS
87,94,FS
87,96,FS
87,97,FS
87,98,FS
87,99,FS
93,101,FS
66,104,FS
66,105,FS
66,107,FS
66,109,FS
66,110,FS
77,113,FS
77,114,FS
77,115,FS
77,116,FS
224,117,FS
72,120,FS
72,121,FS
72,122,FS
72,123,FS
64,125,FS
64,126,FS
64,127,FS
64,128,FS
64,130,FS
64,131,FS
137,133,FS
133,134,FS
133,135,FS
125,137,FS
135,138,FS
135,139,FS
135,140,FS
135,141,FS
75,143,FS
75,144,FS
144,145,FS
144,146,FS
144,147,FS
147,148,FS
148,150,FS
150,151,FS
150,152,FS
151,154,FS
154,155,FS
154,156,FS
154,157,FS
72,160,FS
72,161,FS
72,162,FS
64,164,FS
137,166,FS
137,167,FS
137,168,FS
143,170,FS
143,171,FS
143,172,FS
143,173,FS
173,175,FS
72,178,FS
72,179,FS
72,180,FS
64,182,FS
64,183,FS
166,185,FS
166,186,FS
166,187,FS
185,189,FS
185,190,FS
185,191,FS
212,195,FS
195,196,FS
195,197,FS
195,198,FS
195,199,FS
195,200,FS
195,201,FS
196,204,FS
64,206,FS
206,207,FS
206,209,FS
209,210,FS
209,211,FS
209,212,FS
204,214,FS
204,215,FS
204,216,FS
204,217,FS
204,218,FS
157,221,FS
157,223,FS
157,224,FS
