source,target,type
6,7,FS
7,9,FS
9,10,FS
10,12,FS
12,13,FS
13,14,FS
14,16,FS
16,17,FS
17,18,FS
18,19,FS
19,20,FS
20,21,FS
21,22,FS
6,26,FS
26,27,FS
27,28,FS
28,29,FS
28,31,FS
31,32,FS
32,33,FS
33,34,FS
34,36,FS
6,39,FS
39,40,FS
40,41,FS
41,42,FS
41,44,FS
44,45,FS
45,46,FS
46,48,FS
48,50,FS
6,53,FS
53,54,FS
54,55,FS
54,57,FS
57,58,FS
58,59,FS
59,60,FS
60,62,FS
6,65,FS
65,66,FS
66,67,FS
67,68,FS
67,70,FS
70,71,FS
71,72,FS
72,73,FS
73,75,FS
75,77,FS
77,80,FS
80,81,FS
81,82,FS
82,83,FS
82,85,FS
85,86,FS
86,87,FS
87,88,FS
88,90,FS
6,93,FS
93,94,FS
94,95,FS
95,96,FS
95,98,FS
98,99,FS
99,100,FS
100,101,FS
101,103,FS
103,105,FS
105,108,FS
108,109,FS
109,110,FS
110,111,FS
109,113,FS
45,115,FS
115,116,FS
36,118,FS
118,120,FS
6,122,FS
122,124,FS
6,126,FS
126,127,FS
