source,target,type
6,7,FS
6,8,FS
6,9,FS
6,10,FS
10,12,FS
9,15,FS
9,16,FS
10,17,FS
15,18,FS
12,21,FS
21,22,FS
60,23,FS
23,24,FS
26,25,FS
90,26,FS
26,27,FS
26,28,FS
22,31,FS
46,33,FS
36,35,FS
55,36,FS
25,38,FS
38,40,FS
43,42,FS
25,43,FS
22,46,FS
31,47,FS
53,49,FS
46,50,FS
47,51,FS
51,52,FS
51,53,FS
56,55,FS
57,56,FS
58,57,FS
53,58,FS
61,60,FS
62,61,FS
63,62,FS
64,63,FS
58,64,FS
67,66,FS
68,67,FS
60,68,FS
68,69,FS
72,71,FS
73,72,FS
66,73,FS
76,75,FS
77,76,FS
73,77,FS
80,79,FS
81,80,FS
82,81,FS
83,82,FS
62,83,FS
87,86,FS
66,87,FS
86,89,FS
89,90,FS
90,92,FS
92,93,FS
93,94,FS
55,97,FS
102,100,FS
90,102,FS
102,103,FS
103,104,FS
104,105,FS
105,106,FS
106,108,FS
108,110,FS
110,112,FS
112,115,FS
106,118,FS
118,119,FS
119,120,FS
120,122,FS
118,124,FS
124,125,FS
125,126,FS
126,127,FS
127,129,FS
108,132,FS
132,133,FS
132,134,FS
132,135,FS
132,136,FS
132,137,FS
132,138,FS
132,139,FS
132,140,FS
132,141,FS
132,142,FS
142,145,FS
145,147,FS
147,148,FS
148,149,FS
149,150,FS
150,151,FS
145,154,FS
154,155,FS
155,156,FS
120,158,FS
158,160,FS
160,161,FS
161,162,FS
162,163,FS
147,166,FS
166,167,FS
166,169,FS
169,170,FS
170,171,FS
171,172,FS
25,174,FS
174,175,FS
175,176,FS
176,177,FS
177,178,FS
178,179,FS
179,180,FS
180,181,FS
181,183,FS
183,184,FS
184,185,FS
185,186,FS
198,189,FS
189,190,FS
190,191,FS
191,192,FS
192,193,FS
193,194,FS
203,196,FS
196,197,FS
197,198,FS
22,200,FS
200,201,FS
201,202,FS
202,203,FS
194,205,FS
205,206,FS
206,207,FS
207,208,FS
208,209,FS
209,210,FS
210,211,FS
211,212,FS
212,213,FS
213,214,FS
214,215,FS
215,216,FS
216,217,FS
217,218,FS
218,219,FS
219,220,FS
220,221,FS
229,224,FS
203,226,FS
226,227,FS
227,228,FS
228,229,FS
224,231,FS
231,232,FS
232,233,FS
233,234,FS
234,235,FS
235,236,FS
236,237,FS
237,238,FS
238,239,FS
239,240,FS
240,241,FS
241,242,FS
242,243,FS
243,244,FS
244,245,FS
245,246,FS
246,247,FS
247,248,FS
224,251,FS
251,254,FS
254,255,FS
255,256,FS
256,257,FS
257,258,FS
258,260,FS
260,261,FS
261,262,FS
262,265,FS
265,266,FS
266,267,FS
267,268,FS
268,269,FS
269,271,FS
271,272,FS
272,273,FS
273,274,FS
274,275,FS
275,276,FS
276,277,FS
277,279,FS
279,280,FS
279,281,FS
280,282,FS
282,285,FS
285,286,FS
286,287,FS
287,288,FS
288,290,FS
290,293,FS
293,295,FS
295,296,FS
296,297,FS
297,298,FS
298,300,FS
300,301,FS
301,302,FS
302,304,FS
304,306,FS
306,308,FS
308,309,FS
309,310,FS
310,311,FS
311,312,FS
312,314,FS
314,315,FS
315,316,FS
316,317,FS
317,318,FS
318,319,FS
319,321,FS
321,322,FS
322,323,FS
323,324,FS
324,325,FS
325,326,FS
326,327,FS
327,328,FS
328,329,FS
329,330,FS
317,332,FS
332,333,FS
333,334,FS
334,335,FS
335,336,FS
336,337,FS
337,338,FS
338,339,FS
338,341,FS
341,342,FS
342,343,FS
343,344,FS
172,347,FS
347,348,FS
348,349,FS
349,350,FS
350,351,FS
351,352,FS
352,353,FS
353,354,FS
354,355,FS
355,356,FS
356,358,FS
