source,target,type
6,7,FS
6,8,FS
6,9,FS
6,10,FS
6,12,FS
6,13,FS
6,14,FS
6,15,FS
6,17,FS
6,18,FS
6,19,FS
6,22,FS
6,24,FS
6,25,FS
6,26,FS
6,27,FS
27,28,FS
6,31,FS
13,34,FS
34,35,FS
35,36,FS
34,38,FS
38,39,FS
38,41,FS
41,42,FS
39,44,FS
70,45,FS
13,48,FS
48,49,FS
48,51,FS
51,52,FS
52,53,FS
52,54,FS
54,55,FS
55,57,FS
57,58,FS
58,60,FS
60,61,FS
61,62,FS
61,63,FS
61,64,FS
61,66,FS
61,67,FS
67,69,FS
67,70,FS
62,72,FS
83,75,FS
75,76,FS
76,77,FS
77,79,FS
79,80,FS
80,81,FS
84,83,FS
53,84,FS
83,85,FS
83,86,FS
83,88,FS
69,90,FS
90,91,FS
91,92,FS
90,93,FS
90,94,FS
90,95,FS
88,97,FS
97,98,FS
98,99,FS
97,101,FS
101,102,FS
102,103,FS
106,105,FS
53,106,FS
95,108,FS
110,109,FS
106,110,FS
108,111,FS
