source,target,type
6,7,FS
7,8,FS
8,9,FS
8,10,FS
8,12,FS
12,13,FS
13,14,FS
6,15,FS
13,17,FS
13,18,FS
18,19,FS
15,22,FS
6,23,FS
14,25,FS
22,26,FS
22,27,FS
22,28,FS
27,29,FS
29,30,FS
25,32,FS
38,35,FS
46,36,FS
32,37,FS
37,38,FS
61,39,FS
38,42,FS
38,43,FS
42,44,FS
38,45,FS
44,46,FS
44,47,FS
47,48,FS
39,50,FS
50,51,FS
48,53,FS
53,54,FS
48,55,FS
48,56,FS
54,57,FS
60,59,FS
35,60,FS
63,61,FS
60,62,FS
62,63,FS
61,64,FS
60,66,FS
66,67,FS
67,68,FS
57,71,FS
44,72,FS
71,73,FS
72,74,FS
84,75,FS
75,76,FS
76,77,FS
71,78,FS
37,80,FS
80,81,FS
71,83,FS
48,84,FS
83,85,FS
75,87,FS
85,89,FS
89,90,FS
90,91,FS
91,92,FS
96,93,FS
93,94,FS
92,95,FS
35,96,FS
95,97,FS
97,98,FS
