source,target,type
6,5,FS
5,8,FS
8,9,FS
9,10,FS
10,11,FS
6,12,FS
11,14,FS
16,17,FS
17,18,FS
18,19,FS
19,20,FS
20,21,FS
14,32,FS
121,34,FS
77,35,FS
32,36,FS
32,39,FS
42,41,FS
47,42,FS
45,44,FS
83,45,FS
35,47,FS
51,50,FS
39,51,FS
54,53,FS
50,54,FS
51,55,FS
58,57,FS
59,58,FS
55,59,FS
62,61,FS
63,62,FS
47,63,FS
66,65,FS
67,66,FS
61,67,FS
70,69,FS
71,70,FS
47,71,FS
74,73,FS
75,74,FS
44,75,FS
78,77,FS
79,78,FS
39,79,FS
47,82,FS
82,83,FS
83,85,FS
85,86,FS
86,87,FS
69,88,FS
93,90,FS
90,91,FS
69,93,FS
41,95,FS
86,96,FS
101,98,FS
87,100,FS
100,101,FS
103,102,FS
96,103,FS
98,104,FS
104,105,FS
108,106,FS
102,107,FS
105,108,FS
35,111,FS
111,113,FS
113,114,FS
114,115,FS
115,116,FS
73,118,FS
118,121,FS
127,122,FS
121,125,FS
125,127,FS
122,129,FS
