source,target,type
9,11,FS
11,12,FS
12,13,FS
13,14,FS
14,15,FS
14,17,FS
17,18,FS
18,19,FS
19,20,FS
147,28,FS
59,33,FS
33,35,FS
35,36,FS
36,37,FS
37,38,FS
38,39,FS
39,40,FS
39,42,FS
44,43,FS
42,44,FS
43,46,FS
46,48,FS
48,49,FS
49,50,FS
50,51,FS
51,52,FS
52,53,FS
53,54,FS
9,57,FS
57,59,FS
59,60,FS
60,61,FS
61,62,FS
62,63,FS
63,64,FS
63,66,FS
66,67,FS
67,69,FS
69,70,FS
70,71,FS
71,72,FS
72,73,FS
73,74,FS
74,75,FS
75,76,FS
73,77,FS
77,78,FS
78,79,FS
79,81,FS
81,82,FS
81,83,FS
82,84,FS
83,85,FS
84,86,FS
85,87,FS
86,88,FS
87,89,FS
9,92,FS
92,93,FS
93,95,FS
95,97,FS
97,98,FS
98,99,FS
99,100,FS
100,102,FS
102,104,FS
104,106,FS
106,108,FS
54,111,FS
111,113,FS
113,114,FS
114,116,FS
116,117,FS
117,118,FS
118,120,FS
120,121,FS
121,122,FS
122,124,FS
124,125,FS
111,128,FS
128,130,FS
130,131,FS
131,133,FS
133,134,FS
134,135,FS
135,136,FS
136,137,FS
137,138,FS
138,140,FS
140,141,FS
141,142,FS
142,144,FS
144,146,FS
146,147,FS
9,150,FS
150,151,FS
151,153,FS
153,155,FS
155,156,FS
156,158,FS
158,159,FS
159,160,FS
160,162,FS
162,163,FS
163,165,FS
165,167,FS
147,172,FS
172,173,FS
173,174,FS
116,179,FS
113,180,FS
