source,target,type
4,5,FS
4,6,FS
5,7,FS
4,9,FS
4,10,FS
4,11,FS
4,12,FS
7,16,FS
16,17,FS
17,18,FS
7,19,FS
7,20,FS
17,22,FS
22,23,FS
23,24,FS
18,25,FS
24,27,FS
27,28,FS
28,29,FS
29,30,FS
38,31,FS
27,32,FS
32,33,FS
33,34,FS
28,36,FS
34,37,FS
36,38,FS
34,40,FS
16,43,FS
18,44,FS
19,45,FS
7,46,FS
45,48,FS
48,49,FS
49,50,FS
50,51,FS
56,52,FS
49,54,FS
51,55,FS
55,56,FS
50,58,FS
58,60,FS
60,61,FS
56,62,FS
62,63,FS
63,65,FS
65,66,FS
66,68,FS
27,70,FS
7,72,FS
7,75,FS
7,77,FS
7,78,FS
12,80,FS
80,82,FS
4,84,FS
4,85,FS
