predecessor_id,successor_id
MFET-3008_A,MFET-3008_B
MFET-3008_A,MFET-3008_C
MFET-3008_B,MFET-3008_D
MFET-3008_B,MFET-3008_E
MFET-3008_C,MFET-3008_F
MFET-3008_C,MFET-3008_G
MFET-3008_D,MFET-3008_K
MFET-3008_E,MFET-3008_H
MFET-3008_F,MFET-3008_H
MFET-3008_G,MFET-3008_I
MFET-3008_H,MFET-3008_L
MFET-3008_H,MFET-3008_M
MFET-3008_I,MFET-3008_J
MFET-3008_J,MFET-3008_N
MFET-3008_K,MFET-3008_L
MFET-3008_L,MFET-3008_O
MFET-3008_L,MFET-3008_P
MFET-3008_M,MFET-3008_N
MFET-3008_N,MFET-3008_R
MFET-3008_O,MFET-3008_Q
MFET-3008_P,MFET-3008_Q
MFET-3008_Q,MFET-3008_R
MFET-3008_R,MFET-3008_S
MFET-3008_R,MFET-3008_T
MFET-3008_S,MFET-3008_U
MFET-3008_T,MFET-3008_U
