task_id,resource_id,request_quantity
MFET-3008_A,R1,1.0
MFET-3008_A,R2,1.0
MFET-3008_B,R1,1.0
MFET-3008_B,R2,1.0
MFET-3008_B,R4,1.0
MFET-3008_B,R6,1.0
MFET-3008_C,R1,1.0
MFET-3008_C,R3,1.0
MFET-3008_C,R5,1.0
MFET-3008_D,R2,1.0
MFET-3008_D,R4,1.0
MFET-3008_E,R1,1.0
MFET-3008_E,R2,1.0
MFET-3008_E,R4,1.0
MFET-3008_F,R1,1.0
MFET-3008_F,R3,1.0
MFET-3008_G,R3,1.0
MFET-3008_G,R8,1.0
MFET-3008_H,R3,1.0
MFET-3008_H,R4,1.0
MFET-3008_H,R8,1.0
MFET-3008_I,R1,1.0
MFET-3008_I,R8,1.0
MFET-3008_J,R3,1.0
MFET-3008_J,R5,1.0
MFET-3008_J,R8,1.0
MFET-3008_K,R3,1.0
MFET-3008_K,R4,1.0
MFET-3008_K,R8,1.0
MFET-3008_L,R3,1.0
MFET-3008_L,R5,1.0
MFET-3008_L,R6,1.0
MFET-3008_M,R3,1.0
MFET-3008_M,R4,1.0
MFET-3008_N,R5,1.0
MFET-3008_N,R6,1.0
MFET-3008_O,R4,1.0
MFET-3008_O,R7,1.0
MFET-3008_P,R4,1.0
MFET-3008_P,R6,1.0
MFET-3008_Q,R5,1.0
MFET-3008_Q,R6,1.0
MFET-3008_R,R3,1.0
MFET-3008_R,R4,1.0
MFET-3008_R,R5,1.0
MFET-3008_R,R6,1.0
MFET-3008_S,R3,1.0
MFET-3008_S,R4,1.0
MFET-3008_S,R8,1.0
MFET-3008_T,R4,1.0
MFET-3008_T,R5,1.0
MFET-3008_T,R6,1.0
MFET-3008_U,R5,1.0
MFET-3008_U,R6,1.0
