ID,name,type,unit_cost,max_availability
6,Labourers,Human,60.00,10.00
7,Truck IVECO Trakker,Equipment,70.00,6.00
8,Bulldozer D8T,Equipment,75.00,1.00
9,Wheel Loader,Equipment,60.00,2.00
10,Sheepfoot rolles,Machine,70.00,2.00
11,Smooth Roller,Equipment,60.00,2.00
12,Crawler Excavator,Equipment,98.00,2.00
13,Drilling Rid,Equipment,75.00,1.00
14,Concrete Mixer Truck,Equipment,95.00,1.00
15,Crane,Equipment,105.00,1.00
16,Paler,Equipment,65.00,1.00
17,Cold Milling Machine,Equipment,230.00,1.00
18,Pile Driver,Equipment,48.00,1.00
19,Pruning Machine,Equipment,40.00,1.00
20,Tank Truck,Equipment,78.00,1.00
21,Line Striper Machine,Equipment,30.00,1.00
