id,project_id,task_id,task_name,baseline_start,baseline_end,duration_hours,labor,material,equipment,energy,testing_inspection,project_management,facility,utilities,communication,training,quality_management,overtime,delay_penalty,inventory_holding,waiting_cost,idle_resource,revenue_delay,expediting,insurance,rework,warranty,litigation,regulatory_compliance,contingency_reserve,management_reserve,transportation,ordering,packaging,reverse_logistics,customs,supplier_coordination,opportunity_cost,capital_cost,financing_cost,npv_loss,esg_cost,carbon_tax,reputation_cost,total_cost,created_at,updated_at
50,C2012-04,C2012-04_1,Pegging and fence,2012-04-12 00:00:00+00:00,2012-04-13 02:00:00+00:00,9.00,1080.00,10000.00,630.00,157.50,356.97,367.68,245.12,122.56,122.56,61.28,183.84,0.00,245.12,245.12,122.56,122.56,183.84,122.56,306.40,245.12,183.84,122.56,183.84,306.40,245.12,306.40,122.56,61.28,183.84,122.56,245.12,122.56,245.12,245.12,183.84,183.84,122.56,122.56,18229.91,2026-08-14 17:16:18.558558+00:00,2026-08-14 17:16:18.558558+00:00
51,C2012-04,C2012-04_2,Clearing site,2012-04-13 00:00:00+00:00,2012-04-17 03:00:00+00:00,18.00,4320.00,0.00,4860.00,1215.00,319.14,328.71,219.14,109.57,109.57,54.79,164.36,0.00,219.14,219.14,109.57,109.57,164.36,109.57,273.93,219.14,164.36,109.57,164.36,273.93,219.14,273.93,109.57,54.79,164.36,109.57,219.14,109.57,219.14,219.14,164.36,164.36,109.57,109.57,16083.13,2026-08-14 17:16:18.558558+00:00,2026-08-14 17:16:18.558558+00:00
52,C2012-04,C2012-04_3,Levelling ground,2012-04-17 00:00:00+00:00,2012-04-18 02:00:00+00:00,9.00,1620.00,0.00,1845.00,461.25,120.56,124.17,82.78,41.39,41.39,20.70,62.09,0.00,82.78,82.78,41.39,41.39,62.09,41.39,103.48,82.78,62.09,41.39,62.09,103.48,82.78,103.48,41.39,20.70,62.09,41.39,82.78,41.39,82.78,82.78,62.09,62.09,41.39,41.39,6074.98,2026-08-14 17:16:18.558558+00:00,2026-08-14 17:16:18.558558+00:00
53,C2012-04,C2012-04_4,Containers placement,2012-04-18 00:00:00+00:00,2012-04-19 02:00:00+00:00,9.00,1080.00,0.00,1575.00,393.75,93.83,96.64,64.43,32.21,32.21,16.11,48.32,0.00,64.43,64.43,32.21,32.21,48.32,32.21,80.53,64.43,48.32,32.21,48.32,80.53,64.43,80.53,32.21,16.11,48.32,32.21,64.43,32.21,64.43,64.43,48.32,48.32,32.21,32.21,4721.02,2026-08-14 17:16:18.558558+00:00,2026-08-14 17:16:18.558558+00:00
54,C2012-04,C2012-04_5,Connection to network service,2012-04-19 00:00:00+00:00,2012-04-23 03:00:00+00:00,18.00,3240.00,0.00,1260.00,315.00,146.34,150.73,100.49,50.24,50.24,25.12,75.36,0.00,100.49,100.49,50.24,50.24,75.36,50.24,125.61,100.49,75.36,50.24,75.36,125.61,100.49,125.61,50.24,25.12,75.36,50.24,100.49,50.24,100.49,100.49,75.36,75.36,50.24,50.24,7423.22,2026-08-14 17:16:18.558558+00:00,2026-08-14 17:16:18.558558+00:00
55,C2012-04,C2012-04_6,Pegging road,2012-04-23 00:00:00+00:00,2012-04-24 02:00:00+00:00,9.00,1080.00,30000.00,630.00,157.50,956.97,985.68,657.12,328.56,328.56,164.28,492.84,0.00,657.12,657.12,328.56,328.56,492.84,328.56,821.40,657.12,492.84,328.56,492.84,821.40,657.12,821.40,328.56,164.28,492.84,328.56,657.12,328.56,657.12,657.12,492.84,492.84,328.56,328.56,48923.91,2026-08-14 17:16:18.558558+00:00,2026-08-14 17:16:18.558558+00:00
56,C2012-04,C2012-04_7,Alternative road system,2012-04-24 00:00:00+00:00,2012-04-30 05:00:00+00:00,36.00,15120.00,50095.00,19440.00,4860.00,2714.61,2796.05,1864.03,932.02,932.02,466.01,1398.02,0.00,1864.03,1864.03,932.02,932.02,1398.02,932.02,2330.04,1864.03,1398.02,932.02,1398.02,2330.04,1864.03,2330.04,932.02,466.01,1398.02,932.02,1864.03,932.02,1864.03,1864.03,1398.02,1398.02,932.02,932.02,137898.40,2026-08-14 17:16:18.558558+00:00,2026-08-14 17:16:18.558558+00:00
57,C2012-04,C2012-04_8,Demolition,2012-04-30 00:00:00+00:00,2012-05-01 02:00:00+00:00,9.00,2160.00,0.00,2727.00,681.75,171.15,176.29,117.53,58.76,58.76,29.38,88.14,0.00,117.53,117.53,58.76,58.76,88.14,58.76,146.91,117.53,88.14,58.76,88.14,146.91,117.53,146.91,58.76,29.38,88.14,58.76,117.53,58.76,117.53,117.53,88.14,88.14,58.76,58.76,8619.26,2026-08-14 17:16:18.558558+00:00,2026-08-14 17:16:18.558558+00:00
58,C2012-04,C2012-04_9,Clearing subbase and topsoil removal,2012-04-30 00:00:00+00:00,2012-05-04 05:00:00+00:00,36.00,6480.00,0.00,7380.00,1845.00,482.22,496.69,331.12,165.56,165.56,82.78,248.34,0.00,331.12,331.12,165.56,165.56,248.34,165.56,413.91,331.12,248.34,165.56,248.34,413.91,331.12,413.91,165.56,82.78,248.34,165.56,331.12,165.56,331.12,331.12,248.34,248.34,165.56,165.56,24299.70,2026-08-14 17:16:18.558558+00:00,2026-08-14 17:16:18.558558+00:00
59,C2012-04,C2012-04_14,Manhole covers,2012-05-04 00:00:00+00:00,2012-05-07 02:00:00+00:00,9.00,1620.00,3000.00,1575.00,393.75,200.03,206.03,137.35,68.67,68.67,34.34,103.01,0.00,137.35,137.35,68.67,68.67,103.01,68.67,171.69,137.35,103.01,68.67,103.01,171.69,137.35,171.69,68.67,34.34,103.01,68.67,137.35,68.67,137.35,137.35,103.01,103.01,68.67,68.67,10153.80,2026-08-14 17:16:18.558558+00:00,2026-08-14 17:16:18.558558+00:00
