task_id,baseline_start,duration_hours,labor,material,equipment,energy,testing_inspection,project_management,facility,utilities,communication,training,quality_management,overtime,delay_penalty,inventory_holding,waiting_cost,idle_resource,revenue_delay,expediting,insurance,rework,warranty,litigation,regulatory_compliance,contingency_reserve,management_reserve,transportation,ordering,packaging,reverse_logistics,customs,supplier_coordination,opportunity_cost,capital_cost,financing_cost,npv_loss,esg_cost,carbon_tax,reputation_cost,task_name,total_cost
C2012-08_1,2013-04-20T06:00:00+00:00,240.0,0.0,1044000.0,0.0,0.0,31946.4,32904.79,21936.53,10968.26,10968.26,5484.13,16452.4,0.0,21936.53,21936.53,10968.26,10968.26,16452.4,10968.26,27420.66,21936.53,16452.4,10968.26,16452.4,27420.66,21936.53,27420.66,10968.26,5484.13,16452.4,10968.26,21936.53,10968.26,21936.53,21936.53,16452.4,16452.4,10968.26,10968.26,Fabrication of pre-piling template,1613391.33
C2012-08_2,2013-05-05T06:00:00+00:00,160.0,0.0,58000.0,0.0,0.0,1774.8,1828.04,1218.7,609.35,609.35,304.67,914.02,0.0,1218.7,1218.7,609.35,609.35,914.02,609.35,1523.37,1218.7,914.02,609.35,914.02,1523.37,1218.7,1523.37,609.35,304.67,914.02,609.35,1218.7,609.35,1218.7,1218.7,914.02,914.02,609.35,609.35,Transportation of template and mounting on Jack Up Platform Buzzard,89632.88
C2012-08_3,2013-05-15T06:00:00+00:00,16.0,11840.0,0.0,51200.0,12800.0,2352.0,2422.56,1615.04,807.52,807.52,403.76,1211.28,0.0,1615.04,1615.04,807.52,807.52,1211.28,807.52,2018.8,1615.04,1211.28,807.52,1211.28,2018.8,1615.04,2018.8,807.52,403.76,1211.28,807.52,1615.04,807.52,1615.04,1615.04,1211.28,1211.28,807.52,807.52,Mobilisation of Jack Up Platform Buzzard,117760.48
C2012-08_551,2013-02-04T06:00:00+00:00,800.0,0.0,6264000.0,0.0,0.0,191678.4,197428.75,131619.17,65809.58,65809.58,32904.79,98714.38,0.0,131619.17,131619.17,65809.58,65809.58,98714.38,65809.58,164523.96,131619.17,98714.38,65809.58,98714.38,164523.96,131619.17,164523.96,65809.58,32904.79,98714.38,65809.58,131619.17,65809.58,131619.17,131619.17,98714.38,98714.38,65809.58,65809.58,Purchasing of pin-piles,9680348.01
C2012-08_11,2013-03-01T06:00:00+00:00,400.0,0.0,19200.0,0.0,0.0,587.52,605.15,403.43,201.72,201.72,100.86,302.57,0.0,403.43,403.43,201.72,201.72,302.57,201.72,504.29,403.43,302.57,201.72,302.57,504.29,403.43,504.29,201.72,100.86,302.57,201.72,403.43,201.72,403.43,403.43,302.57,302.57,201.72,201.72,Continious delivery of pin-piles,29671.61
C2012-08_6,2013-04-06T06:00:00+00:00,240.0,62400.0,0.0,796800.0,199200.0,32947.2,33935.62,22623.74,11311.87,11311.87,5655.94,16967.81,0.0,22623.74,22623.74,11311.87,11311.87,16967.81,11311.87,28279.68,22623.74,16967.81,11311.87,16967.81,28279.68,22623.74,28279.68,11311.87,5655.94,16967.81,11311.87,22623.74,11311.87,22623.74,22623.74,16967.81,16967.81,11311.87,11311.87,Mobilisation of vessels,1645628.9
C2012-08_7,2013-04-21T06:00:00+00:00,400.0,760000.0,0.0,1328000.0,332000.0,74592.0,76829.76,51219.84,25609.92,25609.92,12804.96,38414.88,0.0,51219.84,51219.84,25609.92,25609.92,38414.88,25609.92,64024.8,51219.84,38414.88,25609.92,38414.88,64024.8,51219.84,64024.8,25609.92,12804.96,38414.88,25609.92,51219.84,25609.92,51219.84,51219.84,38414.88,38414.88,25609.92,25609.92,Seabed preparations,3749478.08
C2012-08_526,2013-05-16T06:00:00+00:00,16.0,3680.0,4050.0,9600.0,2400.0,606.3,624.49,416.33,208.16,208.16,104.08,312.24,0.0,416.33,416.33,208.16,208.16,312.24,208.16,520.41,416.33,312.24,208.16,312.24,520.41,416.33,520.41,208.16,104.08,312.24,208.16,416.33,208.16,416.33,416.33,312.24,312.24,208.16,208.16,Delivery of pin-piles OTS,30536.26
C2012-08_527,2013-05-20T06:00:00+00:00,16.0,3680.0,4050.0,9600.0,2400.0,606.3,624.49,416.33,208.16,208.16,104.08,312.24,0.0,416.33,416.33,208.16,208.16,312.24,208.16,520.41,416.33,312.24,208.16,312.24,520.41,416.33,520.41,208.16,104.08,312.24,208.16,416.33,208.16,416.33,416.33,312.24,312.24,208.16,208.16,Delivery of pin-piles 1,30536.26
C2012-08_528,2013-05-24T06:00:00+00:00,16.0,3680.0,4050.0,9600.0,2400.0,606.3,624.49,416.33,208.16,208.16,104.08,312.24,0.0,416.33,416.33,208.16,208.16,312.24,208.16,520.41,416.33,312.24,208.16,312.24,520.41,416.33,520.41,208.16,104.08,312.24,208.16,416.33,208.16,416.33,416.33,312.24,312.24,208.16,208.16,Delivery of pin-piles 2,30536.26
C2012-08_529,2013-05-28T06:00:00+00:00,16.0,3680.0,4050.0,9600.0,2400.0,606.3,624.49,416.33,208.16,208.16,104.08,312.24,0.0,416.33,416.33,208.16,208.16,312.24,208.16,520.41,416.33,312.24,208.16,312.24,520.41,416.33,520.41,208.16,104.08,312.24,208.16,416.33,208.16,416.33,416.33,312.24,312.24,208.16,208.16,Delivery of pin-piles 3,30536.26
C2012-08_530,2013-06-01T06:00:00+00:00,16.0,3680.0,4050.0,9600.0,2400.0,606.3,624.49,416.33,208.16,208.16,104.08,312.24,0.0,416.33,416.33,208.16,208.16,312.24,208.16,520.41,416.33,312.24,208.16,312.24,520.41,416.33,520.41,208.16,104.08,312.24,208.16,416.33,208.16,416.33,416.33,312.24,312.24,208.16,208.16,Delivery of pin-piles 4,30536.26
C2012-08_531,2013-06-05T06:00:00+00:00,16.0,3680.0,4050.0,9600.0,2400.0,606.3,624.49,416.33,208.16,208.16,104.08,312.24,0.0,416.33,416.33,208.16,208.16,312.24,208.16,520.41,416.33,312.24,208.16,312.24,520.41,416.33,520.41,208.16,104.08,312.24,208.16,416.33,208.16,416.33,416.33,312.24,312.24,208.16,208.16,Delivery of pin-piles 5,30536.26
C2012-08_532,2013-06-10T06:00:00+00:00,16.0,3680.0,4050.0,9600.0,2400.0,606.3,624.49,416.33,208.16,208.16,104.08,312.24,0.0,416.33,416.33,208.16,208.16,312.24,208.16,520.41,416.33,312.24,208.16,312.24,520.41,416.33,520.41,208.16,104.08,312.24,208.16,416.33,208.16,416.33,416.33,312.24,312.24,208.16,208.16,Delivery of pin-piles 6,30536.26
C2012-08_533,2013-06-14T06:00:00+00:00,16.0,3680.0,4050.0,9600.0,2400.0,606.3,624.49,416.33,208.16,208.16,104.08,312.24,0.0,416.33,416.33,208.16,208.16,312.24,208.16,520.41,416.33,312.24,208.16,312.24,520.41,416.33,520.41,208.16,104.08,312.24,208.16,416.33,208.16,416.33,416.33,312.24,312.24,208.16,208.16,Delivery of pin-piles 7,30536.26
C2012-08_534,2013-06-18T06:00:00+00:00,16.0,3680.0,4050.0,9600.0,2400.0,606.3,624.49,416.33,208.16,208.16,104.08,312.24,0.0,416.33,416.33,208.16,208.16,312.24,208.16,520.41,416.33,312.24,208.16,312.24,520.41,416.33,520.41,208.16,104.08,312.24,208.16,416.33,208.16,416.33,416.33,312.24,312.24,208.16,208.16,Delivery of pin-piles 8,30536.26
C2012-08_535,2013-06-22T06:00:00+00:00,16.0,3680.0,4050.0,9600.0,2400.0,606.3,624.49,416.33,208.16,208.16,104.08,312.24,0.0,416.33,416.33,208.16,208.16,312.24,208.16,520.41,416.33,312.24,208.16,312.24,520.41,416.33,520.41,208.16,104.08,312.24,208.16,416.33,208.16,416.33,416.33,312.24,312.24,208.16,208.16,Delivery of pin-piles 9,30536.26
C2012-08_536,2013-06-26T06:00:00+00:00,16.0,3680.0,4050.0,9600.0,2400.0,606.3,624.49,416.33,208.16,208.16,104.08,312.24,0.0,416.33,416.33,208.16,208.16,312.24,208.16,520.41,416.33,312.24,208.16,312.24,520.41,416.33,520.41,208.16,104.08,312.24,208.16,416.33,208.16,416.33,416.33,312.24,312.24,208.16,208.16,Delivery of pin-piles 10,30536.26
C2012-08_537,2013-06-30T06:00:00+00:00,16.0,3680.0,4050.0,9600.0,2400.0,606.3,624.49,416.33,208.16,208.16,104.08,312.24,0.0,416.33,416.33,208.16,208.16,312.24,208.16,520.41,416.33,312.24,208.16,312.24,520.41,416.33,520.41,208.16,104.08,312.24,208.16,416.33,208.16,416.33,416.33,312.24,312.24,208.16,208.16,Delivery of pin-piles 11,30536.26
C2012-08_538,2013-07-04T06:00:00+00:00,16.0,3680.0,4050.0,9600.0,2400.0,606.3,624.49,416.33,208.16,208.16,104.08,312.24,0.0,416.33,416.33,208.16,208.16,312.24,208.16,520.41,416.33,312.24,208.16,312.24,520.41,416.33,520.41,208.16,104.08,312.24,208.16,416.33,208.16,416.33,416.33,312.24,312.24,208.16,208.16,Delivery of pin-piles 12,30536.26
C2012-08_539,2013-07-08T06:00:00+00:00,16.0,3680.0,4050.0,9600.0,2400.0,606.3,624.49,416.33,208.16,208.16,104.08,312.24,0.0,416.33,416.33,208.16,208.16,312.24,208.16,520.41,416.33,312.24,208.16,312.24,520.41,416.33,520.41,208.16,104.08,312.24,208.16,416.33,208.16,416.33,416.33,312.24,312.24,208.16,208.16,Delivery of pin-piles 13,30536.26
C2012-08_540,2013-07-12T06:00:00+00:00,16.0,3680.0,4050.0,9600.0,2400.0,606.3,624.49,416.33,208.16,208.16,104.08,312.24,0.0,416.33,416.33,208.16,208.16,312.24,208.16,520.41,416.33,312.24,208.16,312.24,520.41,416.33,520.41,208.16,104.08,312.24,208.16,416.33,208.16,416.33,416.33,312.24,312.24,208.16,208.16,Delivery of pin-piles 14,30536.26
C2012-08_541,2013-07-16T06:00:00+00:00,16.0,3680.0,4050.0,9600.0,2400.0,606.3,624.49,416.33,208.16,208.16,104.08,312.24,0.0,416.33,416.33,208.16,208.16,312.24,208.16,520.41,416.33,312.24,208.16,312.24,520.41,416.33,520.41,208.16,104.08,312.24,208.16,416.33,208.16,416.33,416.33,312.24,312.24,208.16,208.16,Delivery of pin-piles 15,30536.26
C2012-08_542,2013-07-20T06:00:00+00:00,16.0,3680.0,4050.0,9600.0,2400.0,606.3,624.49,416.33,208.16,208.16,104.08,312.24,0.0,416.33,416.33,208.16,208.16,312.24,208.16,520.41,416.33,312.24,208.16,312.24,520.41,416.33,520.41,208.16,104.08,312.24,208.16,416.33,208.16,416.33,416.33,312.24,312.24,208.16,208.16,Delivery of pin-piles 16,30536.26
C2012-08_543,2013-07-24T06:00:00+00:00,16.0,3680.0,4050.0,9600.0,2400.0,606.3,624.49,416.33,208.16,208.16,104.08,312.24,0.0,416.33,416.33,208.16,208.16,312.24,208.16,520.41,416.33,312.24,208.16,312.24,520.41,416.33,520.41,208.16,104.08,312.24,208.16,416.33,208.16,416.33,416.33,312.24,312.24,208.16,208.16,Delivery of pin-piles 17,30536.26
