node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,PROJECT LEPELSTRAAT,746.708333333333,746.708333333333,746.708333333333,2015-07-30 00:00:00,2017-08-14 17:00:00,,1292979
1,1.1,maken compromis aankoop grond met 1 of meerdere huizen,0.708333333333333,0.7,0.72,2015-07-30 00:00:00,2015-07-30 17:00:00,,0
2,1.2,Aanvraag plannen architect,0.708333333333333,0.7,0.72,2015-07-31 00:00:00,2015-07-31 17:00:00,,27000
3,1.3,Wachten op plannen appartementen door architect,11.7083333333333,11.59,11.83,2015-08-03 00:00:00,2015-08-14 17:00:00,,0
4,1.4,aanvragen stedenbouwkundige vergunning ,0.708333333333333,0.7,0.72,2015-08-13 00:00:00,2015-08-13 17:00:00,,0
5,1.5,Wachten op goedkeuring vergunning,49.7083333333333,49.21,50.21,2015-08-14 00:00:00,2015-10-02 17:00:00,,0
6,1.6,aanstellen EPB verslaggever,0.708333333333333,0.7,0.72,2015-10-20 00:00:00,2015-10-20 17:00:00,,3850
7,1.7,aankoop grond ,0.708333333333333,0.7,0.72,2015-11-02 00:00:00,2015-11-02 17:00:00,,310000
8,1.8,betalen kosten notaris,0.708333333333333,0.7,0.72,2015-11-16 00:00:00,2015-11-16 17:00:00,,6300
9,1.9,"afkoppelen nutsvoorzieningen (telefoon, elektriciteit, water, gas)",1.70833333333333,1.69,1.73,2015-12-02 00:00:00,2015-12-03 17:00:00,,4370
10,1.1,aanvragen verkeersverbod voor sloopwerken + akkoord,0.708333333333333,0.7,0.72,2015-12-04 00:00:00,2015-12-04 17:00:00,,1000
11,1.11,Inrichten werf,1.70833333333333,1.69,1.73,2016-01-05 00:00:00,2016-01-06 17:00:00,,3500
12,1.12,slopen gebouwen en bijgebouwen,21.7083333333333,21.49,21.93,2016-01-07 00:00:00,2016-01-28 17:00:00,,17500
13,1.13,sondering bodem,1.70833333333333,1.69,1.73,2016-01-28 00:00:00,2016-01-29 17:00:00,,850
14,1.14,uitgraven funderingsgleuven voor appartement en garages + afvoer grond,0.708333333333333,0.7,0.72,2016-02-01 00:00:00,2016-02-01 17:00:00,,7800
15,1.15,plaatsen aardingslus,0.708333333333333,0.7,0.72,2016-02-01 00:00:00,2016-02-01 17:00:00,,550
16,1.16,storten betonnen funderingsgleuven,0.708333333333333,0.7,0.72,2016-02-10 00:00:00,2016-02-10 17:00:00,,2250
17,1.17,plaatsen pvc riolerings en afwateringsbuizen + buizen nutsvoorzieningen (app + garages)(rioleringswerken),1.70833333333333,1.69,1.73,2016-02-15 00:00:00,2016-02-16 17:00:00,,4300
18,1.18,opmetselen vorstrand + aanvullen met gewassen zand,6.70833333333333,6.64,6.78,2016-02-17 00:00:00,2016-02-23 17:00:00,,4100
19,1.19,plaatsen van bewapeningsnetten,1.70833333333333,1.69,1.73,2016-02-23 00:00:00,2016-02-24 17:00:00,,6450
20,1.2,gieten van betonnen vloerplaat,0.708333333333333,0.7,0.72,2016-02-25 00:00:00,2016-02-25 17:00:00,,5500
21,1.21,opmetselen binnenmuren appartementen gelijkvloers en de garages,15.7083333333333,15.55,15.87,2016-03-03 00:00:00,2016-03-18 17:00:00,,8400
22,1.22,plaatsen gewelven gelijkvloers en garages,3.70833333333333,3.67,3.75,2016-03-18 00:00:00,2016-03-21 17:00:00,,7300
23,1.23,plaatsen bewapening vloerplaat eerste verdiep + gieten beton,2.70833333333333,2.68,2.74,2016-03-22 00:00:00,2016-03-24 17:00:00,,9450
24,1.24,metsen van binnenmuren eerste verdiep ,13.7083333333333,13.57,13.85,2016-04-01 00:00:00,2016-04-14 17:00:00,,6200
25,1.25,plaatsen gewelven eerste verdiep,3.70833333333333,3.67,3.75,2016-04-18 00:00:00,2016-04-21 17:00:00,,7300
26,1.26,plaatsen van gevelelementen + dakbalkons met bovenbewapening,20.7083333333333,20.5,20.92,2016-04-22 00:00:00,2016-05-12 17:00:00,,72000
27,1.27,plaatsen bewapening en gieten betonnen gewelven tweede verdiep,6.70833333333333,6.64,6.78,2016-05-18 00:00:00,2016-05-24 17:00:00,,7300
28,1.28,inbinden balken,0.708333333333333,0.7,0.72,2016-05-25 00:00:00,2016-05-25 17:00:00,,5750
29,1.29,bekisting + bewapening betonnen trappen + storten beton voor trap,1.70833333333333,1.69,1.73,2016-05-30 00:00:00,2016-05-31 17:00:00,,4500
30,1.3,opmetsen borstwering tweede verdiep ,1.70833333333333,1.69,1.73,2016-06-06 00:00:00,2016-06-07 17:00:00,,8400
31,1.31,gieten van bewapende ring balk,1.70833333333333,1.69,1.73,2016-06-08 00:00:00,2016-06-09 17:00:00,,3800
32,1.32,plaatsen van houten koppelkepers als modellen voor de binnenmuren en puntgevels (deel dakconstructie),3.70833333333333,3.67,3.75,2016-06-10 00:00:00,2016-06-13 17:00:00,,2250
33,1.33,opmetsen resterende muren tweede verdiep en puntgevels ,11.7083333333333,11.59,11.83,2016-06-13 00:00:00,2016-06-24 17:00:00,,8750
34,1.34,plaatsen metalen I-profielen (waar nodig),0.708333333333333,0.7,0.72,2016-06-27 00:00:00,2016-06-27 17:00:00,,7475
35,1.35,plaatsen spouwisolatie 140mm aan buitenzijde gebouw tegen binnenmuren (voorzien van de nodige spouwankers) getaped,9.70833333333333,9.61,9.81,2016-06-29 00:00:00,2016-07-08 17:00:00,,4860
36,1.36,dichtkleven van de isolatie,0.708333333333333,0.7,0.72,2016-07-11 00:00:00,2016-07-11 17:00:00,,285
37,1.37,plaatsen opgaand metselwerk aan buitenzijde gebouw,14.7083333333333,14.56,14.86,2016-07-04 00:00:00,2016-07-18 17:00:00,,55000
38,1.38,plaatsen opgaand metselwerk aan gebouw deel 2 en  garages ,14.7083333333333,14.56,14.86,2016-08-08 00:00:00,2016-08-22 17:00:00,,100000
39,1.39,aanbrengen van isolatieplaten op de platforms en platte daken van appartementen en de garages,2.70833333333333,2.68,2.74,2016-08-30 00:00:00,2016-09-01 17:00:00,,2800
40,1.4,plaatsen van EPDM dakbedekking op de appartementen en de garages en platforms voorzien van de nodige dakranden,4.70833333333333,4.66,4.76,2016-09-05 00:00:00,2016-09-09 17:00:00,,3099
41,1.41,plaatsen dakconstructie,11.7083333333333,11.59,11.83,2016-09-12 00:00:00,2016-09-23 17:00:00,,21400
42,1.42,plaatsen van de reeds opgementen blauwe hardsteen (raamdorpels),0.708333333333333,0.7,0.72,2016-09-26 00:00:00,2016-09-26 17:00:00,,4000
