node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Apartment Building Structural Work (3),116.375,115.21,117.54,2016-03-21 08:00:00,2016-07-15 17:00:00,,1319736.29101562
24,1.1,betonstructuur blok B gelijkvloers,32.375,32.05,32.7,2016-03-21 08:00:00,2016-04-22 17:00:00,,350722.9453125
1,1.1.1,kolommen gelijkvloers blok B,4.375,3.5,5.25,2016-03-21 08:00:00,2016-03-25 17:00:00,,38969.21875
2,1.1.2,wanden gelijkvloers blok B,4.375,3.5,5.25,2016-03-21 08:00:00,2016-03-25 17:00:00,,46763.05859375
3,1.1.3,dragend metselwerk snelbouw gelijkvloers blok B,18.375,14.7,22.05,2016-03-21 08:00:00,2016-04-08 17:00:00,,116907.6484375
4,1.1.4,balken/liggers boven gelijkvloers blok B,10.375,8.3,12.45,2016-04-05 08:00:00,2016-04-15 17:00:00,,50659.98046875
5,1.1.5,afdek gelijkvloers blok B welfsels + opstort druklaag,4.375,3.5,5.25,2016-04-18 08:00:00,2016-04-22 17:00:00,,97423.0390625
25,1.2,betonstructuur blok B nivo +1,35.375,35.02,35.73,2016-04-25 08:00:00,2016-05-30 17:00:00,,309145.200683594
6,1.2.1,kolommen +1 blok B,4.375,3.5,5.25,2016-04-25 08:00:00,2016-04-29 17:00:00,,34005.96875
7,1.2.2,wanden kernen +1 blok B,4.375,3.5,5.25,2016-04-25 08:00:00,2016-04-29 17:00:00,,40188.87890625
8,1.2.3,dragend metselwerk snelbouw +1 blok B,18.375,14.7,22.05,2016-04-25 08:00:00,2016-05-13 17:00:00,,102017.921875
9,1.2.4,balken/liggers boven +1 blok B,10.375,8.3,12.45,2016-05-10 08:00:00,2016-05-20 17:00:00,,43280.328125
10,1.2.5,afdek verdieping +1 blok B welfsels + opstort druklaag,7.375,5.9,8.85,2016-05-23 08:00:00,2016-05-30 17:00:00,,83469.203125
11,1.2.6,platen tpg d=17 en d=21 boven +1,5.375,4.3,6.45,2016-05-25 08:00:00,2016-05-30 17:00:00,,6182.89990234375
26,1.3,betonstructuur blok B nivo +2,35.375,35.02,35.73,2016-05-31 08:00:00,2016-07-05 17:00:00,,309145.200683594
12,1.3.1,kolommen +2 blok B,6.375,5.1,7.65,2016-05-31 08:00:00,2016-06-06 17:00:00,,34005.96875
13,1.3.2,wanden kernen +2 blok B,6.375,5.1,7.65,2016-05-31 08:00:00,2016-06-06 17:00:00,,40188.87890625
14,1.3.3,dragend metselwerk snelbouw +2 blok B,20.375,16.3,24.45,2016-05-31 08:00:00,2016-06-20 17:00:00,,102017.921875
15,1.3.4,balken/liggers boven +2 blok B,12.375,9.9,14.85,2016-06-15 08:00:00,2016-06-27 17:00:00,,43280.328125
16,1.3.5,afdek verdieping +2 blok B welfsels + opstort druklaag,7.375,5.9,8.85,2016-06-28 08:00:00,2016-07-05 17:00:00,,83469.203125
17,1.3.6,platen tpg d=17 en d=21 boven +2,5.375,4.3,6.45,2016-06-30 08:00:00,2016-07-05 17:00:00,,6182.89990234375
27,1.4,betonstructuur blok B nivo +3,9.375,9.28,9.47,2016-07-06 08:00:00,2016-07-15 17:00:00,,350722.944335938
18,1.4.1,kolommen +3 blok B,2.375,1.9,2.85,2016-07-06 08:00:00,2016-07-08 17:00:00,,38579.51953125
19,1.4.2,wanden kernen +3 blok B,2.375,1.9,2.85,2016-07-06 08:00:00,2016-07-08 17:00:00,,45593.98046875
20,1.4.3,dragend metselwerk snelbouw +3 blok B,8.375,6.7,10.05,2016-07-06 08:00:00,2016-07-14 17:00:00,,115738.5703125
21,1.4.4,balken/liggers boven +3 blok B,2.375,1.9,2.85,2016-07-11 08:00:00,2016-07-13 17:00:00,,49101.2109375
22,1.4.5,afdek verdieping +3 blok B welfsels + opstort druklaag,4.375,3.5,5.25,2016-07-11 08:00:00,2016-07-15 17:00:00,,94695.203125
23,1.4.6,platen tpg d=15 boven +3,2.375,1.9,2.85,2016-07-13 08:00:00,2016-07-15 17:00:00,,7014.4599609375
