node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Deny,240.375,237.97,242.78,2019-10-14 08:00:00,2020-06-10 17:00:00,,2978314.93887695
1,1.1,Gravel core foundation,18.375,14.7,22.05,2019-10-14 08:00:00,2019-11-01 17:00:00,Personnel[3.00 #6];Pile machine,90127.2
2,1.2,Pile foundation,14.375,11.5,17.25,2019-11-04 08:00:00,2019-11-18 17:00:00,Personnel[3.00 #6];Pile machine,72573.2801953125
3,1.3,Foundation,34.375,27.5,41.25,2019-11-13 08:00:00,2019-12-17 17:00:00,Personnel[3.00 #6];Excavator,148399.0
4,1.4,Design prefab parts,14.375,11.5,17.25,2019-10-14 08:00:00,2019-10-28 17:00:00,Ext. personnel,7342.29999023438
5,1.5,Production prefab parts,24.375,19.5,29.25,2019-10-29 08:00:00,2019-11-22 17:00:00,Ext. personnel[3.00 #25],212606.204375
6,1.6,Assembly W1,34.375,27.5,41.25,2019-12-18 08:00:00,2020-01-21 17:00:00,Personnel[3.00 #6];Cranes[2.00 #3];Scissor Lift,340859.684375
7,1.7,Wall coverage W1,13.375,10.7,16.05,2020-01-17 08:00:00,2020-01-30 17:00:00,Personnel[2.00 #6];Cranes;Scissor Lift,99739.228125
8,1.8,Roof W1,17.375,13.9,20.85,2020-01-31 08:00:00,2020-02-17 17:00:00,Personnel[3.00 #6];Scissor Lift,117428.82875
9,1.9,Roof W2,14.375,11.5,17.25,2020-02-19 08:00:00,2020-03-04 17:00:00,Personnel[3.00 #6];Scissor Lift,129473.626875
10,1.1,Assembly W2,20.375,16.3,24.45,2020-01-22 08:00:00,2020-02-11 17:00:00,Personnel[3.00 #6];Cranes[2.00 #3];Scissor Lift,361437.215625
11,1.11,Wall coverage W2,6.375,5.1,7.65,2020-02-12 08:00:00,2020-02-18 17:00:00,Personnel[2.00 #6];Cranes;Scissor Lift,75432.25078125
12,1.12,Assembly W3,20.375,16.3,24.45,2020-02-18 08:00:00,2020-03-09 17:00:00,Personnel[3.00 #6];Cranes[2.00 #3];Scissor Lift,344436.528125
13,1.13,Wall coverage W3,13.375,10.7,16.05,2020-03-10 08:00:00,2020-03-23 17:00:00,Personnel[2.00 #6];Cranes;Scissor Lift,94205.65
14,1.14,Sewer,34.375,27.5,41.25,2020-03-05 08:00:00,2020-04-08 17:00:00,Personnel[2.00 #6];Excavator,66028.9599609375
15,1.15,Roof W3,15.375,12.3,18.45,2020-03-24 08:00:00,2020-04-08 17:00:00,Personnel[3.00 #6];Scissor Lift,122723.5475
16,1.16,Flooring inside,20.375,16.3,24.45,2020-04-09 08:00:00,2020-04-29 17:00:00,Ext. personnel[25.00 #25],284392.1328125
17,1.17,Drying floor,27.375,21.9,32.85,2020-04-30 08:00:00,2020-05-27 17:00:00,,0.0
18,1.18,Sprinkler installation,13.375,10.7,16.05,2020-05-28 08:00:00,2020-06-10 17:00:00,Personnel[2.00 #6];Scissor Lift,207999.99375
19,1.19,Electricity,40.375,32.3,48.45,2020-04-30 08:00:00,2020-06-09 17:00:00,Personnel[4.00 #6];Scissor Lift,100000.00109375
20,1.2,Gates,13.375,10.7,16.05,2020-05-14 08:00:00,2020-05-27 17:00:00,Personnel[2.00 #6];Scissor Lift,15306.8799804688
21,1.21,Outdoor construction,13.375,10.7,16.05,2020-04-30 08:00:00,2020-05-13 17:00:00,Personnel[2.00 #6],76749.0265625
22,1.22,Barrel vault skylight,6.375,5.1,7.65,2020-04-09 08:00:00,2020-04-15 17:00:00,Personnel[3.00 #6];Scissor Lift,11053.4
23,1.23,Finish,0.0,0.0,0.0,2020-06-10 17:00:00,2020-06-10 17:00:00,,0.0
