node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,PROJECT SOCIAL HOUSING,493.375,493.375,493.375,2017-01-20 08:00:00,2018-05-28 17:00:00,,734602.11
1,1.1,Ruwbouw,238.375,235.99,240.76,2017-01-20 08:00:00,2017-09-15 17:00:00,,254594.36
2,1.2,Buitenriolering ,18.375,18.19,18.56,2017-09-11 08:00:00,2017-09-29 17:00:00,,29485.0
3,1.3,Daktimmer,18.375,18.19,18.56,2017-09-11 08:00:00,2017-09-29 17:00:00,,33214.25
4,1.4,Dakbedekking,25.375,25.12,25.63,2017-10-02 08:00:00,2017-10-27 17:00:00,,40046.63
5,1.5,dakisolatie,10.375,10.27,10.48,2017-11-20 08:00:00,2017-11-30 17:00:00,,6250.0
6,1.6,Buitenschrijnwerk,4.375,4.33,4.42,2017-11-20 08:00:00,2017-11-24 17:00:00,,51095.44
7,1.7,Aansluiting watermaatschappij,0.375,0.37,0.38,2017-11-20 08:00:00,2017-11-20 17:00:00,,0.0
8,1.8,Pleisterwerken,60.375,59.77,60.98,2017-11-27 08:00:00,2018-01-26 17:00:00,,26890.93
9,1.9,Chape fase1 (2woningen),4.375,4.33,4.42,2018-01-08 08:00:00,2018-01-12 17:00:00,,7736.592
10,1.1,Chape fase2 (3woningen),4.375,4.33,4.42,2018-02-05 08:00:00,2018-02-09 17:00:00,,11604.888
11,1.11,Technieken voor chape fase1,4.375,4.33,4.42,2017-12-18 08:00:00,2017-12-22 17:00:00,,30000.0
12,1.12,Technieken voor chape fase2,6.375,6.31,6.44,2018-01-09 08:00:00,2018-01-15 17:00:00,,30000.0
13,1.13,afwerking technieken sanitair / elektriciteit,42.375,41.95,42.8,2018-03-19 08:00:00,2018-04-30 17:00:00,,42927.02
14,1.14,vloer en tegelwerken,53.375,52.84,53.91,2018-02-05 08:00:00,2018-03-30 17:00:00,,34940.91
15,1.15,"binnenschrijnwerk (deuren, trappen, keukens)",28.375,28.09,28.66,2018-04-02 08:00:00,2018-04-30 17:00:00,,78515.2
16,1.16,buitenaanleg,32.375,32.05,32.7,2018-03-12 08:00:00,2018-04-13 17:00:00,,22183.65
17,1.17,"afwerken diversen (fietsenstalling, afwerking
 buitenschrijnwerk, brievenbussen, …)",26.375,26.11,26.64,2018-03-23 08:00:00,2018-04-18 17:00:00,,35117.24
18,1.18,oplevering,0.375,0.37,0.38,2018-05-28 08:00:00,2018-05-28 17:00:00,,0.0
