node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Event_Trip,1.75,1.73,1.77,2020-11-21 07:00:00,2020-11-23 01:00:00,,3726.6
1,1.1,Transportation,0.16666666659875773,0.13,0.2,2020-11-21 07:00:00,2020-11-21 11:00:00,Organizer[8.00 #10];Beers[0.00 #-1];Music Speakers[2.00 #4],84.0
2,1.2,Preparation space for lunch,0.04166666659875773,0.03,0.05,2020-11-21 13:00:00,2020-11-21 14:00:00,Organizer[3.00 #10];Beers[3.00 #-1];Music Speakers[2.00 #4],24.6
3,1.3,Social Activities,0.08333333340124227,0.07,0.1,2020-11-21 11:00:00,2020-11-21 13:00:00,Organizer[6.00 #10];Beers[60.00 #-1];Music Speakers[4.00 #4],228.0
4,1.4,Lunch,0.041666666700621136,0.03,0.05,2020-11-21 14:00:00,2020-11-21 15:00:00,Organizer[5.00 #10];Beers[60.00 #-1];Music Speakers[2.00 #4],93.0
5,1.5,Cleaning Space,0.041666666700621136,0.03,0.05,2020-11-21 15:00:00,2020-11-21 16:00:00,Organizer[3.00 #10];Beers[3.00 #-1];Music Speakers[0.00 #4],3.6
6,1.6,Hiking Trip,0.16666666659875773,0.13,0.2,2020-11-21 16:00:00,2020-11-21 20:00:00,Organizer[5.00 #10];Beers[0.00 #-1];Music Speakers[0.00 #4],0.0
7,1.7,Preparation of space for party,0.08333333340124227,0.07,0.1,2020-11-21 17:00:00,2020-11-21 19:00:00,Organizer[4.00 #10];Beers[12.00 #-1];Music Speakers[2.00 #4],70.8
8,1.8,Preparation space for dinner,0.04166666659875773,0.03,0.05,2020-11-21 16:00:00,2020-11-21 17:00:00,Organizer[2.00 #10];Beers[2.00 #-1];Music Speakers[2.00 #4],23.4
9,1.9,Dinner,0.125,0.1,0.15,2020-11-21 20:00:00,2020-11-21 23:00:00,Organizer[6.00 #10];Beers[120.00 #-1];Music Speakers,463.5
10,1.1,Party,0.20833333340124227,0.17,0.25,2020-11-21 23:00:00,2020-11-22 04:00:00,Organizer[8.00 #10];Beers[300.00 #-1];Music Speakers[4.00 #4],2010.0
11,1.11,Cleaning,0.125,0.1,0.15,2020-11-22 04:00:00,2020-11-22 07:00:00,Organizer[4.00 #10];Beers[0.00 #-1];Music Speakers[0.00 #4],0.0
12,1.12,Prepare space for Breakfast,0.04166666659875773,0.03,0.05,2020-11-22 07:00:00,2020-11-22 08:00:00,Organizer[2.00 #10];Beers[0.00 #-1];Music Speakers[0.00 #4],0.0
13,1.13,Breakfast,0.041666666700621136,0.03,0.05,2020-11-22 08:00:00,2020-11-22 09:00:00,Organizer[3.00 #10];Beers[0.00 #-1];Music Speakers,10.5
14,1.14,Social Activities,0.16666666670062114,0.13,0.2,2020-11-22 09:00:00,2020-11-22 13:00:00,Organizer[4.00 #10];Beers[60.00 #-1];Music Speakers[4.00 #4],456.0
15,1.15,Prepare space for lunch,0.08333333329937886,0.07,0.1,2020-11-22 13:00:00,2020-11-22 15:00:00,Organizer[3.00 #10];Beers[0.00 #-1];Music Speakers[2.00 #4],42.0
16,1.16,Lunch,0.041666666700621136,0.03,0.05,2020-11-22 15:00:00,2020-11-22 16:00:00,Organizer[5.00 #10];Beers[60.00 #-1];Music Speakers[2.00 #4],93.0
18,1.17,Return the deposit,0.125,0.1,0.15,2020-11-22 16:00:00,2020-11-22 19:00:00,Organizer[4.00 #10];Beers[0.00 #-1];Music Speakers[0.00 #4],0.0
17,1.18,Transportation,0.16666666659875773,0.13,0.2,2020-11-22 19:00:00,2020-11-22 23:00:00,Organizer[8.00 #10];Beers[0.00 #-1];Music Speakers[2.00 #4],84.0
19,1.19,Review Session,0.08333333340124227,0.07,0.1,2020-11-22 23:00:00,2020-11-23 01:00:00,Organizer[8.00 #10];Beers[8.00 #-1];Music Speakers,40.2
