node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
3.0,1.1.1.1,ALQUILER DE ALMACEN Y OFICINA,2.0,2.0,2.0,2023-07-01 08:00:00,nan,"carpenter [1,00 #8]",
4.0,1.1.1.2,AMBIENTE PARA GUARDIANIA,1.0,1.0,1.0,2023-07-01 08:00:00,nan,"carpenter [1,00 #8]",
5.0,1.1.1.3,CONEXIÓN PROVISIONAL DE ENERGIA ELECTRICA Y CONSUMO,1.0,1.0,1.0,2023-07-01 08:00:00,nan,"carpenter [1,00 #8]",
6.0,1.1.1.4,INSTALACION PROVISIONAL DE AGUA Y DESAGUE,1.0,1.0,1.0,2023-07-01 08:00:00,nan,"carpenter [1,00 #8]",
7.0,1.1.1.5,SERVICIOS HIGIENICOS EN OBRA (PORTATIL),1.0,1.0,1.0,2023-07-01 08:00:00,nan,"carpenter [1,00 #8]",
8.0,1.1.1.6,CARTEL DE IDENTIFICACION DE LA OBRA (2.40MX3.60 M),1.0,1.0,1.0,2023-07-01 08:00:00,nan,"carpenter [1,00 #8]",
10.0,1.1.2.1,MOVILIZACION Y DESMOVILIZACION DE EQUIPOS Y MAQUINARIAS,1.0,1.0,1.0,2023-07-01 08:00:00,nan,,
11.0,1.1.2.2,LIMPIEZA DEL TERRENO MANUAL,2.0,2.0,2.0,2023-07-01 08:00:00,nan,"team subcontractor[2,00 #8]",
12.0,1.1.2.3,TRAZO Y REPLANTEO INICAL,2.0,2.0,2.0,2023-07-01 08:00:00,nan,"team subcontractor[1,00 #8]",
14.0,1.1.3.1,"ELABORACION, IMPLEMENTACION Y ADMINISTRACION DE SEGURIDAD Y SALUD EN EL TRABAJO",1.0,1.0,1.0,2023-07-01 08:00:00,nan,"steel worker [2,00 #8]",
15.0,1.1.3.2,EQUIPO DE PROTECCION PERSONAL,1.0,1.0,1.0,2023-07-03 08:00:00,nan,,
16.0,1.1.3.3,EQUIPO DE PROTECCION COLECTIVA,1.0,1.0,1.0,2023-07-04 08:00:00,nan,"team subcontractor[2,00 #8]",
17.0,1.1.3.4,SEÑALIZACION TEMPORAL DE SEGURIDAD,1.0,1.0,1.0,2023-07-06 08:00:00,nan,,
18.0,1.1.3.5,CAPACITACION EN SEGURIDAD Y SALUD,1.0,1.0,1.0,2023-07-07 08:00:00,nan,,
19.0,1.1.3.6,RECURSOS PARA RESPUESTAS ANTE EMERGENCIAS EN SST.,1.0,1.0,1.0,2023-07-09 08:00:00,nan,mason,
21.0,1.1.4.1,CERCO PROVISIONAL C/MANTAS DE POLIPROPILENO,2.0,2.0,2.0,2023-07-04 08:00:00,nan,mason,
22.0,1.1.4.2,PASE PEATONAL PROVISIONAL,5.0,5.0,5.0,2023-07-07 08:00:00,nan,painter,
26.0,1.2.1.1.1,LIMPIEZA DEL TERRENO MANUAL,1.0,1.0,1.0,2023-07-07 08:00:00,nan,"steel worker [1,00 #8]",
27.0,1.2.1.1.2,TRAZO NIVELACION Y REPLANTEO DURANTE EL PROCESO,1.0,1.0,1.0,2023-07-07 08:00:00,nan,"steel worker [1,00 #8]",
29.0,1.2.1.2.1,EXCAVACION EN TERRENO NORMAL CON MAQUINARIA,1.0,1.0,1.0,2023-07-09 08:00:00,nan,,
