node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Bpost,507.29166666666424,502.22,512.36,2012-03-13 08:00:00,2013-08-02 15:00:00,,0
1,1.1,Onboard team and  Initiate Project,37.375,37.0,37.75,2012-03-13 08:00:00,2012-04-19 17:00:00,,0
2,1.2,Plan and Build Upgrade infra,44.375,43.93,44.82,2012-03-13 08:00:00,2012-04-26 17:00:00,,0
3,1.3,Re-run Upgrade Analysis,49.375,48.88,49.87,2012-03-13 08:00:00,2012-05-01 17:00:00,,0
4,1.4,Method Adoption Worshop and Team Trainig,49.375,48.88,49.87,2012-03-13 08:00:00,2012-05-01 17:00:00,,0
5,1.5,Installation Configure and Test ProcessIT Realeasee,211.375,209.26,213.49,2012-03-13 08:00:00,2012-10-10 17:00:00,,0
6,1.6,bpost Clone 1,6.0,5.94,6.06,2012-04-27 09:00:00,2012-05-03 09:00:00,,0
8,1.7,Strategy Documents,53.0,52.47,53.53,2012-04-20 15:00:00,2012-06-12 15:00:00,,0
10,1.8,Create Script,6.0,5.94,6.06,2012-05-03 10:00:00,2012-05-09 10:00:00,,0
11,1.9,Adapt and Config. and RICEW Designs and Retrofit RICEW,232.375,230.05,234.7,2012-05-02 08:00:00,2012-12-20 17:00:00,,0
12,1.1,Funtional and System Validation,71.375,70.66,72.09,2012-05-02 08:00:00,2012-07-12 17:00:00,,0
13,1.11,R12 Gap Test Scripts,72.0,71.28,72.72,2012-05-02 10:00:00,2012-07-13 10:00:00,,0
14,1.12,Prepare Test Scripts,72.0,71.28,72.72,2012-05-02 10:00:00,2012-07-13 10:00:00,,0
15,1.13,Run Script 1,6.0,5.94,6.06,2012-05-09 10:00:00,2012-05-15 10:00:00,,0
16,1.14,ibm Clone 1,6.0,5.94,6.06,2012-05-15 10:00:00,2012-05-21 10:00:00,,0
17,1.15,Organizational Readiness Assessment,125.0,123.75,126.25,2012-05-02 15:00:00,2012-09-04 15:00:00,,0
18,1.16,Execute RICEW Testing,63.375,62.74,64.01,2012-07-13 08:00:00,2012-09-14 17:00:00,,0
19,1.17,Execute Vanilla  eBs R12 Tests (CRP1),63.0,62.37,63.63,2012-07-13 10:00:00,2012-09-14 10:00:00,,0
20,1.18,Preparation,63.0,62.37,63.63,2012-07-12 09:00:00,2012-09-13 09:00:00,,0
21,1.19,Prepare Test Scenarios,43.375,42.94,43.81,2012-08-23 08:00:00,2012-10-05 17:00:00,,0
51,1.2,Modify Script 1,3.375,3.34,3.41,2012-09-17 08:00:00,2012-09-20 17:00:00,,0
22,1.21,Bpost Clone 2,5.375,5.32,5.43,2012-09-21 08:00:00,2012-09-26 17:00:00,,0
23,1.22,ProcessIT Integration Testing,99.0,98.01,99.99,2012-09-13 09:00:00,2012-12-21 09:00:00,,0
24,1.23,Pre Integration Testing,98.0,97.02,98.98,2012-09-14 10:00:00,2012-12-21 10:00:00,,0
25,1.24,Training Strategy and Plan,98.0,97.02,98.98,2012-09-04 15:00:00,2012-12-11 15:00:00,,0
26,1.25,Run Script 2,5.375,5.32,5.43,2012-09-27 08:00:00,2012-10-02 17:00:00,,0
27,1.26,ibm Clone 2,6.0,5.94,6.06,2012-10-03 09:00:00,2012-10-09 09:00:00,,0
28,1.27,Execute and Validate Functional and RICEW Testing (CRP2),73.0,72.27,73.73,2012-10-09 09:00:00,2012-12-21 09:00:00,,0
29,1.28,Perform Data Clean up,129.0,127.71,130.29,2012-10-08 10:00:00,2013-02-14 10:00:00,,0
30,1.29,Prepare User Acceptance,129.0,127.71,130.29,2012-10-08 11:00:00,2013-02-14 11:00:00,,0
31,1.3,Modify Script 2,6.0,5.94,6.06,2012-12-21 10:00:00,2012-12-27 10:00:00,,0
32,1.31,bpost Clone 3,6.0,5.94,6.06,2012-12-27 10:00:00,2013-01-02 10:00:00,,0
33,1.32,Problem Solving,41.375,40.96,41.79,2012-12-21 08:00:00,2013-01-31 17:00:00,,0
34,1.33,Develop/ Update User Training,42.0,41.58,42.42,2012-12-11 15:00:00,2013-01-22 15:00:00,,0
35,1.34,Run Script 3,6.0,5.94,6.06,2013-01-02 10:00:00,2013-01-08 10:00:00,,0
36,1.35,ibm Clone 3,5.958333333299379,5.9,6.02,2013-01-08 13:00:00,2013-01-14 12:00:00,,0
37,1.36,Execute and Validate System Integretion Test,14.0,13.86,14.14,2013-01-14 15:00:00,2013-01-28 15:00:00,,0
38,1.37,Modify Script 3,4.0,3.96,4.04,2013-01-28 15:00:00,2013-02-01 15:00:00,,0
39,1.38,Performance Test,49.375,48.88,49.87,2013-02-01 08:00:00,2013-03-22 17:00:00,,0
40,1.39,Training Delivery,77.0,76.23,77.77,2013-01-22 15:00:00,2013-04-09 15:00:00,,0
41,1.4,bpost Clone 4,6.0,5.94,6.06,2013-02-05 09:00:00,2013-02-11 09:00:00,,0
42,1.41,Run Script 4,5.958333333299379,5.9,6.02,2013-02-12 13:00:00,2013-02-18 12:00:00,,0
43,1.42,ibm Clone 4,6.0,5.94,6.06,2013-02-19 16:00:00,2013-02-25 16:00:00,,0
44,1.43,Execute and Validate User Acceptance Test,17.0,16.83,17.17,2013-04-09 15:00:00,2013-04-26 15:00:00,,0
45,1.44,Modify Script 4,6.0,5.94,6.06,2013-04-26 15:00:00,2013-05-02 15:00:00,,0
46,1.45,Production Upgrade,4.0,3.96,4.04,2013-05-02 15:00:00,2013-05-06 15:00:00,,0
47,1.46,Upgrade Project Closing,88.0,87.12,88.88,2013-05-06 15:00:00,2013-08-02 15:00:00,,0
48,1.47,Run and Maintain Enviroments,88.0,87.12,88.88,2013-05-06 15:00:00,2013-08-02 15:00:00,,0
49,1.48,Hypercare Post GO-Live Support and Handover to Support Team,88.0,87.12,88.88,2013-05-06 15:00:00,2013-08-02 15:00:00,,0
50,1.49,1 Level Business Support,88.0,87.12,88.88,2013-05-06 15:00:00,2013-08-02 15:00:00,,0
