node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Christmas Market,131.29166666670062,129.98,132.6,2018-08-26 08:00:00,2019-01-04 15:00:00,,58900
1,1.1,START,0.625,0.62,0.63,2018-08-26 08:00:00,2018-08-25 17:00:00,,0
2,1.2,Creation of the activities plan and location,4.375,3.5,5.25,2018-08-26 08:00:00,2018-08-30 17:00:00,Team[5.00 #5],4000
3,1.3,Asking City Hall Permission / License - email,29.375,23.5,35.25,2018-08-31 08:00:00,2018-09-29 17:00:00,,200
4,1.4,Receiving acceptance,1.0833333334012423,0.87,1.3,2018-09-30 08:00:00,2018-10-01 10:00:00,Team[0.00 #5],200
5,1.5,Creation of a safety plan,2.0,1.6,2.4,2018-10-01 10:00:00,2018-10-03 10:00:00,Team[2.00 #5],640
6,1.6,Contacting vegan restaurants and sponsors,30.0,24.0,36.0,2018-10-01 10:00:00,2018-10-31 10:00:00,Team,4800
7,1.7,Contacting the truck/stand company,14.0,11.2,16.8,2018-10-01 10:00:00,2018-10-15 10:00:00,Team,2240
8,1.8,Contacting / contract Music band/ DJ,14.0,11.2,16.8,2018-10-01 10:00:00,2018-10-15 10:00:00,Team,2240
9,1.9,Approval of the security plan and coordination with the police,20.0,16.0,24.0,2018-10-03 10:00:00,2018-10-23 10:00:00,,200
10,1.1,Design the Marketing Campaign,7.0,5.6,8.4,2018-10-01 10:00:00,2018-10-08 10:00:00,Team[3.00 #5],3360
11,1.11,Ordering posters and flyers,1.0833333334012423,0.87,1.3,2018-10-20 08:00:00,2018-10-21 10:00:00,Team,1200
12,1.12,Preparing online campaign,4.375,3.5,5.25,2018-10-20 08:00:00,2018-10-24 17:00:00,Team,800
13,1.13,Start Marketing campaign,30.0,24.0,36.0,2018-10-31 10:00:00,2018-11-30 10:00:00,,500
14,1.14,Cut the Circulation,1.0833333332993789,0.87,1.3,2018-10-23 10:00:00,2018-10-24 12:00:00,Volunteers[5.00 #10],200
15,1.15,Installing the tent,2.0,1.6,2.4,2018-10-30 10:00:00,2018-11-01 10:00:00,Team;Volunteers[10.00 #10],320
16,1.16,Installation of electricity/cabling,3.0,2.4,3.6,2018-11-01 10:00:00,2018-11-04 10:00:00,,1000
17,1.17,Stands Construction,2.0,1.6,2.4,2018-11-01 10:00:00,2018-11-03 10:00:00,Volunteers[4.00 #10],1000
18,1.18,Backstage Construction,2.0,1.6,2.4,2018-11-01 10:00:00,2018-11-03 10:00:00,Volunteers[5.00 #10],1000
19,1.19,Bathrooms construction/installation,1.0,0.8,1.2,2018-11-01 10:00:00,2018-11-02 10:00:00,,500
20,1.2,Tables installation,1.0,0.8,1.2,2018-11-01 10:00:00,2018-11-02 10:00:00,Volunteers[6.00 #10],500
21,1.21,Designing and Budgeting Christmas decoration,6.0,4.8,7.2,2018-10-01 10:00:00,2018-10-07 10:00:00,Team[5.00 #5],4800
22,1.22,Installation of the decoration,2.0,1.6,2.4,2018-11-04 10:00:00,2018-11-06 10:00:00,Team[2.00 #5];Volunteers[6.00 #10],640
23,1.23,Open circulation,1.0,0.8,1.2,2018-11-06 10:00:00,2018-11-07 10:00:00,Volunteers[5.00 #10],200
24,1.24,Hiring security guards,7.0,5.6,8.4,2018-10-23 10:00:00,2018-10-30 10:00:00,Team,1120
25,1.25,Technical Control,1.0,0.8,1.2,2018-11-07 10:00:00,2018-11-08 10:00:00,,1000
26,1.26,Placement of people and food,1.9583333332993789,1.57,2.35,2018-11-08 13:00:00,2018-11-10 12:00:00,Team[2.00 #5];Volunteers[4.00 #10],640
27,1.27,Market opening,30.0,29.7,30.3,2018-11-30 10:00:00,2018-12-30 10:00:00,Team[5.00 #5];Volunteers[10.00 #10],24000
28,1.28,Market closing,1.0833333332993789,1.07,1.09,2018-12-30 10:00:00,2018-12-31 12:00:00,Team;Volunteers[10.00 #10],200
29,1.29,Cut circulation,1.0833333332993789,0.87,1.3,2018-12-31 13:00:00,2019-01-01 15:00:00,Volunteers[5.00 #10],200
30,1.3,Cleaning,1.0833333332993789,0.87,1.3,2019-01-01 15:00:00,2019-01-02 17:00:00,Team[5.00 #5];Volunteers[10.00 #10],1000
31,1.31,Uninstallation,2.0,1.6,2.4,2019-01-01 15:00:00,2019-01-03 15:00:00,Volunteers[4.00 #10],0
32,1.32,Opening circulation,1.0,0.8,1.2,2019-01-03 15:00:00,2019-01-04 15:00:00,Volunteers[5.00 #10],200
33,1.33,END,0.0,0.0,0.0,2019-01-04 15:00:00,2019-01-04 15:00:00,,0
