node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Social Apartments Ypres (3),570.375,564.67,576.08,2012-11-13 08:00:00,2014-06-06 17:00:00,,2509031.42211914
1,1.1,werfinrichting,13.375,10.7,16.05,2012-11-13 08:00:00,2012-11-26 17:00:00,,100.0
2,1.2,aanvraag verslag Bom.be,43.375,34.7,52.05,2012-11-29 08:00:00,2013-01-11 17:00:00,,10.0
3,1.3,grondwerken + bom detectie,28.375,22.7,34.05,2013-01-25 08:00:00,2013-02-22 17:00:00,,91355.703125
4,1.4,paalfundering,11.375,9.1,13.65,2013-02-25 08:00:00,2013-03-08 17:00:00,,43580.25
5,1.5,afkappen palen,4.375,3.5,5.25,2013-03-11 08:00:00,2013-03-15 17:00:00,,1.0
6,1.6,rioleringwerken onder fundering,4.375,3.5,5.25,2013-03-11 08:00:00,2013-03-15 17:00:00,,15568.91015625
7,1.7,"funderingsplaat (bekisten, ijzer, beton)",32.375,25.9,38.85,2013-03-11 08:00:00,2013-04-12 17:00:00,,107573.8125
8,1.8,montage kraan,0.375,0.3,0.45,2013-03-13 08:00:00,2013-03-13 17:00:00,,1.0
9,1.9,kelderwanden,21.375,17.1,25.65,2013-04-15 08:00:00,2013-05-06 17:00:00,,112336.2890625
10,1.1,kolommen + balken + metalen profielen kelder,16.375,13.1,19.65,2013-04-29 08:00:00,2013-05-15 17:00:00,,23087.900390625
11,1.11,metselwerk kelderverdieping,16.375,13.1,19.65,2013-05-07 08:00:00,2013-05-23 17:00:00,,26678.220703125
12,1.12,afdek kelder + balken,13.375,10.7,16.05,2013-05-24 08:00:00,2013-06-06 17:00:00,,1.0
13,1.13,wanden gelijkvloers,17.375,13.9,20.85,2013-06-07 08:00:00,2013-06-24 17:00:00,,49470.12109375
14,1.14,binnenzetten bouwmaterialen,2.375,1.9,2.85,2013-06-10 08:00:00,2013-06-12 17:00:00,,1.0
15,1.15,verwarming helling,0.375,0.3,0.45,2013-06-10 08:00:00,2013-06-10 17:00:00,,100.0
16,1.16,helling - vloer en wanden,18.375,14.7,22.05,2013-06-10 08:00:00,2013-06-28 17:00:00,,1.0
17,1.17,afdek gelijkvloers (vloerplaat 1ste) + balken,13.375,10.7,16.05,2013-06-18 08:00:00,2013-07-01 17:00:00,,1.0
18,1.18,wanden 1ste verdiep,36.375,29.1,43.65,2013-07-02 08:00:00,2013-08-07 17:00:00,,49470.12109375
19,1.19,binnenzetten bouwmaterialen,4.375,3.5,5.25,2013-07-04 08:00:00,2013-07-08 17:00:00,,1.0
20,1.2,afdek 1ste verdiep (vloerplaat 2de) + balken,34.375,27.5,41.25,2013-07-11 08:00:00,2013-08-14 17:00:00,,1.0
21,1.21,stelling plaatsen,11.375,9.1,13.65,2013-08-19 08:00:00,2013-08-30 17:00:00,,1.0
22,1.22,gevelmetselwerk + blauwe hardsteen,109.375,87.5,131.25,2013-08-26 08:00:00,2013-12-13 17:00:00,,117171.25
23,1.23,wanden 2de verdiep,15.375,12.3,18.45,2013-09-02 08:00:00,2013-09-17 17:00:00,,49470.12109375
24,1.24,binnenzetten bouwmaterialen,2.375,1.9,2.85,2013-09-02 08:00:00,2013-09-04 17:00:00,,1.0
25,1.25,prefabmontage,102.375,81.9,122.85,2013-09-02 08:00:00,2013-12-13 17:00:00,,541678.4375
26,1.26,afdek 2de verdiep (dakplaat) + balken,13.375,10.7,16.05,2013-09-11 08:00:00,2013-09-24 17:00:00,,1.0
27,1.27,dakranden Ytong,6.375,5.1,7.65,2013-09-25 08:00:00,2013-10-01 17:00:00,,14570.25
28,1.28,Hellingsbeton + dakverdichting,13.375,10.7,16.05,2013-10-02 08:00:00,2013-10-15 17:00:00,,35815.76953125
29,1.29,dakverdicting-eindlaag,6.375,5.1,7.65,2013-11-15 08:00:00,2013-11-21 17:00:00,,74525.4296875
30,1.3,binnenwanden niv 0/1/2,48.375,38.7,58.05,2013-10-16 08:00:00,2013-12-03 17:00:00,,95040.0625
53,1.31,leiding technieken - sanitair,48.375,38.7,58.05,2013-10-23 08:00:00,2013-12-10 17:00:00,,264787.6875
31,1.32,leidingen technieken - electriciteit,48.375,38.7,58.05,2013-10-23 08:00:00,2013-12-10 17:00:00,,97978.796875
32,1.33,chape,42.375,33.9,50.85,2013-11-05 08:00:00,2013-12-17 17:00:00,,62467.83984375
33,1.34,pleisterwerken,55.375,44.3,66.45,2013-12-13 08:00:00,2014-02-06 17:00:00,,66856.1484375
34,1.35,leuningen,13.375,10.7,16.05,2014-01-10 08:00:00,2014-01-23 17:00:00,,116780.3203125
35,1.36,voegwerken,27.375,21.9,32.85,2014-01-16 08:00:00,2014-02-12 17:00:00,,3595.2900390625
36,1.37,dakverdichting boven trapzalen,6.375,5.1,7.65,2014-01-24 08:00:00,2014-01-30 17:00:00,,1.0
37,1.38,stelling afbreken,3.375,2.7,4.05,2014-01-24 08:00:00,2014-01-27 17:00:00,,1.0
38,1.39,afbreken torenkraan,0.375,0.3,0.45,2014-01-27 08:00:00,2014-01-27 17:00:00,,1.0
