node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Defense Building,389.375,385.48,393.27,2014-01-06 08:00:00,2015-01-30 17:00:00,,4331260.48588181
1,1.1,Plaatsbeschrijving,0.375,0.3,0.45,2014-01-06 08:00:00,2014-01-06 17:00:00,,935.0
2,1.2,Opstellen URS,6.375,3.19,7.65,2014-01-07 08:00:00,2014-01-13 17:00:00,,2937.0
3,1.3,Werfinrichting / stofwanden,13.375,6.69,16.05,2014-01-07 08:00:00,2014-01-20 17:00:00,,2435.04998779297
4,1.4,Risk Assessment,6.375,5.1,7.65,2014-01-14 08:00:00,2014-01-20 17:00:00,,4928.0
5,1.5,Uitzetten van de werf,7.375,5.9,14.75,2014-01-14 08:00:00,2014-01-21 17:00:00,,8937.0
6,1.6,Validation Master Plan,112.375,89.9,134.85,2014-01-20 08:00:00,2014-05-12 17:00:00,,199353.2734375
7,1.7,Metselwerken / Betonwerken,26.375,21.1,52.75,2014-01-22 08:00:00,2014-02-17 17:00:00,,51444.76953125
8,1.8,Voorbereiding technieken,36.375,18.19,43.65,2014-01-22 08:00:00,2014-02-27 17:00:00,,18357.0
9,1.9,Voeding werfzone,0.375,0.3,0.45,2014-01-22 08:00:00,2014-01-22 17:00:00,,10000.0
10,1.1,Plaatsen afvoeren,6.375,5.1,7.65,2014-01-22 08:00:00,2014-01-28 17:00:00,,31746.220703125
11,1.11,Afbraak en/of omleggen bestaand bord,1.375,0.69,1.65,2014-01-23 08:00:00,2014-01-24 17:00:00,,10000.0
12,1.12,Groepen plaatsen,13.375,10.7,16.05,2014-01-28 08:00:00,2014-02-10 17:00:00,,455069.0
13,1.13,Plaatsen toevoerleiding vanuit verd -1 naar verd +1,6.375,5.1,7.65,2014-01-28 08:00:00,2014-02-03 17:00:00,,31746.220703125
14,1.14,Kanalen,27.375,13.69,32.85,2014-02-04 08:00:00,2014-03-03 17:00:00,,285454.1875
15,1.15,Plaatsen waterinstallatie in Techn Ruimte,27.375,21.9,32.85,2014-03-12 08:00:00,2014-04-08 17:00:00,,32234.1796875
17,1.16,Pleisterwerken,21.375,17.1,25.65,2014-02-18 08:00:00,2014-03-11 17:00:00,,18854.4697265625
18,1.17,Plaatsen nieuwe centrale op niv -2,6.375,5.1,12.75,2014-02-18 08:00:00,2014-02-24 17:00:00,,12002.400390625
16,1.18,plaatsen stalen poutrellen ter versteviging,1.375,1.1,2.75,2014-05-13 08:00:00,2014-05-14 17:00:00,,21629.509765625
19,1.19,demonteren plafonds niv 0,4.375,3.5,5.25,2014-02-27 08:00:00,2014-03-03 17:00:00,,3008.0
20,1.2,maken doorvoeren niv +1 -> gvl,6.375,3.19,7.65,2014-02-20 08:00:00,2014-02-26 17:00:00,,6670.93994140625
21,1.21,Kabels naar bord verd -2,5.375,4.3,6.45,2014-02-20 08:00:00,2014-02-25 17:00:00,,7207.0
22,1.22,Plaatsen toevoerleidingen + isolatie,42.375,21.19,50.85,2014-02-21 08:00:00,2014-04-04 17:00:00,,31746.2197265625
23,1.23,Plaatsen leidingen,43.375,34.7,86.75,2014-02-24 08:00:00,2014-04-08 17:00:00,,17246.0500488281
24,1.24,plaatsen afvoeren en aansluiten op niv 0,28.375,22.7,34.05,2014-02-27 08:00:00,2014-03-27 17:00:00,,5540.919921875
25,1.25,Maken doorvoeren dak -> niv +1,1.375,1.1,2.75,2014-02-27 08:00:00,2014-02-28 17:00:00,,11485.7998046875
26,1.26,Aanpassingswerken dak,7.375,5.9,14.75,2014-03-03 08:00:00,2014-03-10 17:00:00,,1885.10998535156
27,1.27,Chape,6.375,5.1,7.65,2014-03-12 08:00:00,2014-03-18 17:00:00,,30266.689453125
28,1.28,Piping,41.375,33.1,49.65,2014-03-19 08:00:00,2014-04-29 17:00:00,,92974.578125
29,1.29,Bekabeling,42.375,33.9,50.85,2014-04-30 08:00:00,2014-06-11 17:00:00,,20000.0
30,1.3,Kabelgoten,14.375,11.5,17.25,2014-03-18 08:00:00,2014-04-01 17:00:00,,8577.61010742188
31,1.31,Plaatsen leidingen,14.375,11.5,28.75,2014-03-18 08:00:00,2014-04-01 17:00:00,,27983.5
32,1.32,gipskartonwanden 1e zijde,18.375,14.7,22.05,2014-03-21 08:00:00,2014-04-08 17:00:00,,48507.76171875
33,1.33,dichtleggen plafond niv 0,0.375,0.3,0.75,2014-03-28 08:00:00,2014-03-28 17:00:00,,2876.0
34,1.34,Alu buitenramen / roosters,8.375,6.7,16.75,2014-04-01 08:00:00,2014-04-09 17:00:00,,40211.328125
35,1.35,Technieken in gipswanden,19.375,15.5,23.25,2014-04-02 08:00:00,2014-04-21 17:00:00,,34640.0
36,1.36,Leidingen trekken + inbouwbakjes,26.375,21.1,31.65,2014-04-02 08:00:00,2014-04-28 17:00:00,,44692.69921875
37,1.37,Plaatsen brandleiding + koppelingen,11.375,9.1,22.75,2014-04-07 08:00:00,2014-04-18 17:00:00,,31746.220703125
38,1.38,structuur voorzetwanden,5.375,4.3,6.45,2014-04-09 08:00:00,2014-04-14 17:00:00,,18409.8798828125
39,1.39,Beglaasde binnenramen,6.375,5.1,7.65,2014-05-07 08:00:00,2014-05-13 17:00:00,,30766.05078125
40,1.4,Buitenzonnewering,5.375,4.3,6.45,2014-04-10 08:00:00,2014-04-15 17:00:00,,4000.0
41,1.41,"gipskartonwanden 2e zijde, incl plamuren",20.375,16.3,24.45,2014-04-23 08:00:00,2014-05-13 17:00:00,,48507.76171875
42,1.42,Afmonteren data aansluitingen,15.375,7.69,18.45,2014-04-23 08:00:00,2014-05-08 17:00:00,,14837.0
43,1.43,Plaatsen leidingen branddetectie,10.375,8.3,12.45,2014-04-28 08:00:00,2014-05-08 17:00:00,,2908.16998291016
44,1.44,Technieken boven valse plafonds,27.375,13.69,32.85,2014-04-30 08:00:00,2014-05-27 17:00:00,,14283.0
45,1.45,Dichtzetten voorzetwanden,3.375,2.7,4.05,2014-05-09 08:00:00,2014-05-12 17:00:00,,18409.880859375
46,1.46,Laufervloer,1.375,1.1,2.75,2014-05-13 08:00:00,2014-05-14 17:00:00,,1839.76000976562
47,1.47,Afwerken dagkanten ramen,6.375,5.1,7.65,2014-05-13 08:00:00,2014-05-19 17:00:00,,17304.0
48,1.48,Hygienische coating Technische Ruimte,6.375,5.1,7.65,2014-05-14 08:00:00,2014-05-20 17:00:00,,5938.0
49,1.49,Wandbekleding binnenzijde gevel,5.375,4.3,6.45,2014-06-11 08:00:00,2014-06-16 17:00:00,,31558.259765625
50,1.5,Bekleden cleanroomwanden,21.375,10.69,25.65,2014-05-26 08:00:00,2014-06-16 17:00:00,,48507.76171875
51,1.51,Plaatsen metalen deuromlijstingen,5.375,4.3,10.75,2014-05-28 08:00:00,2014-06-02 17:00:00,,254308.8125
52,1.52,Beloopbaar verlaagd plafond Cleanroom,21.375,17.1,42.75,2014-06-03 08:00:00,2014-06-24 17:00:00,,6840.0
53,1.53,"Plaatsen schakelaars, stopcontacten",26.375,21.1,31.65,2014-06-12 08:00:00,2014-07-08 17:00:00,,95912.8515625
54,1.54,Verlaagde plafonds,5.375,4.3,6.45,2014-06-13 08:00:00,2014-06-18 17:00:00,,224091.65625
55,1.55,Plaatsen verlichtingsarmaturen,58.375,46.7,116.75,2014-06-17 08:00:00,2014-08-14 17:00:00,,5972.35998535156
56,1.56,Plaatsen elektr borden,2.375,1.9,2.85,2014-06-18 08:00:00,2014-06-20 17:00:00,,15887.0703125
57,1.57,Aansluiten elektr bord,20.375,16.3,24.45,2014-06-19 08:00:00,2014-07-09 17:00:00,,10000.0
58,1.58,"Plaatsen kranenwerk, toestellen",20.375,16.3,24.45,2014-06-18 08:00:00,2014-07-08 17:00:00,,15905.8198242188
59,1.59,Afwerking,13.375,10.7,16.05,2014-06-18 08:00:00,2014-07-01 17:00:00,,3924.88000488281
60,1.6,Afgewerkte cleanroomwanden,0.0,0.0,0.0,2014-06-18 17:00:00,2014-06-18 17:00:00,,0.0
61,1.61,Schilderwerken,18.375,14.7,36.75,2014-06-20 08:00:00,2014-07-08 17:00:00,,31979.19921875
62,1.62,Plaatsen sokkels meubilair,4.375,3.5,5.25,2014-06-20 08:00:00,2014-06-24 17:00:00,,2843.0
