node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Town Square,1151.375,1139.86,1162.89,2002-01-25 08:00:00,2005-03-21 17:00:00,,11421890.3642731
1,1.1,Gemeenteraadsbeslissing 1,0.375,0.3,0.45,2002-01-25 08:00:00,2002-01-25 17:00:00,,12133.1201171875
2,1.2,Collegebeslissing 1,0.375,0.3,0.45,2002-06-03 08:00:00,2002-06-03 17:00:00,,12133.1201171875
3,1.3,Collegebeslissing 2,0.375,0.3,0.45,2003-05-26 08:00:00,2003-05-26 17:00:00,,12133.1201171875
4,1.4,Gemeenteraadsbeslissing 2,0.375,0.3,0.45,2003-08-29 08:00:00,2003-08-29 17:00:00,,12133.1201171875
5,1.5,Collegebeslissing 3,0.375,0.3,0.45,2003-12-08 08:00:00,2003-12-08 17:00:00,,12133.1201171875
6,1.6,Gemeenteraadsbeslissing 3,0.375,0.3,0.45,2004-01-30 08:00:00,2004-01-30 17:00:00,,12133.1201171875
7,1.7,Begin werken,0.0,0.0,0.0,2004-02-16 17:00:00,2004-02-16 17:00:00,,0.0
8,1.8,Werfinrichting,4.375,3.5,5.25,2004-02-16 08:00:00,2004-02-20 17:00:00,,486392.09375
9,1.9,Bemaling,17.375,13.9,20.85,2004-02-16 08:00:00,2004-03-04 17:00:00,,81025.5078125
12,1.10,Halfondergrondse parking,387.0,383.13,390.87,2004-02-11 17:00:00,2005-03-04 17:00:00,,4964207.22399902
11,1.10.1,Constructie PK (moot 1),133.0,131.67,134.33,2004-02-11 17:00:00,2004-06-23 17:00:00,,1124458.53674316
10,1.10.1.1,Afgifte plannen,0.0,0.0,0.0,2004-02-11 17:00:00,2004-02-11 17:00:00,,0.0
14,1.10.1.2,Grondwerk,20.375,20.17,20.58,2004-02-25 08:00:00,2004-03-16 17:00:00,,157522.578125
13,1.10.1.2.1,Graafwerken,20.375,16.3,24.45,2004-02-25 08:00:00,2004-03-16 17:00:00,,157522.578125
16,1.10.1.3,Vloerplaat,16.375,16.21,16.54,2004-03-08 08:00:00,2004-03-24 17:00:00,,471488.662109375
15,1.10.1.3.1,Werkvloer,10.375,8.3,12.45,2004-03-08 08:00:00,2004-03-18 17:00:00,,12396.849609375
17,1.10.1.3.2,Wapening vloerplaat,13.375,10.7,16.05,2004-03-10 08:00:00,2004-03-23 17:00:00,,449449.8125
18,1.10.1.3.3,Vloerplaat,8.375,6.7,10.05,2004-03-16 08:00:00,2004-03-24 17:00:00,,9642.0
20,1.10.1.4,Wanden/kolommen,27.375,27.1,27.65,2004-03-17 08:00:00,2004-04-13 17:00:00,,143428.798461914
19,1.10.1.4.1,Kolommen,7.375,5.9,8.85,2004-03-19 08:00:00,2004-03-26 17:00:00,,11706.16015625
21,1.10.1.4.2,Wapening wanden,5.375,4.3,6.45,2004-03-18 08:00:00,2004-03-23 17:00:00,,37948.46875
22,1.10.1.4.3,Wanden,27.375,21.9,32.85,2004-03-17 08:00:00,2004-04-13 17:00:00,,57553.0703125
23,1.10.1.4.4,Wapening talud,1.375,1.1,1.65,2004-03-24 08:00:00,2004-03-25 17:00:00,,34975.19921875
24,1.10.1.4.5,Betontalud,0.375,0.3,0.45,2004-03-26 08:00:00,2004-03-26 17:00:00,,1245.90002441406
26,1.10.1.5,Dakplaat,86.375,85.51,87.24,2004-03-29 08:00:00,2004-06-23 17:00:00,,352018.498046875
25,1.10.1.5.1,Balken,7.375,5.9,8.85,2004-03-29 08:00:00,2004-04-05 17:00:00,,9794.169921875
27,1.10.1.5.2,Dakplaat,55.375,44.3,66.45,2004-04-08 08:00:00,2004-06-02 17:00:00,,33174.8515625
28,1.10.1.5.3,Wapening dakplaat,51.375,41.1,61.65,2004-04-26 08:00:00,2004-06-16 17:00:00,,275874.625
29,1.10.1.5.4,Beton dakplaat,50.375,40.3,60.45,2004-05-04 08:00:00,2004-06-23 17:00:00,,33174.8515625
31,1.10.2,Constructie PK (moot 2),122.0,120.78,123.22,2004-02-27 17:00:00,2004-06-28 17:00:00,,338610.479370117
30,1.10.2.1,Afgifte plannen,0.0,0.0,0.0,2004-02-27 17:00:00,2004-02-27 17:00:00,,0.0
33,1.10.2.2,Grondwerk,2.375,2.35,2.4,2004-03-17 08:00:00,2004-03-19 17:00:00,,31504.51953125
32,1.10.2.2.1,Graafwerken,2.375,1.9,2.85,2004-03-17 08:00:00,2004-03-19 17:00:00,,31504.51953125
