node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,nan,Totale Intercampagne installatie 2:                               2958 ladingen,9.0,9.0,9.0,2022-09-11 01:00:00,nan,,
3,nan, Uitdienstname gasrecuperatie installatie 2 + inbeslagnemen brilklep en spuien met stikstof.,1.0,1.0,1.0,2022-09-11 01:00:00,nan,,
4,nan, Testen stoominjecties (mekaniekers ter plaatse aanwezig).,0.0,0.0,0.0,2022-09-11 02:00:00,nan,,
5,nan, Ledigen van vuilslit (om later de convertorstenen te stockeren).,2.0,2.0,2.0,2022-09-11 01:00:00,nan,,
6,nan, Verwijderen van het schroot op en rond de beschermtunnels convertor.,1.0,1.0,1.0,2022-09-11 01:00:00,nan,,
7,nan, Beschermtunnels voor convertor wegnemen.,1.0,1.0,1.0,2022-09-11 02:00:00,nan,,
8,nan," Laadvloer volldig afzetten met nadarhekkens (kant kanaal en kant be, valgevaar in put na verwijderen tunnels).",0.0,0.0,0.0,2022-09-11 08:00:00,nan,,
9,nan," Beerbranden convertorbodem, conus en bek.",1.0,1.0,1.0,2022-09-11 04:00:00,nan,,
10,nan, Alle weegbunkers AKT convertortoeslagen leegmaken.,3.0,3.0,3.0,2022-09-11 04:00:00,nan,,
11,nan, Dagbunker 1 convertortoeslagen AKT leegmaken.,3.0,3.0,3.0,2022-09-11 04:00:00,nan,,
12,nan," Reinigen van zuurstoflansen, sublansen en lansengat (loshangende stukken verwijderen) en lansenplatform.",1.0,1.0,1.0,2022-09-11 05:00:00,nan,,
13,nan," Inleggen sequentieknop ""Koelen schouw start IC"" (Automatisch ventilator TLT op 1000 toeren met venturies 100% opengestuurd, op beeld CV2: Schouw op WinCC).",0.0,0.0,0.0,2022-09-11 05:00:00,nan,,
14,nan," Op hand de spoelafsluiters watertas, taugtopf en watersloten opensturen en controleren of deze leegkomen (controle peilmetingen).",0.0,0.0,0.0,2022-09-11 05:05:00,nan,,
15,nan, Uitvoeren van inbeslagnames van gassen (positieve isolatieafsluiters) volgens werkvoorschrift WVS000060922.,2.0,2.0,2.0,2022-09-11 05:00:00,nan,,
16,nan, Opmeten convertor met ferrotron.,0.0,0.0,0.0,2022-09-11 07:00:00,nan,,
17,nan, Reinigen van trillers onder de weegbunkers AKT + nazicht bunkers op 32m.,0.0,0.0,0.0,2022-09-11 07:00:00,nan,,
18,nan, Afzetten Wagner Biro na beerbranden convertor (automatische afsluiters dicht sturen + opensturen B&R).,0.0,0.0,0.0,2022-09-11 07:15:00,nan,,
19,nan, Vaste schouw en ballon leeg en drukloos maken vanaf 6bar volgens werkvoorschrift WVS000060423.,2.0,2.0,2.0,2022-09-11 08:00:00,nan,,
20,nan, Slakstopper reinigen en vergrendelen.,0.0,0.0,0.0,2022-09-11 07:15:00,nan,,
21,nan, Afbranden bouten gietgat en afnemen gietgatplaat.,1.0,1.0,1.0,2022-09-11 07:30:00,nan,,
22,nan, Zandbunker PM leegmaken en reinigen weeggedeelte + verwijderen pallet met zand.,0.0,0.0,0.0,2022-09-11 08:45:00,nan,,
23,nan, Reinigen zone rond de lagers.,1.0,1.0,1.0,2022-09-11 09:00:00,nan,,
24,nan, Machinaal reinigen bek en conus convertor (gebruik van Wieger of Gradall) + afnemen gietplaat.,0.0,0.0,0.0,2022-09-11 08:45:00,nan,,
25,nan, Uitvoeren inbeslagnames installatie in volgorde volgens werkvoorschrift.,25.0,25.0,25.0,2022-09-11 09:00:00,nan,,
26,nan," Reinigen convertormantel, slakkenbeschermplaten en wanden doghouse.",5.0,5.0,5.0,2022-09-11 09:15:00,nan,,
27,nan, Reinigen convertormuren en gekoelde kap PM2 met Wieger (geen betreding in de convertorput).,5.0,5.0,5.0,2022-09-11 09:15:00,nan,,
28,nan, Controle uitvoeren op de gereinigde doghouse en convertor.,0.0,0.0,0.0,2022-09-11 11:00:00,nan,,
29,nan, Alle weegbunkers APT pantoeslagen 32.0132.11  leegmaken met S32 naar vuibakken op niveau 0m.,3.0,3.0,3.0,2022-09-11 11:00:00,nan,,
