node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Project,188.0,188.0,188.0,2022-12-07 08:00:00,2023-08-25 17:00:00,,0
1,1.1,Conventional,188.0,188.0,188.0,2022-12-07 08:00:00,2023-08-25 17:00:00,,0
2,1.1.1,Sleuven + plaat,4.0,3.2,4.8,2022-12-07 08:00:00,2022-12-12 17:00:00,,0
3,1.1.2,Afwerking riolering,2.0,1.6,2.4,2022-12-13 08:00:00,2022-12-14 17:00:00,,0
4,1.1.3,"Metselwerken, wapening, dorpels",44.0,35.2,52.8,2022-12-15 08:00:00,2023-02-14 17:00:00,,0
5,1.1.4,Opmeten + plaatsen ramen zonder kap (dubbel glas) + poort,4.0,3.2,4.8,2023-03-28 08:00:00,2023-03-31 17:00:00,,0
6,1.1.5,Opmeten + plaatsen van horren,3.0,2.4,3.6,2023-07-04 08:00:00,2023-07-06 17:00:00,,0
7,1.1.6,"Reguliere ventilatie, elektriciteit, hellingschape, roofing",8.0,6.4,9.6,2023-03-16 08:00:00,2023-03-27 17:00:00,,0
8,1.1.7,Leidingen sanitair + binnen brengen water,3.0,2.4,3.6,2023-06-29 08:00:00,2023-07-03 17:00:00,,0
9,1.1.8,"gas en elektriciteit: Leidingen, cvketel, keuring, binnen brengen, ontzegeling",10.0,8.0,12.0,2023-02-17 08:00:00,2023-03-02 17:00:00,,0
10,1.1.9,Binnen brengen Proximus,2.0,1.6,2.4,2023-08-22 08:00:00,2023-08-23 17:00:00,,0
11,1.1.10,Opmeten + plaatsen keuken,4.0,3.2,4.8,2023-05-05 08:00:00,2023-05-10 17:00:00,,0
12,1.1.11,Bad,2.0,1.6,2.4,2023-08-14 08:00:00,2023-08-15 17:00:00,,0
13,1.1.12,Plaatsen sanitaire toestellen,4.0,3.2,4.8,2023-08-03 08:00:00,2023-08-08 17:00:00,,0
14,1.1.13,Opmeten en plaatsen binnendeuren en glazen deur,5.0,4.0,6.0,2023-04-20 08:00:00,2023-04-26 17:00:00,,0
15,1.1.14,Plaatsen doorvalbeveiliging,2.0,1.6,2.4,2023-02-15 08:00:00,2023-02-16 17:00:00,,0
16,1.1.15,EPS Chape + PUR isolatie,3.0,2.4,3.6,2023-05-11 08:00:00,2023-05-15 17:00:00,,0
17,1.1.16,Plaatsen vloerverwarming,2.0,1.6,2.4,2023-05-19 08:00:00,2023-05-22 17:00:00,,0
18,1.1.17,Chape,22.0,17.6,26.4,2023-05-23 08:00:00,2023-06-21 17:00:00,,0
19,1.1.18,Opstart cv cyclus vloerverwarming,11.0,8.8,13.2,2023-06-22 08:00:00,2023-07-06 17:00:00,,0
20,1.1.19,Opmeten + plaatsen trap,3.0,2.4,3.6,2023-07-07 08:00:00,2023-07-11 17:00:00,,0
21,1.1.20,Plaatsen vloeren en faience + laminaat/parket,16.0,12.8,19.2,2023-07-12 08:00:00,2023-08-02 17:00:00,,0
22,1.1.21,Afwerking vloeren,2.0,1.6,2.4,2023-08-16 08:00:00,2023-08-17 17:00:00,,0
23,1.1.22,Opspuiten buitenschrijnwerk,2.0,1.6,2.4,2023-08-09 08:00:00,2023-08-10 17:00:00,,0
24,1.1.23,Opmeten + plaatsenarduinplint,4.0,3.2,4.8,2023-06-23 08:00:00,2023-06-28 17:00:00,,0
25,1.1.24,Gevelbepleistering,6.0,4.8,7.2,2023-04-03 08:00:00,2023-04-10 17:00:00,,0
26,1.1.25,Gevelbekleding alu,3.0,2.4,3.6,2023-05-16 08:00:00,2023-05-18 17:00:00,,0
27,1.1.26,Regenafvoer,4.0,3.2,4.8,2023-04-27 08:00:00,2023-05-02 17:00:00,,0
28,1.1.27,Plaatsen klinkers,3.0,2.4,3.6,2023-08-11 08:00:00,2023-08-15 17:00:00,,0
29,1.1.28,Plaatsen omheining,2.0,1.6,2.4,2023-08-09 08:00:00,2023-08-10 17:00:00,,0
30,1.1.29,Plakwerk,7.0,5.6,8.4,2023-04-11 08:00:00,2023-04-19 17:00:00,,0
31,1.1.30,Afwerken ventilatie,2.0,1.6,2.4,2023-08-16 08:00:00,2023-08-17 17:00:00,,0
32,1.1.31,Luchtdichtheidstest + keuring riolering,2.0,1.6,2.4,2023-08-18 08:00:00,2023-08-21 17:00:00,,0
33,1.1.32,Afleveren EPB en PID,1.0,0.8,1.2,2023-08-25 08:00:00,2023-08-25 17:00:00,,0
34,1.1.33,Afwerking opdoen + reinigen woning,2.0,1.6,2.4,2023-08-22 08:00:00,2023-08-23 17:00:00,,0
35,1.1.34,Overhandiging sleutels,1.0,0.8,1.2,2023-08-24 08:00:00,2023-08-24 17:00:00,,0
