node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Project,200.37499999996362,198.37,202.38,2017-01-23 08:00:00,2017-08-11 17:00:00,,426354
1,1.1,1. Definition of the project,102.375,101.35,103.4,2017-01-23 08:00:00,2017-05-05 17:00:00,,8200
2,1.1.1, 1.1. Project description,1.375,1.1,1.65,2017-01-23 08:00:00,2017-01-24 17:00:00,,800
3,1.1.2, 1.2. Budget,5.375,4.3,6.45,2017-01-25 08:00:00,2017-01-30 17:00:00,,1200
4,1.1.3, 1.3. Sponsoring,63.375,62.74,64.01,2017-01-31 08:00:00,2017-04-04 17:00:00,,5000
5,1.1.3.1, 1.3.1. Formulation of sponsor file,6.375,5.1,7.65,2017-01-31 08:00:00,2017-02-06 17:00:00,,1600
6,1.1.3.2, 1.3.2. Contacts and contracts with sponsors,48.375,38.7,58.05,2017-02-07 08:00:00,2017-03-27 17:00:00,,2600
7,1.1.3.3, 1.3.3. Organisation of return sponsors,7.375,5.9,8.85,2017-03-28 08:00:00,2017-04-04 17:00:00,,800
8,1.1.4,FEEDING BUFFER,30.375,24.3,36.45,2017-04-05 08:00:00,2017-05-05 17:00:00,,0
9,1.1.5, 1.4. Project charter,2.375,2.35,2.4,2017-03-22 08:00:00,2017-03-24 17:00:00,,1200
10,1.1.5.1, 1.4.1. Draft of the project charter,1.375,1.1,1.65,2017-03-22 08:00:00,2017-03-23 17:00:00,,1000
11,1.1.5.2, 1.4.2. Proposals and approvement of project charter,0.375,0.3,0.45,2017-03-24 08:00:00,2017-03-24 17:00:00,,200
12,1.2,2. Design phase,52.375,51.85,52.9,2017-03-27 08:00:00,2017-05-18 17:00:00,,3000
13,1.2.1, 2.1. Scenario event,2.375,1.9,2.85,2017-03-27 08:00:00,2017-03-29 17:00:00,,1800
14,1.2.2," 2.2. Design of hall, stage, sounds, light",13.375,10.7,16.05,2017-05-04 08:00:00,2017-05-17 17:00:00,,1000
15,1.2.3, 2.3. Approvement of design (milestone 2),0.375,0.3,0.45,2017-05-18 08:00:00,2017-05-18 17:00:00,,200
16,1.3,FEEDING BUFFER,10.375,8.3,12.45,2017-05-19 08:00:00,2017-05-29 17:00:00,,0
17,1.4,3. Realisation and implementation phase,134.375,133.03,135.72,2017-03-30 08:00:00,2017-08-11 17:00:00,,11120
18,1.4.1,3.1. Selection and composing of project team,13.375,10.7,16.05,2017-03-30 08:00:00,2017-04-12 17:00:00,,2200
19,1.4.2,3.2. Accompany project team,120.375,96.3,144.45,2017-04-13 08:00:00,2017-08-11 17:00:00,,8920
20,1.5,4. Festival organisation by team,24.375,24.13,24.62,2017-04-24 08:00:00,2017-05-18 17:00:00,,191850
21,1.5.1, 4.1. Fixation of date and location,3.375,2.7,4.05,2017-04-24 08:00:00,2017-04-27 17:00:00,,18000
22,1.5.2, 4.2. Composition of the program,14.375,11.5,17.25,2017-05-03 08:00:00,2017-05-17 17:00:00,,173750
23,1.5.3, 4.3. Approval (by steering committee),0.375,0.3,0.45,2017-05-18 08:00:00,2017-05-18 17:00:00,,100
24,1.6,5. Logistic en administrative organisation,84.375,83.53,85.22,2017-05-19 08:00:00,2017-08-11 17:00:00,,186000
25,1.6.1, 5.1 Administrative approval (by government),7.375,5.9,8.85,2017-05-19 08:00:00,2017-05-26 17:00:00,,13500
26,1.6.2, 5.2 Organisation catering,11.375,9.1,13.65,2017-07-31 08:00:00,2017-08-11 17:00:00,,500
27,1.6.3, 5.3 Organisation security,4.375,3.5,5.25,2017-08-07 08:00:00,2017-08-11 17:00:00,,17000
28,1.6.4, 5.4. Practical organisation,60.375,48.3,72.45,2017-06-12 08:00:00,2017-08-11 17:00:00,,155000
29,1.7,"6. Promotion, publicity en P.R.",30.375,30.07,30.68,2017-05-29 08:00:00,2017-06-28 17:00:00,,23500
30,1.7.1, 6.1. Posters and press-work,4.375,3.5,5.25,2017-05-29 08:00:00,2017-06-02 17:00:00,,22000
31,1.7.2, 6.2. Creation website,4.375,3.5,5.25,2017-06-05 08:00:00,2017-06-09 17:00:00,,0
32,1.7.3, 6.3. Public relations,16.375,16.21,16.54,2017-06-12 08:00:00,2017-06-28 17:00:00,,1500
33,1.7.3.1, 6.3.1. Organising persconference,9.375,7.5,11.25,2017-06-12 08:00:00,2017-06-21 17:00:00,,800
34,1.7.3.2, 6.3.2. Informing of nearby inhabitants,6.375,5.1,7.65,2017-06-22 08:00:00,2017-06-28 17:00:00,,700
35,1.8,7. Finance,69.375,68.68,70.07,2017-04-28 08:00:00,2017-07-06 17:00:00,,2684
36,1.8.1, 7.1. Global budget,4.375,3.5,5.25,2017-05-01 08:00:00,2017-05-05 17:00:00,,0
37,1.8.2, 7.2. Tickets,3.375,2.7,4.05,2017-05-08 08:00:00,2017-05-11 17:00:00,,1000
38,1.8.3, 7.3. Sales tickets,54.375,43.5,65.25,2017-05-12 08:00:00,2017-07-05 17:00:00,,100
39,1.8.4, 7.4. Budget monitoring,69.375,55.5,83.25,2017-04-28 08:00:00,2017-07-06 17:00:00,,1584
40,1.9,PROJECT BUFFER,43.375,34.7,52.05,2017-06-29 08:00:00,2017-08-11 17:00:00,,0
