node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Apartment Building Finishing Works (3),161.375,159.76,162.99,2016-03-21 08:00:00,2016-08-29 17:00:00,,377282
25,1.1,gelijkvloers blok B,121.375,120.16,122.59,2016-03-21 08:00:00,2016-07-20 17:00:00,,199743
1,1.1.1,pleisterwerken wanden 0 B,18.375,14.7,22.05,2016-03-21 08:00:00,2016-04-08 17:00:00,,15239
2,1.1.2,pleisterwerken plafonds 0 B,4.375,3.5,5.25,2016-03-21 08:00:00,2016-03-25 17:00:00,,19593
3,1.1.3,lichte scheidingswanden 0 B,11.375,9.1,13.65,2016-03-21 08:00:00,2016-04-01 17:00:00,,5007
4,1.1.4,gespoten PU isolaie en uitvullingen 0 B,2.375,1.9,2.85,2016-04-04 08:00:00,2016-04-06 17:00:00,,7619
5,1.1.5,chape 0 B,6.375,5.1,7.65,2016-04-07 08:00:00,2016-04-13 17:00:00,,3265
6,1.1.6,plaatsen keramsiche tegels 0 B,13.375,10.7,16.05,2016-05-12 08:00:00,2016-05-25 17:00:00,,28302
7,1.1.7,plaatsen faience 0 B,13.375,10.7,16.05,2016-05-19 08:00:00,2016-06-01 17:00:00,,11865
8,1.1.8,verlaagde plafonds 0 B,27.375,21.9,32.85,2016-05-05 08:00:00,2016-06-01 17:00:00,,10885
9,1.1.9,zachte vloerbekleding 0 B,13.375,10.7,16.05,2016-06-09 08:00:00,2016-06-22 17:00:00,,8708
10,1.1.10,binnenschrijnwerk 0 B,11.375,9.1,13.65,2016-06-23 08:00:00,2016-07-04 17:00:00,,30479
11,1.1.11,schilderwerken wanden en plafonds 0 B,27.375,21.9,32.85,2016-06-23 08:00:00,2016-07-20 17:00:00,,26125
12,1.1.12,binnenmeubilair 0 B,13.375,10.7,16.05,2016-06-23 08:00:00,2016-07-06 17:00:00,,32656
26,1.2,nivo +1 blok B,116.375,115.21,117.54,2016-05-05 08:00:00,2016-08-29 17:00:00,,177539
13,1.2.1,pleisterwerken wanden 1 B,20.375,16.3,24.45,2016-05-05 08:00:00,2016-05-25 17:00:00,,14082
14,1.2.2,pleisterwerken plafonds 1 B,13.375,10.7,16.05,2016-05-05 08:00:00,2016-05-18 17:00:00,,18106
15,1.2.3,lichte scheidingswanden 1 B,13.375,10.7,16.05,2016-05-12 08:00:00,2016-05-25 17:00:00,,4627
16,1.2.4,vloer uitvullingen 1 B,4.375,3.5,5.25,2016-05-26 08:00:00,2016-05-30 17:00:00,,3017
17,1.2.5,chape 1 B,6.375,5.1,7.65,2016-05-31 08:00:00,2016-06-06 17:00:00,,26153
18,1.2.6,plaatsen keramsiche tegels 1 B,13.375,10.7,16.05,2016-06-21 08:00:00,2016-07-04 17:00:00,,10964
19,1.2.7,plaatsen faience 1 B,13.375,10.7,16.05,2016-06-28 08:00:00,2016-07-11 17:00:00,,10059
20,1.2.8,zachte vloerbekleding 1 B,13.375,10.7,16.05,2016-07-19 08:00:00,2016-08-01 17:00:00,,8047
21,1.2.9,binnenschrijnwerk 1B,9.375,7.5,11.25,2016-08-02 08:00:00,2016-08-11 17:00:00,,28165
22,1.2.10,schilderwerken wanden en plafonds 1B,27.375,21.9,32.85,2016-08-02 08:00:00,2016-08-29 17:00:00,,24142
24,1.2.11,binnenmeubilair 1B,13.375,10.7,16.05,2016-08-02 08:00:00,2016-08-15 17:00:00,,30177
