node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,MIVB SeSaMe,19.125,18.93,19.32,2013-01-02 08:00:00,2013-01-21 11:00:00,,1538853.51032734
1,1.1,Start,0.583333333333333,0.47,0.7,2013-01-02 08:00:00,2013-01-01 18:00:00,,0.0
22,1.2,Installation and wiring,13.1666666666667,13.04,13.3,2013-01-02 08:00:00,2013-01-15 12:00:00,,1536175.74033689
9,1.2.1,Gate Installation,2.375,2.35,2.4,2013-01-02 08:00:00,2013-01-04 17:00:00,,179470.309065342
2,1.2.1.1,Left Entry gates,0.291666666666667,0.23,0.35,2013-01-02 08:00:00,2013-01-02 15:00:00,Labourer[2.00 #7],8274.080078125
3,1.2.1.2,Left Exit Gates,0.958333333333333,0.77,1.15,2013-01-02 15:00:00,2013-01-03 14:00:00,Labourer[0.88 #7],26296.41015625
4,1.2.1.3,Middle Entry Gates,1.125,0.9,1.35,2013-01-03 14:00:00,2013-01-04 17:00:00,Labourer[3.00 #7],19400.4296875
5,1.2.1.4,Middle Exit gates,0.791666666666667,0.63,0.95,2013-01-03 17:00:00,2013-01-04 12:00:00,Labourer[1.60 #7],4366.33008050919
6,1.2.1.5,Higher capacity middle entry gates,1.08333333333333,0.87,1.3,2013-01-02 08:00:00,2013-01-03 10:00:00,Labourer[4.09 #7],74445.9687309265
7,1.2.1.6,Right Entry gates,0.916666666666667,0.73,1.1,2013-01-03 13:00:00,2013-01-04 11:00:00,Labourer[0.88 #7],42656.0703125
8,1.2.1.7,Right Exit Gates,0.291666666666667,0.23,0.35,2013-01-03 10:00:00,2013-01-03 17:00:00,Labourer[3.00 #7],4031.02001953125
12,1.2.2,Door Installation,2.04166666666667,2.02,2.06,2013-01-07 17:00:00,2013-01-09 18:00:00,,1296249.73046875
10,1.2.2.1,STD-G install,1.125,0.9,1.35,2013-01-08 15:00:00,2013-01-09 18:00:00,Labourer[7.00 #7],1236247.0
11,1.2.2.2,SAS-G install,0.916666666666667,0.73,1.1,2013-01-07 17:00:00,2013-01-08 15:00:00,Labourer[4.00 #7],60002.73046875
15,1.2.3,ICT installation,1.33333333333333,1.32,1.35,2013-01-10 08:00:00,2013-01-11 16:00:00,,13653.5700654984
13,1.2.3.1,Annulation System,0.291666666666667,0.23,0.35,2013-01-11 09:00:00,2013-01-11 16:00:00,informatician[0.83 #1],9559.41015338898
14,1.2.3.2,Validation System,1.04166666666667,0.83,1.25,2013-01-10 08:00:00,2013-01-11 09:00:00,informatician,4094.15991210938
21,1.2.4,Other installations,3.83333333333333,3.79,3.87,2013-01-11 16:00:00,2013-01-15 12:00:00,,46802.1307373047
16,1.2.4.1,Service Entry,0.208333333333333,0.17,0.25,2013-01-14 11:00:00,2013-01-14 16:00:00,Labourer[1.50 #7],5850.240234375
17,1.2.4.2,Special Switches,0.125,0.1,0.15,2013-01-14 11:00:00,2013-01-14 14:00:00,Labourer,934.099975585938
18,1.2.4.3,Partitions,2.91666666666667,2.33,3.5,2013-01-11 16:00:00,2013-01-14 14:00:00,Labourer[3.00 #7],30593.900390625
19,1.2.4.4,Positioning Cables,0.833333333333333,0.67,1.0,2013-01-14 16:00:00,2013-01-15 12:00:00,Labourer[0.50 #7],5296.89013671875
20,1.2.4.5,Alarm buttons,2.79166666666667,2.23,3.35,2013-01-11 16:00:00,2013-01-14 11:00:00,Labourer[4.00 #7],4127.0
26,1.3,"Configuration, setup and testing",2.125,2.1,2.15,2013-01-15 13:00:00,2013-01-17 16:00:00,,1381.85000610352
23,1.3.1,gate configuration,0.208333333333333,0.17,0.25,2013-01-15 13:00:00,2013-01-15 18:00:00,informatician,426.910003662109
24,1.3.2,door configuration,0.208333333333333,0.17,0.25,2013-01-17 11:00:00,2013-01-17 16:00:00,informatician,502.589996337891
25,1.3.3,setup and testing,1.125,0.9,1.35,2013-01-16 08:00:00,2013-01-17 11:00:00,informatician,452.350006103516
30,1.4,Security control and commissioning,3.79166666666667,3.75,3.83,2013-01-17 16:00:00,2013-01-21 11:00:00,,1295.91998434067
27,1.4.1,gate security control,2.95833333333333,2.37,3.55,2013-01-18 11:00:00,2013-01-21 10:00:00,informatician[0.62 #1],426.910003662109
28,1.4.2,door security control,0.791666666666667,0.63,0.95,2013-01-17 16:00:00,2013-01-18 11:00:00,informatician[0.80 #1],459.359986782074
29,1.4.3,commissioning,0.0416666666666667,0.03,0.05,2013-01-21 10:00:00,2013-01-21 11:00:00,informatician,409.649993896484
31,1.5,The end,0.0,0.0,0.0,2013-01-21 11:00:00,2013-01-21 11:00:00,,0.0
