node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Mixed-used Building,745.375,737.92,752.83,2010-12-07 08:00:00,2012-12-21 17:00:00,,38697822.7304688
1,1.1,Mixed-use Building,0.625,0.5,0.75,2010-12-07 08:00:00,2010-12-06 17:00:00,,0.0
6,1.2,Dates clés contractuelles,414.0,409.86,418.14,2011-11-03 17:00:00,2012-12-21 17:00:00,,0.0
2,1.2.1,Date clé 1,0.0,0.0,0.0,2011-11-03 17:00:00,2011-11-03 17:00:00,,0.0
3,1.2.2,Date clé 2,0.0,0.0,0.0,2012-07-04 17:00:00,2012-07-04 17:00:00,,0.0
4,1.2.3,Date clé 3,0.0,0.0,0.0,2012-08-22 17:00:00,2012-08-22 17:00:00,,0.0
5,1.2.4,Date clé 4,0.0,0.0,0.0,2012-12-21 17:00:00,2012-12-21 17:00:00,,0.0
11,1.3,Dates clés suivant planning,436.0,431.64,440.36,2011-10-12 17:00:00,2012-12-21 17:00:00,,0.0
7,1.3.1,Date clé 1,0.0,0.0,0.0,2011-10-12 17:00:00,2011-10-12 17:00:00,,0.0
8,1.3.2,Date clé 2,0.0,0.0,0.0,2012-06-26 17:00:00,2012-06-26 17:00:00,,0.0
9,1.3.3,Date clé 3,0.0,0.0,0.0,2012-08-17 17:00:00,2012-08-17 17:00:00,,0.0
10,1.3.4,Date clé 4,0.0,0.0,0.0,2012-12-21 17:00:00,2012-12-21 17:00:00,,0.0
12,1.4,Notification de la commande,0.625,0.5,0.75,2010-12-07 08:00:00,2010-12-06 17:00:00,,0.0
13,1.5,Préparation du chantier,56.375,45.1,67.65,2010-12-14 08:00:00,2011-02-08 17:00:00,,139677.0
66,1.6,Délais contractuel,745.375,737.92,752.83,2010-12-07 08:00:00,2012-12-21 17:00:00,,38558145.7304688
14,1.6.1,Début des travaux,0.625,0.5,0.75,2010-12-07 08:00:00,2010-12-06 17:00:00,,0.0
15,1.6.2,Installation de chantier,13.375,10.7,16.05,2011-02-09 08:00:00,2011-02-22 17:00:00,,2974378.75
16,1.6.3,Démolitions et etançonnages,159.375,127.5,191.25,2010-12-09 08:00:00,2011-05-17 17:00:00,,1487539.125
19,1.6.4,Grue,456.375,451.81,460.94,2011-04-06 08:00:00,2012-07-05 17:00:00,,90142.80859375
17,1.6.4.1,Montage,22.375,17.9,26.85,2011-04-06 08:00:00,2011-04-28 17:00:00,,67607.109375
18,1.6.4.2,Démontage,6.375,5.1,7.65,2012-06-29 08:00:00,2012-07-05 17:00:00,,22535.69921875
65,1.6.5,Batiment,611.375,605.26,617.49,2011-04-20 08:00:00,2012-12-21 17:00:00,,34006085.046875
39,1.6.5.1,Gros oeuvre,398.375,394.39,402.36,2011-04-20 08:00:00,2012-05-22 17:00:00,,9830475.40625
