node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Planning_trip,92.375,91.45,93.3,2020-08-18 08:00:00,2020-11-18 17:00:00,,2450
51,1.1,Preparation Phase,92.375,91.45,93.3,2020-08-18 08:00:00,2020-11-18 17:00:00,,2450
42,1.1.1,Transportation,92.375,91.45,93.3,2020-08-18 08:00:00,2020-11-18 17:00:00,,300
1,1.1.1.1,Contact transportation Company,2.166666666700621,1.73,2.6,2020-08-18 08:00:00,2020-08-20 12:00:00,Organizer[4.00 #10],0
2,1.1.1.2,Agreement Transportation Company,18.95833333329938,15.17,22.75,2020-08-20 13:00:00,2020-09-08 12:00:00,Organizer[3.00 #10],0
3,1.1.1.3,Confirm Bus number of pax,1.1666666667006211,0.93,1.4,2020-11-09 08:00:00,2020-11-10 12:00:00,Organizer[2.00 #10],0
4,1.1.1.4,Make the contract,3.1666666665987577,2.53,3.8,2020-11-10 13:00:00,2020-11-13 17:00:00,Organizer[2.00 #10],0
5,1.1.1.5,Payment of transport,1.375,1.1,1.65,2020-11-17 08:00:00,2020-11-18 17:00:00,Organizer,300
43,1.1.2,Accomodation,92.375,91.45,93.3,2020-08-18 08:00:00,2020-11-18 17:00:00,,400
6,1.1.2.1,Contact accomodation Companies,6.375,5.1,7.65,2020-08-18 08:00:00,2020-08-24 17:00:00,Organizer[4.00 #10],0
7,1.1.2.2,Agreement accomodation Company,21.16666666670062,16.93,25.4,2020-08-25 08:00:00,2020-09-15 12:00:00,Organizer[3.00 #10],0
8,1.1.2.3,Confirm Accomodation company number of pax,1.375,1.1,1.65,2020-11-09 08:00:00,2020-11-10 17:00:00,Organizer[2.00 #10],0
9,1.1.2.4,Make the Contract,5.375,4.3,6.45,2020-11-11 08:00:00,2020-11-16 17:00:00,Organizer[2.00 #10],0
10,1.1.2.5,Payment of Accomodation,1.375,1.1,1.65,2020-11-17 08:00:00,2020-11-18 17:00:00,Organizer,400
44,1.1.3,Restaurants/Meals Plan,55.95833333329938,55.4,56.52,2020-09-16 13:00:00,2020-11-11 12:00:00,,700
11,1.1.3.1,Decide meals,2.1666666665987577,1.73,2.6,2020-09-16 13:00:00,2020-09-18 17:00:00,Organizer[6.00 #10],0
12,1.1.3.2,Contact Restaurants,8.166666666700621,6.53,9.8,2020-09-21 08:00:00,2020-09-29 12:00:00,Organizer[4.00 #10],0
13,1.1.3.3,Confirmation of number of meals,2.166666666700621,1.73,2.6,2020-11-09 08:00:00,2020-11-11 12:00:00,Organizer[2.00 #10],700
45,1.1.4,Buying in Supermarket,5.166666666700621,5.12,5.22,2020-11-12 08:00:00,2020-11-17 12:00:00,,0
14,1.1.4.1,Buy Drinks,5.166666666700621,4.13,6.2,2020-11-12 08:00:00,2020-11-17 12:00:00,Organizer[6.00 #10],0
46,1.1.5,Activities during the Weeking,51.375,50.86,51.89,2020-09-21 08:00:00,2020-11-11 17:00:00,,750
15,1.1.5.1,Choose Hiking Track,7.375,5.9,8.85,2020-09-21 08:00:00,2020-09-28 17:00:00,Organizer[5.00 #10],0
16,1.1.5.2,Contact Hiking Company,6.375,5.1,7.65,2020-09-29 08:00:00,2020-10-05 17:00:00,Organizer[2.00 #10],600
17,1.1.5.3,Contract DJ,6.375,5.1,7.65,2020-11-05 08:00:00,2020-11-11 17:00:00,Organizer[2.00 #10],150
47,1.1.6,inform Students,43.375,42.94,43.81,2020-10-06 08:00:00,2020-11-18 17:00:00,,300
18,1.1.6.1,Ordering posters and Fliers,15.166666666700621,12.13,18.2,2020-10-06 08:00:00,2020-10-21 12:00:00,Organizer[4.00 #10],300
19,1.1.6.2,Create event on Facebook,2.375,1.9,2.85,2020-10-06 08:00:00,2020-10-08 17:00:00,Organizer,0
20,1.1.6.3,Send additional information,2.375,1.9,2.85,2020-11-16 08:00:00,2020-11-18 17:00:00,Organizer[2.00 #10],0
48,1.1.7,Payment Preparation,29.375,29.08,29.67,2020-10-06 08:00:00,2020-11-04 17:00:00,,0
21,1.1.7.1,Create Form Payment (decide the price),2.166666666700621,1.73,2.6,2020-10-06 08:00:00,2020-10-08 12:00:00,Organizer[2.00 #10],0
22,1.1.7.2,Collecting Payments,0.16666666659875773,0.13,0.2,2020-11-04 13:00:00,2020-11-04 17:00:00,Organizer[4.00 #10],0
52,1.2,Agreement Done,0.0,0.0,0.0,2020-10-05 17:00:00,2020-10-05 17:00:00,,0
53,1.3,End of Planning,0.0,0.0,0.0,2020-11-18 17:00:00,2020-11-18 17:00:00,,0
