node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
3,1.1.1.1,CARTEL DE OBRA ,1.0,0.01,0.01,2022-07-01 00:00:00,nan,,
4,1.1.1.2,TRANSPORTE Y MOVILIZACION DE EQUIPOS HERRAMIENTAS Y MATERIALES A LA OBRA,4.0,0.04,0.28,2022-07-01 00:00:00,nan,,
5,1.1.1.3,MANTENIMIENTO DE TRANSITO Y SEGURIDAD VIAL,30.0,6.0,12.0,2022-07-01 00:00:00,nan,,
6,1.1.1.4,TRAZO Y REPLANTEO PARA LAS INSTALACIONES,1.0,0.01,0.01,2022-07-01 00:00:00,nan,,
7,1.1.1.5,ALQUILER DE ALMACEN DE OBRA Y GUARDIANIA,30.0,2.4,10.8,2022-07-01 00:00:00,nan,,
9,1.1.2.1,CORTE DE VEREDA CON DISCO ,1.0,0.01,0.01,2022-07-01 00:00:00,nan,team subcontractor,
10,1.1.2.2,DEMOLICION DE VEREDAS DE CONCRETO ,1.0,0.01,0.01,2022-07-01 00:00:00,nan,team subcontractor,
12,1.1.3.1,EXCAVACION MANUAL,1.0,0.01,0.01,2022-07-02 00:00:00,nan,team subcontractor[2.00 #8],
13,1.1.3.2,EXCAVACION MANUAL DE ZANJAS PARA DUCTOS,1.0,0.01,0.01,2022-07-02 00:00:00,nan,team subcontractor[2.00 #8],
14,1.1.3.3,CAMA DE ARENA PARA CABLE ELECTRICO,1.0,0.01,0.01,2022-07-03 00:00:00,nan,team subcontractor[2.00 #8],
15,1.1.3.4,INSTALACION DE TUBERIA PVC PARA CABLE SUBTERRANEO,1.0,0.01,0.01,2022-07-03 00:00:00,nan,team subcontractor[2.00 #8],
16,1.1.3.5,RELLENO COMPACTADO CON MATERIAL PROPIO,1.0,0.01,0.01,2022-07-04 00:00:00,nan,team subcontractor[2.00 #8],
17,1.1.3.6,BASE DE AFIRMADO ,1.0,0.01,0.01,2022-07-04 00:00:00,nan,team subcontractor[2.00 #8],
18,1.1.3.7,ELIMINACION DE MATERIAL EXCEDENTE CON ESPONJAMIENTO,1.0,0.01,0.01,2022-07-05 00:00:00,nan,team subcontractor[3.00 #8],
21,1.1.4.1.1,SOLADOS CONCRETO ,1.0,0.01,0.01,2022-07-05 00:00:00,nan,mason,
23,1.1.4.2.1,CIMIENTOS CORRIDOS ,1.0,0.01,0.01,2022-07-06 00:00:00,nan,mason,
25,1.1.4.3.1,CONCRETO PARA SOBRECIMIENTO ,1.0,0.01,0.01,2022-07-07 00:00:00,nan,mason,
26,1.1.4.3.2,ENCOFRADO Y DESENCOFRADO DE SOBRECIMIENTOS,1.0,0.01,0.01,2022-07-07 00:00:00,nan,carpenter,
28,1.1.4.4.1,CONCRETO PARA VEREDAS ,1.0,0.01,0.01,2022-07-11 00:00:00,nan,mason,
29,1.1.4.4.2,ENCOFRADO Y DESENCOFRADO DE VEREDAS,1.0,0.01,0.01,2022-07-10 00:00:00,nan,carpenter,
30,1.1.4.4.3,CURADO DE VEREDAS CON CURADOR QUIMICO,1.0,0.01,0.01,2022-07-12 00:00:00,nan,mason,
33,1.1.5.1.1,CONCRETO PARA ZAPATAS ,1.0,0.01,0.01,2022-07-08 00:00:00,nan,mason,
34,1.1.5.1.2,ACERO CORRUGADO  GRADO 60 EN ZAPATAS,1.0,0.01,0.01,2022-07-08 00:00:00,nan,mason,
35,1.1.5.1.3,PERNOS DE ANCLAJE PARA POSTES EN ZAPATAS ,1.0,0.01,0.01,2022-07-09 00:00:00,nan,mason,
37,1.1.5.2.1,CONCRETO PARA BASE DE POSTES Y CONTROLADOR ,1.0,0.01,0.01,2022-07-13 00:00:00,nan,mason,
38,1.1.5.2.2,ENCOFRADO PARA BASE DE POSTES Y CONTROLADOR,1.0,0.01,0.01,2022-07-12 00:00:00,nan,carpenter,
39,1.1.5.2.3,ACERO CORRUGADO  GRADO 60 EN BASE PARA POSTES,1.0,0.01,0.01,2022-07-12 00:00:00,nan,mason,
