node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Tax Return System (2),179.375,177.58,181.17,2014-01-02 08:00:00,2014-06-30 17:00:00,,39450
23,1.1,supporting tasks,7.04166666666667,6.97,7.11,2014-01-03 08:00:00,2014-01-10 09:00:00,,3690
1,1.1.1,project management,7.04166666666667,5.63,8.45,2014-01-03 08:00:00,2014-01-10 09:00:00,Employee A,3690
24,1.2,analyse,85.375,84.52,86.23,2014-01-02 08:00:00,2014-03-28 17:00:00,,5010
2,1.2.1,analyse,1.29166666666667,1.03,1.55,2014-01-02 08:00:00,2014-01-03 15:00:00,Employee A,1260
4,1.2.2,analyse AIA,8.08333333333333,6.47,9.7,2014-01-06 08:00:00,2014-01-14 10:00:00,Employee B,3750
5,1.2.3,analysis validated,0.0,0.0,0.0,2014-03-28 17:00:00,2014-03-28 17:00:00,,0
25,1.3,design,72.375,71.65,73.1,2014-01-29 08:00:00,2014-04-11 17:00:00,,6750
6,1.3.1,design HP,12.2916666666667,9.83,14.75,2014-01-29 08:00:00,2014-02-10 15:00:00,Employee C,5250
7,1.3.2,design HP,1.125,0.9,1.35,2014-01-29 08:00:00,2014-01-30 11:00:00,Employee D,825
8,1.3.3,design AIA,1.04166666666667,0.83,1.25,2014-02-12 08:00:00,2014-02-13 09:00:00,Employee B,675
9,1.3.4,design validated,0.0,0.0,0.0,2014-04-11 17:00:00,2014-04-11 17:00:00,,0
26,1.4,development,115.375,114.22,116.53,2014-01-28 08:00:00,2014-05-23 17:00:00,,15675
10,1.4.1,build HP,10.375,8.3,12.45,2014-01-28 08:00:00,2014-02-07 17:00:00,Employee E,5400
11,1.4.2,build MF,8.29166666666667,6.63,9.95,2014-01-30 08:00:00,2014-02-07 15:00:00,Employee F,4050
12,1.4.3,build AIA,14.125,11.3,16.95,2014-04-16 08:00:00,2014-04-30 11:00:00,Employee B,6225
13,1.4.4,development MF completed,0.0,0.0,0.0,2014-05-23 17:00:00,2014-05-23 17:00:00,,0
27,1.5,test ict & uat,81.375,80.56,82.19,2014-03-24 08:00:00,2014-06-13 17:00:00,,6000
14,1.5.1,testing HP,1.33333333333333,1.07,1.6,2014-05-05 08:00:00,2014-05-06 16:00:00,Employee C,1125
15,1.5.2,testing HP,2.33333333333333,1.87,2.8,2014-05-05 08:00:00,2014-05-07 16:00:00,Employee D,1725
16,1.5.3,testing MF,0.166666666666667,0.13,0.2,2014-03-24 08:00:00,2014-03-24 12:00:00,Employee F,300
17,1.5.4,testing AIA,4.29166666666667,3.43,5.15,2014-05-26 08:00:00,2014-05-30 15:00:00,Employee B,2850
18,1.5.5,testing MF completed,0.0,0.0,0.0,2014-06-13 17:00:00,2014-06-13 17:00:00,,0
28,1.6,implementation,0.0,0.0,0.0,2014-06-16 17:00:00,2014-06-16 17:00:00,,0
19,1.6.1,go live MF,0.0,0.0,0.0,2014-06-16 17:00:00,2014-06-16 17:00:00,,0
29,1.7,post implementation,14.375,14.23,14.52,2014-06-16 08:00:00,2014-06-30 17:00:00,,2325
20,1.7.1,post implementation - post go live support,0.375,0.3,0.45,2014-06-16 08:00:00,2014-06-16 17:00:00,Employee F,600
21,1.7.2,post implementation - post go live support,2.33333333333333,1.87,2.8,2014-06-16 08:00:00,2014-06-18 16:00:00,Employee B,1725
22,1.7.3,closure project,0.0,0.0,0.0,2014-06-30 17:00:00,2014-06-30 17:00:00,,0
