node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
3,1.1.1,CARTEL DE IDENTIFICACION DE OBRA,1.0,0.99,1.01,2021-11-01 08:00:00,2021-11-01 17:00:00,carpenter,
4,1.1.2,ENERGÍA ELÉCTRICA PROVISIONAL,1.0,0.8,1.2,2021-11-02 08:00:00,2021-11-02 17:00:00,steel worker,
5,1.1.3,MOVILIZACION Y DESMOVILIZACION DE EQUIPOS,1.0,0.8,1.2,2021-11-03 08:00:00,2021-11-03 17:00:00,team subcontractor,
6,1.1.4,FLETE (TRANSPORTE DE MATERIALES Y AGREGADO),1.0,0.99,1.01,2021-11-04 08:00:00,2021-11-04 17:00:00,team subcontractor,
8,1.2.1,DEMOLICION DE MUROS DE ADOBE INC. CIMIENTOS,2.0,1.6,2.4,2021-11-05 08:00:00,2021-11-06 17:00:00,team subcontractor,
9,1.2.2,DESMONTAJE DE CALAMINA Y TIJERAS,2.0,1.98,2.02,2021-11-05 08:00:00,2021-11-06 17:00:00,plumber,
10,1.2.3,ELIMINACION MATERIAL EXCEDENTE DE EXCAVACION Y/O DEMOLICION C/MAQUINA,1.0,0.99,1.01,2021-11-07 08:00:00,2021-11-07 17:00:00,team subcontractor,
12,1.3.1,LIMPIEZA INICIAL DE TERENO MANUAL,3.0,2.97,3.03,2021-11-08 08:00:00,2021-11-10 17:00:00,plumber,
13,1.3.2,ELIMINACION DE MATERIAL EXCEDENTE DE EXCAVACION C/MAQUINARIA,1.0,0.99,1.01,2021-11-08 08:00:00,2021-11-08 17:00:00,team subcontractor[2.00 #7],
14,1.3.3,"TRAZO, NIVELES Y REPLANTEO PRELIMINAR",1.0,0.99,1.01,2021-11-09 08:00:00,2021-11-09 17:00:00,team subcontractor[2.00 #7],
16,1.4.1,EQUIPOS DE PROTESSION DE PERSONAL Y CHARLAS DE SEGURIDAD,1.0,0.99,1.01,2021-11-01 08:00:00,2021-11-01 17:00:00,team subcontractor[2.00 #7],
17,1.4.2,SEÑALIZACION Y SEGURIDAD,1.0,0.99,1.01,2021-11-01 08:00:00,2021-11-01 17:00:00,carpenter,
18,1.4.3,CAPACITACION EN SEGURIDAD Y SALUD,1.0,0.99,1.01,2021-11-01 08:00:00,2021-11-01 17:00:00,team subcontractor[3.00 #7],
20,1.5.1,CONTENEDORES DE RESIDUOS SOLIDOS,3.0,2.97,3.03,2021-11-02 08:00:00,2021-11-04 17:00:00,team subcontractor[3.00 #7],
21,1.5.2,TRASLADO DE RESIDUOS SOLIDOS,1.0,0.99,1.01,2022-01-28 08:00:00,2022-01-28 17:00:00,mason,
22,1.5.3,CAPACITACION EN TEMAS AMBIENTALES,3.0,2.97,3.03,2021-11-02 08:00:00,2021-11-04 17:00:00,steel worker,
23,1.5.4,SEÑALIZACION AMBIENTAL,3.0,2.97,3.03,2021-11-05 08:00:00,2021-11-07 17:00:00,painter,
27,1.6.1.1.1,CORTE SUPERFICIAL CON MAQUINARIA E=0.20M,1.0,0.99,1.01,2021-11-01 08:00:00,2021-11-01 17:00:00,team subcontractor[3.00 #7],
28,1.6.1.1.2,NIVELACION Y APISIONADO DEL TERRENO C/PLANCHA COMPACTADORA,3.0,2.97,3.03,2021-11-02 08:00:00,2021-11-04 17:00:00,mason,
30,1.6.1.2.1,EXCAVACION PARA ZAPATAS EN TERRENO NORMAL,2.0,1.98,2.02,2021-11-05 08:00:00,2021-11-06 17:00:00,mason,
31,1.6.1.2.2,EXCAVACION DE ZANJAS PARA CIMIENTOS,1.0,0.99,1.01,2021-11-05 08:00:00,2021-11-05 17:00:00,carpenter,
33,1.6.1.3.1,NIVELACION INTERIOR APISONADO MANUAL,1.0,0.99,1.01,2021-11-06 08:00:00,2021-11-06 17:00:00,team subcontractor[4.00 #7],
35,1.6.1.4.1,RELLENO CON MATERIAL SELECIONADO,5.0,4.95,5.05,2021-11-07 08:00:00,2021-11-11 17:00:00,mason,
36,1.6.1.4.2,RELLENO COMPACTADO CON MATERIAL PROPIO EN ZANJAS,4.0,3.96,4.04,2021-11-12 08:00:00,2021-11-15 17:00:00,mason,
38,1.6.1.5.1,ACARREO DE MATERIAL EXCEDENTE CON BUGGIE D=30M,1.0,0.99,1.01,2021-11-17 08:00:00,2021-11-17 17:00:00,carpenter,
39,1.6.1.5.2,ELIMINACION MATERIAL EXCEDENTE 2 KM,1.0,0.99,1.01,2021-11-18 08:00:00,2021-11-18 17:00:00,steel worker,
