node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Railway Station Ghent,683.375,676.54,690.21,2010-10-04 08:00:00,2012-08-17 17:00:00,,0
5,1.1,Voorbereiding uitvoering,134.375,120.94,178.72,2010-10-04 08:00:00,2011-02-15 17:00:00,,0
6,1.2,Werfinstallatie,27.375,23.82,28.47,2010-12-09 08:00:00,2011-01-05 17:00:00,,0
7,1.3,Bronbemaling,70.375,56.3,84.45,2011-03-23 08:00:00,2011-06-01 17:00:00,,0
14,1.4,Grondwerken en infrastructuur,301.375,298.36,304.39,2010-12-20 08:00:00,2011-10-17 17:00:00,,0
22,1.4.1,Voorbereiding & verwijdering ballast,288.375,230.7,346.05,2010-12-20 08:00:00,2011-10-04 17:00:00,,0
26,1.4.2,Zone 2: As 84-88,202.375,200.35,204.4,2011-01-13 08:00:00,2011-08-03 17:00:00,,0
23,1.4.2.1,Afbraakwerken,41.375,33.1,49.65,2011-01-13 08:00:00,2011-02-23 17:00:00,,0
24,1.4.2.2,Grondwerken,62.375,49.9,74.85,2011-01-25 08:00:00,2011-03-28 17:00:00,,0
25,1.4.2.3,Infrastructuur,132.375,123.11,158.85,2011-03-24 08:00:00,2011-08-03 17:00:00,,0
30,1.4.3,Zone 3: As 84-79,269.375,266.68,272.07,2011-01-21 08:00:00,2011-10-17 17:00:00,,0
27,1.4.3.1,Afbraakwerken,111.375,89.1,133.65,2011-01-21 08:00:00,2011-05-12 17:00:00,,0
28,1.4.3.2,Grondwerken,76.375,61.1,91.65,2011-03-11 08:00:00,2011-05-26 17:00:00,,0
29,1.4.3.3,Infrastructuur,160.375,149.15,192.45,2011-05-10 08:00:00,2011-10-17 17:00:00,,0
34,1.5,Zone 4: As 79-74,258.375,255.79,260.96,2011-02-01 08:00:00,2011-10-17 17:00:00,,0
31,1.5.1,Afbraakwerken,125.375,100.3,150.45,2011-02-01 08:00:00,2011-06-06 17:00:00,,0
32,1.5.2,Grondwerken,34.375,27.5,41.25,2011-05-11 08:00:00,2011-06-14 17:00:00,,0
33,1.5.3,Infrastructuur,132.375,120.46,158.85,2011-06-07 08:00:00,2011-10-17 17:00:00,,0
17,1.6,Superstructuur station,393.375,389.44,397.31,2011-02-02 08:00:00,2012-03-01 17:00:00,,0
12,1.6.1,Zone 1: As 88-97,393.375,314.7,472.05,2011-02-02 08:00:00,2012-03-01 17:00:00,,0
13,1.6.2,Zone 2: As 84-88,128.375,102.7,154.05,2011-05-16 08:00:00,2011-09-21 17:00:00,,0
15,1.6.3,Zone 3: As 84-79,138.375,119.0,142.53,2011-08-25 08:00:00,2012-01-10 17:00:00,,0
16,1.6.4,Zone 4: As 79-74,157.375,133.77,165.24,2011-09-02 08:00:00,2012-02-06 17:00:00,,0
18,1.7,Perron en overkappingen,354.375,329.57,425.25,2011-08-29 08:00:00,2012-08-17 17:00:00,,0
21,1.8,Grote overkapping,356.375,331.43,427.65,2011-08-18 08:00:00,2012-08-08 17:00:00,,0
