node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
3,1.1.1,Cartel de Identificacion de la Obra 2.40x3.60m.,1.0,0.5,1.5,2020-05-08 00:00:00,nan,"plumber [1,00 #8]",
4,1.1.2,"Caseta para Almacen, Oficina y Guardiania",1.0,0.5,1.5,2020-05-11 00:00:00,nan,"carpenter [1,00 #8]",
5,1.1.3,Movilización y Desmovilización de Equipos y Herramientas,1.0,0.5,1.5,2020-05-12 00:00:00,nan,"steel worker [1,00 #8]",
7,1.2.1,Elaboracion e Implementacioón del Plan de Seguridad y Salud en el Trabajo,1.0,0.5,1.5,2020-05-13 00:00:00,nan,team subcontractor,
8,1.2.2,Equipo de ProteSSion Individual,10.0,5.0,15.0,2020-05-14 00:00:00,nan,team subcontractor,
9,1.2.3,Cinta Plastica Señalizadora para Limite de Seguridad,1.0,0.2,1.5,2020-05-14 00:00:00,nan,team subcontractor,
10,1.2.4,Capacitación en Seguiridad y Salud Ocupacional,10.0,5.0,15.0,2020-05-12 00:00:00,nan,"plumber [1,00 #8]",
11,1.2.5,Recursos para Respuestas ante Emergencias en Seguridad y Salud Durante el Trabajo,1.0,0.5,1.5,2020-05-15 00:00:00,nan,team subcontractor,
13,1.3.1,"Trazo, Nivelacion y Replanteo",1.0,0.5,1.5,2020-05-12 00:00:00,nan,"plumber [1,00 #8]",
15,1.3.2.1,Demolición de Buzón Existente,1.0,0.5,1.5,2020-05-13 00:00:00,nan,team subcontractor[2.00 #8],
17,1.4.1,Trasvase de Aguas Servidas Durante el Trabajo,10.0,5.0,15.0,2020-05-14 00:00:00,nan,team subcontractor[2.00 #8],
18,1.4.2,Evacuación de Agua de Napa Freatica,8.0,4.0,12.0,2020-05-19 00:00:00,nan,"carpenter [1,00 #8]",
21,1.5.1.1,Corte de Terreno Natural con Maquinaria,1.0,0.5,1.5,2020-05-14 00:00:00,nan,team subcontractor[3.00 #8],
22,1.5.1.2,Excavación de Zanjas con maquinaria para red Alcantarillado,1.0,0.5,1.5,2020-05-18 00:00:00,nan,mason,
24,1.5.2.1,Entibado Metalico de Zanjas,1.0,0.5,1.5,2020-05-15 00:00:00,nan,painter,
26,1.5.3.1,Suministro y Colocación de Capa de Over e=0.30m,1.0,0.5,1.5,2020-05-19 00:00:00,nan,team subcontractor[3.00 #8],
27,1.5.3.2,Suministro y Colocación Capa de Hormigón e=0.20 m,1.0,0.5,1.5,2020-05-20 00:00:00,nan,team subcontractor[3.00 #8],
28,1.5.3.3,"Suminsitro y Colocación de Cama de Arena Gruesa e=0.20m,",1.0,0.5,1.5,2020-05-21 00:00:00,nan,team subcontractor[3.00 #8],
29,1.5.3.4,Suministro y Colocación de cama de Arena Para ProteSSion de Tuberia sobre Clave del Tubo,1.0,0.5,1.5,2020-05-22 00:00:00,nan,mason,
30,1.5.3.5,Relleno con Material Propio,2.0,1.0,3.0,2020-05-25 00:00:00,nan,mason,
32,1.5.4.1,Colocación de Capa de Over e=0.40m,1.0,0.5,1.5,2020-05-19 00:00:00,nan,"carpenter [1,00 #8]",
33,1.5.4.2,Relleno con Hormigón E=0.30 m en Buzones,1.0,0.5,1.5,2020-05-20 00:00:00,nan,"carpenter [1,00 #8]",
34,1.5.4.3,Colocación de Capa de Afirmado Mejorado compactado e=0.30 m en Fondo de Buzones,1.0,0.5,1.5,2020-05-21 00:00:00,nan,team subcontractor[4.00 #8],
36,1.5.5.1,Eliminación de Material Excedente a 2.5 Km,1.0,0.5,1.5,2020-05-27 00:00:00,nan,mason,
38,1.6.1,Solado 1:10 (Cemento Tipo V) p/Buzón,1.0,0.5,1.5,2020-05-22 00:00:00,nan,mason,
41,1.7.1.1,Concreto f'c= 210 kg/cm2 - en Buzones cemento tipo V,2.0,0.5,3.5,2020-05-22 00:00:00,nan,mason,
42,1.7.1.2,Acero de Refuerzo f'c=4200kg/cm2.,2.0,0.5,3.5,2020-05-19 00:00:00,nan,mason,
43,1.7.1.3,Encofrado y Desencofrado Metalico para Buzones,2.0,0.5,5.0,2020-05-21 00:00:00,nan,"steel worker [1,00 #8]",
45,1.7.2.1,Concreto 210 kg/m2 - en losa Inferior de Buzones - Cemento Tipo V,1.0,0.5,1.5,2020-05-18 00:00:00,nan,mason,
46,1.7.2.2,Acero de Refuerzo f'c=4200kg/cm2.,1.0,0.5,1.5,2020-05-14 00:00:00,nan,mason,
47,1.7.2.3,Encofrado y Desencofrado de Losa,1.0,0.15,1.5,2020-05-15 00:00:00,nan,"steel worker [1,00 #8]",
49,1.7.3.1,Concreto 210 kg/m2 - en Media Caña de Buzones - Cemento Tipo V,1.0,0.5,1.5,2020-05-26 00:00:00,nan,mason,
50,1.7.3.2,Tarrajeo de Media Caña,1.0,0.2,1.5,2020-05-27 00:00:00,nan,mason,
52,1.7.4.1,Concreto 210 kg/m2 - en Losa Superior de Buzones - Cemento Tipo V,1.0,0.5,1.5,2020-06-01 00:00:00,nan,team subcontractor[4.00 #8],
53,1.7.4.2,Acero de Refuerzo f'c=4200kg/cm2.,1.0,0.5,1.5,2020-05-28 00:00:00,nan,mason,
54,1.7.4.3,Encofrado y Desencofrado de Losa Superior,1.0,0.5,1.5,2020-05-29 00:00:00,nan,painter,
