node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
2,1.1.1,CARTEL DE IDENTIFICACION DE LA OBRA DE 3.60x2.40 M,1.0,0.5,1.5,2021-10-06 08:00:00,nan,"carpenter [1,00 #8]",
3,1.1.2,CASETA PARA GUARDIANIA Y ALMACEN,1.0,0.5,1.5,2021-10-06 08:00:00,nan,"plumber [1,00 #8]",
5,1.2.1,ENERGIA ELECTRICA PARA LA CONSTRUCION,1.0,0.5,1.5,2021-10-06 08:00:00,nan,"plumber [1,00 #8]",
7,1.3.1,MOVILIZACION Y DESMOVILIZACION DE EQUIPO LIVIANO Y HERRAMIENTAS,1.0,0.5,1.5,2021-10-06 08:00:00,nan,"carpenter [1,00 #8]",
9,1.4.1,EQUIPOS DE PROTECCION INDIVIDUAL,1.0,0.5,1.5,2021-10-06 08:00:00,nan,"carpenter [1,00 #8]",
10,1.4.2,EQUIPOS DE PROTECCION COLECTIVA,1.0,0.5,1.5,2021-10-06 08:00:00,nan,"plumber [1,00 #8]",
11,1.4.3,CAPACITACION EN SEGURIDAD Y SALUD,1.0,0.5,1.5,2021-10-06 08:00:00,nan,"team subcontractor[2,00 #8]",
13,1.5.1,KIT DE LIMPIEZA Y DESINFECCIÓN PERSONAL,1.0,0.5,1.5,2021-10-06 08:00:00,nan,"carpenter [1,00 #8]",
14,1.5.2,DESINFECCIÓN DE ÁREAS COMUNES,90.0,45.0,135.0,2021-10-06 08:00:00,nan,"team subcontractor[2,00 #8]",
15,1.5.3,EQUIPOS DE PROTECCIÓN PERSONAL,1.0,0.5,1.5,2021-10-06 08:00:00,nan,"plumber [1,00 #8]",
17,1.6.1,FLETE TERRESTRE,72.0,36.0,67.68,2021-10-06 08:00:00,nan,"mason [2,00 #8]",
20,1.7.1.1,PRUEBA DE CONTINUIDAD,1.0,0.5,1.5,2021-10-06 08:00:00,nan,"carpenter [1,00 #8]",
21,1.7.1.2,PRUEBA DE RESISTENCIA DE PUESTA A TIERRA,1.0,0.5,1.5,2021-10-06 08:00:00,nan,mason,
22,1.7.1.3,PRUEBA DE AISLAMIENTO,1.0,0.5,1.5,2021-10-06 08:00:00,nan,painter,
24,1.7.2.1,PRUEBA DE COMPRESIÓN (ROTURA DE BRIQUETA),1.0,0.5,1.5,2021-10-06 08:00:00,nan,"carpenter [1,00 #8]",
26,1.7.3.1,"PRUEBAS DE COMPACTACIÓN, PROCTOR MODIFICADO",1.0,0.5,1.5,2021-10-06 08:00:00,nan,"steel worker [1,00 #8]",
