node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Family Day,137.083333333333,135.71,138.45,2012-06-01 08:00:00,2012-10-16 10:00:00,,31675
1,1.1,first appointment,0.375,0.3,0.45,2012-06-01 08:00:00,2012-06-01 17:00:00,Full-Time[2.00 #2],192
2,1.2,register location,28.0,22.4,33.6,2012-06-04 10:00:00,2012-07-02 10:00:00,Employees[2.00 #3],6280
3,1.3,discuss invitation,14.0,11.2,16.8,2012-07-23 10:00:00,2012-08-06 10:00:00,Employees,320
4,1.4,print and send invitation,7.0,5.6,8.4,2012-08-06 10:00:00,2012-08-13 10:00:00,Employees,380
5,1.5,order bar,14.0,11.2,16.8,2012-07-02 10:00:00,2012-07-16 10:00:00,Employees,1320
6,1.6,order bouncy castle,7.0,5.6,8.4,2012-07-16 10:00:00,2012-07-23 10:00:00,Employees,380
7,1.7,map out the route,14.0,11.2,16.8,2012-07-30 10:00:00,2012-08-13 10:00:00,Employees[2.00 #3],640
8,1.8,search and hire fotographer,7.0,5.6,8.4,2012-07-23 10:00:00,2012-07-30 10:00:00,Employees,960
9,1.9,find stations,21.0,16.8,25.2,2012-07-02 10:00:00,2012-07-23 10:00:00,Employees[2.00 #3],1260
10,1.1,find suitable activities for stations,14.0,11.2,16.8,2012-08-13 10:00:00,2012-08-27 10:00:00,Employees[2.00 #3],640
11,1.11,plan activities,14.0,11.2,16.8,2012-08-27 10:00:00,2012-09-10 10:00:00,Employees,320
12,1.12,make route description,7.0,5.6,8.4,2012-09-10 10:00:00,2012-09-17 10:00:00,Employees,260
13,1.13,find volunteers/helpers,21.0,16.8,25.2,2012-09-17 10:00:00,2012-10-08 10:00:00,Employees,848
14,1.14,discuss decoration,7.0,5.6,8.4,2012-09-10 10:00:00,2012-09-17 10:00:00,Employees,160
15,1.15,discuss and order menu,7.0,5.6,8.4,2012-09-24 10:00:00,2012-10-01 10:00:00,Employees,12160
16,1.16,receiving rsvp's,28.0,22.4,33.6,2012-08-13 10:00:00,2012-09-10 10:00:00,Employees,640
17,1.17,buy supplies afternoon,14.0,11.2,16.8,2012-10-01 10:00:00,2012-10-15 10:00:00,Employees[2.00 #3],1490
18,1.18,search for dj and stereo,14.0,11.2,16.8,2012-08-27 10:00:00,2012-09-10 10:00:00,Employees,920
19,1.19,buy decorations,7.0,5.6,8.4,2012-10-08 10:00:00,2012-10-15 10:00:00,Employees,360
20,1.2,book caterer,14.0,11.2,16.8,2012-09-10 10:00:00,2012-09-24 10:00:00,Employees,320
22,1.21,hire rain supplies,6.375,5.1,7.65,2012-09-19 08:00:00,2012-09-25 17:00:00,Employees,1633
21,1.22,family day,1.0,0.8,1.2,2012-10-15 10:00:00,2012-10-16 10:00:00,Full-Time[2.00 #2],192
