node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Project,167.0,167.0,167.0,2015-06-08 08:00:00,2016-01-27 14:00:00,,0
1,1.1,010,25.0,20.0,30.0,2015-06-08 08:00:00,2015-07-10 17:00:00,,0
2,1.2,020,52.0,41.6,62.4,2015-06-10 08:00:00,2015-08-20 17:00:00,,0
3,1.3,030,25.0,20.0,30.0,2015-07-01 10:00:00,2015-08-05 10:00:00,,0
4,1.4,040,26.0,20.8,31.2,2015-07-21 09:00:00,2015-08-26 09:00:00,,0
5,1.5,050,21.0,16.8,25.2,2015-08-10 08:00:00,2015-09-07 17:00:00,,0
6,1.6,060,26.0,20.8,31.2,2015-07-02 14:00:00,2015-08-07 14:00:00,,0
7,1.7,070,21.0,16.8,25.2,2015-08-07 14:00:00,2015-09-07 14:00:00,,0
8,1.8,080,32.0,25.6,38.4,2015-09-07 14:00:00,2015-10-21 14:00:00,,0
9,1.9,090,35.0,28.0,42.0,2015-07-09 14:00:00,2015-08-27 14:00:00,,0
10,1.1,100,20.0,16.0,24.0,2015-08-27 14:00:00,2015-09-24 14:00:00,,0
11,1.11,110,60.0,48.0,72.0,2015-09-24 14:00:00,2015-12-17 14:00:00,,0
12,1.12,120 a,83.0,66.4,99.6,2015-08-31 10:00:00,2015-12-24 14:00:00,,0
13,1.13,120 b,83.0,66.4,99.6,2015-08-31 10:00:00,2015-12-24 14:00:00,,0
14,1.14,130 a,41.0,32.8,49.2,2015-11-04 08:00:00,2015-12-31 14:00:00,,0
15,1.15,130 b,41.0,32.8,49.2,2015-11-04 08:00:00,2015-12-31 14:00:00,,0
16,1.16,140,9.0,7.2,10.8,2016-01-14 14:00:00,2016-01-27 14:00:00,,0
17,1.17,150 a,33.0,26.4,39.6,2015-11-23 14:00:00,2016-01-07 14:00:00,,0
18,1.18,150 b,33.0,26.4,39.6,2015-11-23 14:00:00,2016-01-07 14:00:00,,0
19,1.19,160,23.0,18.4,27.6,2015-12-14 14:00:00,2016-01-14 14:00:00,,0
