node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Project,3.0,3.0,3.0,2023-09-22 08:00:00,2023-09-27 15:00:00,,0
1,1.1,Placing outer heras fences,2.0,1.6,2.4,2023-09-22 08:00:00,2023-09-22 10:00:00,,0
2,1.2,Placing inner heras fences,2.0,1.6,2.4,2023-09-22 10:00:00,2023-09-22 12:00:00,,0
3,1.3,Setting up the tent (bar B1),2.0,1.6,2.4,2023-09-22 13:00:00,2023-09-22 15:00:00,,0
4,1.4,Tent equipping with utilities (bar B1),2.0,1.6,2.4,2023-09-22 15:00:00,2023-09-22 17:00:00,,0
5,1.5,Installing the bar (bar B1),1.0,0.8,1.2,2023-09-25 08:00:00,2023-09-25 09:00:00,,0
6,1.6,Connecting barrels (bar B1),1.0,0.8,1.2,2023-09-25 09:00:00,2023-09-25 10:00:00,,0
7,1.7,Positioning fridges (bar B1),1.0,0.8,1.2,2023-09-25 10:00:00,2023-09-25 11:00:00,,0
8,1.8,Filling fridges (bar B1),1.0,0.8,1.2,2023-09-25 11:00:00,2023-09-25 12:00:00,,0
9,1.9,Setting up the tent (bar B2),2.0,1.6,2.4,2023-09-22 13:00:00,2023-09-22 15:00:00,,0
10,1.1,Tent equipping with utilities (bar B2),2.0,1.6,2.4,2023-09-22 15:00:00,2023-09-22 17:00:00,,0
11,1.11,Installing the bar (bar B2),1.0,0.8,1.2,2023-09-25 08:00:00,2023-09-25 09:00:00,,0
12,1.12,Connecting barrels (bar B2),1.0,0.8,1.2,2023-09-25 09:00:00,2023-09-25 10:00:00,,0
13,1.13,Positioning fridges (bar B2),1.0,0.8,1.2,2023-09-25 10:00:00,2023-09-25 11:00:00,,0
14,1.14,Filling fridges (bar B2),1.0,0.8,1.2,2023-09-25 11:00:00,2023-09-25 12:00:00,,0
15,1.15,Setting up the tent (bar B5),2.0,1.6,2.4,2023-09-22 13:00:00,2023-09-22 15:00:00,,0
16,1.16,Tent equipping with utilities (bar B5),2.0,1.6,2.4,2023-09-22 15:00:00,2023-09-22 17:00:00,,0
17,1.17,Installing the bar (bar B5),1.0,0.8,1.2,2023-09-25 08:00:00,2023-09-25 09:00:00,,0
18,1.18,Connecting barrels (bar B5),1.0,0.8,1.2,2023-09-25 09:00:00,2023-09-25 10:00:00,,0
19,1.19,Positioning fridges (bar B5),1.0,0.8,1.2,2023-09-25 10:00:00,2023-09-25 11:00:00,,0
20,1.2,Filling fridges (bar B5),1.0,0.8,1.2,2023-09-25 11:00:00,2023-09-25 12:00:00,,0
21,1.21,Setting up the tent (bar B8),2.0,1.6,2.4,2023-09-22 13:00:00,2023-09-22 15:00:00,,0
22,1.22,Tent equipping with utilities (bar B8),2.0,1.6,2.4,2023-09-22 15:00:00,2023-09-22 17:00:00,,0
23,1.23,Installing the bar (bar B8),1.0,0.8,1.2,2023-09-25 08:00:00,2023-09-25 09:00:00,,0
24,1.24,Connecting barrels (bar B8),1.0,0.8,1.2,2023-09-25 09:00:00,2023-09-25 10:00:00,,0
25,1.25,Positioning fridges (bar B8),1.0,0.8,1.2,2023-09-25 10:00:00,2023-09-25 11:00:00,,0
26,1.26,Filling fridges (bar B8),1.0,0.8,1.2,2023-09-25 11:00:00,2023-09-25 12:00:00,,0
27,1.27,Setting up the tent (backstagetent),0.0,0.0,0.0,2023-09-22 12:00:00,2023-09-22 12:00:00,,0
28,1.28,Tent equipping with utilities (backstagetent),0.0,0.0,0.0,2023-09-22 12:00:00,2023-09-22 12:00:00,,0
29,1.29,Furnishing interior tent (backstagetent),0.0,0.0,0.0,2023-09-22 12:00:00,2023-09-22 12:00:00,,0
30,1.3,Setting up the tent (first-aid tent),0.0,0.0,0.0,2023-09-22 12:00:00,2023-09-22 12:00:00,,0
31,1.31,Tent equipping with utilities (first-aid tent),0.0,0.0,0.0,2023-09-22 12:00:00,2023-09-22 12:00:00,,0
32,1.32,Setting up the tent (employees frame tent),2.0,1.6,2.4,2023-09-22 13:00:00,2023-09-22 15:00:00,,0
33,1.33,Tent equipping with utilities (employees frame tent),0.0,0.0,0.0,2023-09-22 15:00:00,2023-09-22 15:00:00,,0
34,1.34,Furnishing interior tent (employees frame tent),0.0,0.0,0.0,2023-09-22 15:00:00,2023-09-22 15:00:00,,0
35,1.35,Setting up the tent (Eristoff tent),2.0,1.6,2.4,2023-09-22 13:00:00,2023-09-22 15:00:00,,0
36,1.36,Tent equipping with utilities (Eristoff tent),0.0,0.0,0.0,2023-09-22 16:00:00,2023-09-22 16:00:00,,0
37,1.37,Furnishing interior tent (Eristoff tent),4.0,3.2,4.8,2023-09-22 16:00:00,2023-09-25 11:00:00,,0
38,1.38,Setting up 53 tents (association tents),2.0,1.6,2.4,2023-09-22 13:00:00,2023-09-22 15:00:00,,0
39,1.39,Setting up the tent (VIP catering),0.0,0.0,0.0,2023-09-22 12:00:00,2023-09-22 12:00:00,,0
40,1.4,Tent equipping with utilities (VIP catering),0.0,0.0,0.0,2023-09-22 12:00:00,2023-09-22 12:00:00,,0
41,1.41,Furnishing interior tent (VIP catering),1.0,0.8,1.2,2023-09-22 13:00:00,2023-09-22 14:00:00,,0
42,1.42,Setting up the deck (VIP deck),3.0,2.4,3.6,2023-09-22 13:00:00,2023-09-22 16:00:00,,0
43,1.43,Setting up the tent (VIP deck),3.0,2.4,3.6,2023-09-22 16:00:00,2023-09-25 10:00:00,,0
44,1.44,Tent equipping with utilities (VIP deck),2.0,1.6,2.4,2023-09-25 10:00:00,2023-09-25 12:00:00,,0
45,1.45,Furnishing interior tent (VIP deck),2.0,1.6,2.4,2023-09-25 13:00:00,2023-09-25 15:00:00,,0
46,1.46,Setting up the tent (recycling area 1),0.0,0.0,0.0,2023-09-22 12:00:00,2023-09-22 12:00:00,,0
47,1.47,Tent equipping with utilities (recycling area 1),0.0,0.0,0.0,2023-09-22 12:00:00,2023-09-22 12:00:00,,0
48,1.48,Furnishing interior tent (recycling area 1),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
49,1.49,Setting up the tent (recycling area 2),0.0,0.0,0.0,2023-09-22 12:00:00,2023-09-22 12:00:00,,0
