node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Project,387.3749999999636,383.5,391.25,2017-07-03 08:00:00,2018-07-25 17:00:00,,0
1,1.1,Research for possible docking stations,172.375,170.65,174.1,2017-07-03 08:00:00,2017-12-22 17:00:00,,0
2,1.1.1,Analysis of electrical cars around Gent and Belgium,22.375,17.9,26.85,2017-07-03 08:00:00,2017-07-25 17:00:00,,0
3,1.1.2,Analysis of properties of electrical cars,5.375,4.3,6.45,2017-07-27 08:00:00,2017-08-01 17:00:00,,0
4,1.1.3,Analysis of locations and quantity for the ‘charging blocks’,36.375,29.1,43.65,2017-07-26 08:00:00,2017-08-31 17:00:00,,0
5,1.1.4,Analysis of the kind of ‘charging blocks’,0.375,0.3,0.45,2017-07-26 08:00:00,2017-07-26 17:00:00,,0
6,1.1.5,Research for amount of staff needed,6.375,5.1,7.65,2017-07-26 08:00:00,2017-08-01 17:00:00,,0
7,1.1.6,Feasibility study,8.375,6.7,10.05,2017-12-14 08:00:00,2017-12-22 17:00:00,,0
8,1.2,Meeting,120.375,119.17,121.58,2017-12-25 08:00:00,2018-04-24 17:00:00,,0
9,1.2.1,Asking town for permission,39.375,31.5,47.25,2017-12-25 08:00:00,2018-02-02 17:00:00,,0
10,1.2.2,Asking for blue prints power network town,25.375,20.3,30.45,2018-02-05 08:00:00,2018-03-02 17:00:00,,0
11,1.2.3,Meeting with Eaindis for possbility of placing ‘charging blocks’,43.375,34.7,52.05,2018-03-12 08:00:00,2018-04-24 17:00:00,,0
12,1.2.4,Meeting with possible suppliers of the ‘charging blocks’ (Allego),44.375,35.5,53.25,2018-02-05 08:00:00,2018-03-21 17:00:00,,0
13,1.2.5,Meeting with possible contractors for placement ‘charging blocks’,18.375,14.7,22.05,2018-03-12 08:00:00,2018-03-30 17:00:00,,0
14,1.2.6,Hiring maintenance for possible defects of ‘charging blocks’,53.375,42.7,64.05,2017-12-25 08:00:00,2018-02-16 17:00:00,,0
15,1.3,App development,106.375,105.31,107.44,2017-12-25 08:00:00,2018-04-10 17:00:00,,0
16,1.3.1,ICT contractor search,18.375,14.7,22.05,2017-12-25 08:00:00,2018-01-12 17:00:00,,0
17,1.3.2,Developing app and website ,67.375,53.9,80.85,2018-01-15 08:00:00,2018-03-23 17:00:00,,0
18,1.3.3,Developing payment system,53.375,42.7,64.05,2018-01-15 08:00:00,2018-03-09 17:00:00,,0
19,1.3.4,Testing & approving payment system,15.375,12.3,18.45,2018-03-26 08:00:00,2018-04-10 17:00:00,,0
20,1.3.5,Testing & approving payment system,11.375,9.1,13.65,2018-03-12 08:00:00,2018-03-23 17:00:00,,0
21,1.4,Construction,136.375,135.01,137.74,2018-03-05 08:00:00,2018-07-19 17:00:00,,0
22,1.4.1,Drilling the holes where the charging blocks will be put by Eandis,11.375,9.1,13.65,2018-03-05 08:00:00,2018-03-16 17:00:00,,0
23,1.4.2,Delivery and placing of the ‘charging blocks’by Allego,13.375,10.7,16.05,2018-05-24 08:00:00,2018-06-06 17:00:00,,0
24,1.4.3,Installation of the ‘charging blocks’by Eandis,11.375,9.1,13.65,2018-06-07 08:00:00,2018-06-18 17:00:00,,0
25,1.4.4,Installation of visibility marks,3.375,2.7,4.05,2018-06-19 08:00:00,2018-06-22 17:00:00,,0
26,1.4.5,Testing of the ‘charging blocks’,30.375,24.3,36.45,2018-06-19 08:00:00,2018-07-19 17:00:00,,0
27,1.4.6,Payment of delivery and construction firms,0.0,0.0,0.0,2018-07-19 17:00:00,2018-07-19 17:00:00,,0
28,1.5,Marketing,5.375,5.32,5.43,2018-07-20 08:00:00,2018-07-25 17:00:00,,0
29,1.5.1,Advertising for electrical cars and ‘charging blocks’,3.375,2.7,4.05,2018-07-20 08:00:00,2018-07-23 17:00:00,,0
30,1.5.2,Publicity for green city Gent,1.375,1.1,1.65,2018-07-24 08:00:00,2018-07-25 17:00:00,,0
