node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Supplementary Pensions Database,174.041666666667,172.3,175.78,2013-11-19 08:00:00,2014-05-12 09:00:00,,34260
25,1.1,supporting tasks,6.16666666666667,6.11,6.23,2013-11-19 08:00:00,2013-11-25 12:00:00,,4320
1,1.1.1,project management,2.08333333333333,1.67,2.5,2013-11-19 08:00:00,2013-11-21 10:00:00,Employee F,1620
2,1.1.2,project management,6.16666666666667,4.93,7.4,2013-11-19 08:00:00,2013-11-25 12:00:00,Employee G,2700
26,1.2,requirements,0.0833333333333333,0.08,0.08,2013-12-02 08:00:00,2013-12-02 10:00:00,,225
3,1.2.1,requirements,0.0416666666666667,0.03,0.05,2013-12-02 08:00:00,2013-12-02 09:00:00,Employee I,75
4,1.2.2,requirements,0.0833333333333333,0.07,0.1,2013-12-02 08:00:00,2013-12-02 10:00:00,Employee G,150
27,1.3,analysis,34.0416666666667,33.7,34.38,2014-01-31 16:00:00,2014-03-06 17:00:00,,3975
5,1.3.1,analysis - functioneel,7.04166666666667,5.63,8.45,2014-02-03 08:00:00,2014-02-10 09:00:00,Employee A,3075
6,1.3.2,analysis - functioneel,1.125,0.9,1.35,2014-02-03 08:00:00,2014-02-04 11:00:00,Employee G,825
7,1.3.3,analysis - support by code & test,0.0416666666666667,0.03,0.05,2014-01-31 16:00:00,2014-01-31 17:00:00,Employee G,75
8,1.3.4,analysis validated,0.0,0.0,0.0,2014-03-06 17:00:00,2014-03-06 17:00:00,,0
28,1.4,design,18.375,18.19,18.56,2014-03-10 08:00:00,2014-03-28 17:00:00,,3870
9,1.4.1,design - AIA,7.125,5.7,8.55,2014-03-10 08:00:00,2014-03-17 11:00:00,Employee F,3870
10,1.4.2,design validated,0.0,0.0,0.0,2014-03-28 17:00:00,2014-03-28 17:00:00,,0
29,1.5,development,32.375,32.05,32.7,2014-03-03 08:00:00,2014-04-04 17:00:00,,9495
11,1.5.1,development - AIA,8.25,6.6,9.9,2014-03-24 08:00:00,2014-04-01 14:00:00,Employee F,4770
12,1.5.2,development - progress,9.33333333333333,7.47,11.2,2014-03-03 08:00:00,2014-03-12 16:00:00,Employee D,4725
13,1.5.3,development completed,0.0,0.0,0.0,2014-04-04 17:00:00,2014-04-04 17:00:00,,0
30,1.6,build,16.375,16.21,16.54,2014-04-14 08:00:00,2014-04-30 17:00:00,,2325
14,1.6.1,build - bugfixing,2.125,1.7,2.55,2014-04-14 08:00:00,2014-04-16 11:00:00,Employee J,1425
15,1.6.2,build - bugfixing,1.16666666666667,0.93,1.4,2014-04-14 08:00:00,2014-04-15 12:00:00,Employee D,900
16,1.6.3,build completed,0.0,0.0,0.0,2014-04-30 17:00:00,2014-04-30 17:00:00,,0
31,1.7,ict test,57.375,56.8,57.95,2014-02-26 08:00:00,2014-04-24 17:00:00,,9975
17,1.7.1,test coordination,1.04166666666667,0.83,1.25,2014-03-10 08:00:00,2014-03-11 09:00:00,Employee L,675
18,1.7.2,test execution,3.29166666666667,2.63,3.95,2014-03-31 08:00:00,2014-04-03 15:00:00,Employee F,2700
19,1.7.3,test execution,7.25,5.8,8.7,2014-03-31 08:00:00,2014-04-07 14:00:00,Employee M,3375
20,1.7.4,test preparation,7.125,5.7,8.55,2014-02-26 08:00:00,2014-03-05 11:00:00,Employee M,3225
21,1.7.5,ict test completed,0.0,0.0,0.0,2014-04-24 17:00:00,2014-04-24 17:00:00,,0
32,1.8,implementation,14.0,13.86,14.14,2014-04-25 17:00:00,2014-05-09 17:00:00,,0
22,1.8.1,code freeze,0.0,0.0,0.0,2014-04-25 17:00:00,2014-04-25 17:00:00,,0
23,1.8.2,go live,0.0,0.0,0.0,2014-05-09 17:00:00,2014-05-09 17:00:00,,0
33,1.9,post implementation,0.0416666666666667,0.04,0.04,2014-05-12 08:00:00,2014-05-12 09:00:00,,75
24,1.9.1,post implementation - post go live support,0.0416666666666667,0.03,0.05,2014-05-12 08:00:00,2014-05-12 09:00:00,Employee D,75
