node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Building a House,312.291666666667,309.17,315.41,2011-08-05 08:00:00,2012-06-12 15:00:00,,484398.412521124
33,1.1,Dummy,0.625,0.5,0.75,2011-08-05 08:00:00,2011-08-04 17:00:00,,0.0
1,1.2,Moving tanks,33.1666666666667,20.23,23.88,2011-08-05 08:00:00,2011-09-07 12:00:00,Workforce[2.00 #6],37032.669921875
2,1.3,Masonry draining (foundations),32.375,29.79,34.64,2011-08-05 08:00:00,2011-09-06 17:00:00,Workforce[4.00 #6],14744.0
3,1.4,Masonry draining (interior walls),76.375,69.5,82.48,2011-09-14 08:00:00,2011-11-29 17:00:00,Workforce[5.00 #6],118606.953125
4,1.5,Masonry draining (exterior walls),13.375,13.24,13.51,2011-11-30 08:00:00,2011-12-13 17:00:00,Workforce[5.00 #6],24205.5
5,1.6,Masonry draining (clean up),1.16666666666667,1.16,1.18,2012-01-19 13:00:00,2012-01-20 17:00:00,Workforce[3.33 #6],2420.55003404618
6,1.7,Roofing + Frame,36.1666666666667,38.34,105.61,2011-12-14 08:00:00,2012-01-19 12:00:00,Workforce[4.00 #6],33575.279296875
7,1.8,Sanitary (foundations),37.1666666666667,16.73,83.63,2011-12-14 08:00:00,2012-01-20 12:00:00,Workforce[1.71 #6],31715.5801150799
8,1.9,Carpentry outside (part 1),7.375,11.8,47.72,2012-01-23 08:00:00,2012-01-30 17:00:00,Workforce[6.00 #6],30520.599609375
9,1.1,Carpentry outside (part 2),1.16666666666667,1.16,1.18,2012-01-31 08:00:00,2012-02-01 12:00:00,Workforce[6.00 #6],7630.14990234375
10,1.11,Carpentry outside (part 3),6.375,5.1,7.65,2012-02-15 08:00:00,2012-02-21 17:00:00,Workforce[3.00 #6],12716.91015625
11,1.12,Carpentry outside (part 4),5.375,4.03,6.72,2012-02-22 08:00:00,2012-02-27 17:00:00,Workforce[3.00 #6],10173.5302734375
12,1.13,Heating under title floor,6.375,5.1,7.65,2011-09-07 08:00:00,2011-09-13 17:00:00,Workforce[3.00 #6],7039.10009765625
13,1.14,Sanitary + heating phase 1,13.1666666666667,23.04,29.63,2012-02-01 13:00:00,2012-02-14 17:00:00,Workforce[6.00 #6],26748.58984375
14,1.15,Ventilation phase 1,13.375,11.64,14.98,2012-03-20 08:00:00,2012-04-02 17:00:00,Workforce[2.00 #6],3762.0
15,1.16,Electricity phase 1,26.375,22.95,29.54,2012-02-22 08:00:00,2012-03-19 17:00:00,Workforce[3.00 #6],15983.240234375
16,1.17,Ceiling - False ceiling,23.375,19.4,27.11,2012-02-28 08:00:00,2012-03-22 17:00:00,Workforce[3.00 #6],29669.509765625
17,1.18,Isolated screen,6.375,5.1,7.65,2012-03-23 08:00:00,2012-03-29 17:00:00,Workforce[3.00 #6],12622.0595703125
18,1.19,Screed,4.375,4.38,7.26,2012-03-30 08:00:00,2012-04-03 17:00:00,Workforce[4.00 #6],10371.990234375
19,1.2,Screed (clean up),1.08333333333333,1.07,1.09,2012-04-25 15:00:00,2012-04-26 17:00:00,Workforce[2.40 #6],2593.00001478195
20,1.21,Sanitary phase 2 (part 1),20.2916666666667,16.23,24.35,2012-04-05 08:00:00,2012-04-25 15:00:00,Workforce[1.71 #6],8191.64015519619
21,1.22,Electricity phase 2 (part 1),20.2916666666667,16.23,24.35,2012-04-05 08:00:00,2012-04-25 15:00:00,Workforce[1.71 #6],4206.12013566494
22,1.23,Ventilation phase 2 (part 1),20.2916666666667,16.23,24.35,2012-04-05 08:00:00,2012-04-25 15:00:00,Workforce[1.14 #6],1881.00005543232
23,1.24,Carpentry inside,13.375,10.7,16.05,2012-04-27 08:00:00,2012-05-10 17:00:00,Workforce[3.00 #6],3876.29998779297
24,1.25,Carpentry inside (clean up),4.16666666666667,4.13,4.21,2012-05-11 08:00:00,2012-05-15 12:00:00,Workforce[2.40 #6],969.080031394958
25,1.26,Sanitary phase 2 (part 2),26.0,20.8,31.2,2012-04-25 15:00:00,2012-05-21 15:00:00,Workforce[1.71 #6],13106.6299123764
26,1.27,Electricity phase 2 (part 2),4.0,3.2,4.8,2012-05-21 15:00:00,2012-05-25 15:00:00,Workforce[6.00 #6],6729.7900390625
27,1.28,Ventilation phase 2 (part 2),14.875,11.9,17.85,2012-04-25 15:00:00,2012-05-10 12:00:00,Workforce[1.14 #6],1881.00005543232
28,1.29,Sanitary phase 2 (clean up),3.0,2.97,3.03,2012-06-01 10:00:00,2012-06-04 10:00:00,Workforce[3.00 #6],1638.32995605469
29,1.3,Electricity phase 2 (clean up),0.291666666666667,0.29,0.29,2012-06-04 10:00:00,2012-06-04 17:00:00,Workforce[4.00 #6],841.220001220703
30,1.31,Painting part 1,6.79166666666667,11.89,14.74,2012-05-25 15:00:00,2012-06-01 10:00:00,Workforce[4.00 #6],2836.68005371094
31,1.32,Painting (clean up),0.375,0.37,0.38,2012-06-05 08:00:00,2012-06-05 17:00:00,Workforce[4.00 #6],810.480010986328
32,1.33,Total clean up,11.2083333333333,11.1,11.32,2012-06-01 10:00:00,2012-06-12 15:00:00,Workforce[2.00 #6],5298.92993164063
34,1.34,Dummy,0.0,0.0,0.0,2012-06-12 15:00:00,2012-06-12 15:00:00,,0.0
