node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Nursing Home Noordhinder,1071.375,1060.66,1082.09,2012-03-05 08:00:00,2015-02-09 17:00:00,,4679794.96706596
8,1.1,Voorbereidende grondwerken,4.375,4.33,4.42,2012-03-05 08:00:00,2012-03-09 17:00:00,,16500.0
1,1.1.1,Opruimen struiken en bomen,0.375,0.3,0.45,2012-03-05 08:00:00,2012-03-05 17:00:00,Handlanger[2.00 #20],14580.0
2,1.1.2,Uitbreken putten,0.166666666666667,0.13,0.2,2012-03-06 08:00:00,2012-03-06 12:00:00,Handlanger[2.00 #20],240.0
3,1.1.3,Uitbreken leidingen,0.958333333333333,0.77,1.15,2012-03-06 13:00:00,2012-03-07 12:00:00,Handlanger[2.00 #20],480.0
4,1.1.4,Verwijderen hydranten,0.166666666666667,0.13,0.2,2012-03-07 13:00:00,2012-03-07 17:00:00,Handlanger[2.00 #20],240.0
5,1.1.5,Verwijderen bestrating,0.375,0.3,0.45,2012-03-08 08:00:00,2012-03-08 17:00:00,Handlanger[2.00 #20],480.0
6,1.1.6,Aanvulling zand + andere,0.375,0.3,0.45,2012-03-09 08:00:00,2012-03-09 17:00:00,Handlanger[2.00 #20],480.0
7,1.2,Plaatsen verhardingsweg,1.08333333333333,0.87,1.3,2012-03-12 08:00:00,2012-03-13 10:00:00,,6880.0
12,1.3,Grondwaterverlaging,589.375,583.48,595.27,2012-03-12 08:00:00,2013-10-22 17:00:00,,418840.0
9,1.3.1,Installeren bronbemaling,3.375,2.7,4.05,2012-03-12 08:00:00,2012-03-15 17:00:00,Grondwerker[2.00 #3],6920.0
10,1.3.2,Gebruik bronbemaling,573.375,458.7,688.05,2012-03-16 08:00:00,2013-10-10 17:00:00,Bronbemaling,410000.0
11,1.3.3,Verwijderen bronbemaling,5.375,4.3,6.45,2013-10-17 08:00:00,2013-10-22 17:00:00,Grondwerker[2.00 #3],1920.0
20,1.4,Verbindingsgang 1,46.375,45.91,46.84,2012-03-16 08:00:00,2012-05-01 17:00:00,,10057.2500258684
13,1.4.1,Graven verbindingsgang,4.08333333333333,3.27,4.9,2012-03-16 08:00:00,2012-03-20 10:00:00,,270.0
14,1.4.2,Plaatsen bekisting,1.08333333333333,0.87,1.3,2012-03-20 10:00:00,2012-03-21 12:00:00,Bekister,308.10000038147
15,1.4.3,Plaatsen wapening,0.166666666666667,0.13,0.2,2012-03-21 13:00:00,2012-03-21 17:00:00,Ijzervlechter,689.150024414063
16,1.4.4,Gieten beton,0.375,0.3,0.45,2012-03-22 08:00:00,2012-03-22 17:00:00,Betoneerder,1158.0
17,1.4.5,Uitharden beton,39.375,31.5,47.25,2012-03-23 08:00:00,2012-05-01 17:00:00,,0.0
