node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Family Residence,286.375,283.51,289.24,2006-04-06 08:00:00,2007-01-17 17:00:00,,180476.470565796
62,1.1,Voorafgaande activiteiten,0.375,0.3,0.45,2006-04-06 08:00:00,2006-04-06 17:00:00,,1359.31005859375
61,1.2,Werfinrichting,0.375,0.3,0.45,2006-04-07 08:00:00,2006-04-07 17:00:00,,214.619995117188
1,1.3,Ruwbouw,70.375,69.67,71.08,2006-04-10 08:00:00,2006-06-19 17:00:00,,70726.4301757812
2,1.3.1,Fundering,9.375,7.5,11.25,2006-04-10 08:00:00,2006-04-19 17:00:00,,12649.1201171875
3,1.3.2,Metselwerken,49.375,39.5,59.25,2006-04-21 08:00:00,2006-06-09 17:00:00,,50655.3203125
4,1.3.3,Dorpels,0.375,0.3,0.45,2006-06-19 08:00:00,2006-06-19 17:00:00,,1582.97998046875
5,1.3.4,Parement levering,0.375,0.3,0.45,2006-04-21 08:00:00,2006-04-21 17:00:00,,5839.009765625
6,1.4,Voegwerken,64.375,63.73,65.02,2006-06-14 08:00:00,2006-08-17 17:00:00,,1676.56994628906
7,1.4.1,Voegen schoorsteen-niet aanwezig + eggen schrijnwerk,0.375,0.3,0.45,2006-06-14 08:00:00,2006-06-14 17:00:00,,558.859985351563
8,1.4.2,Volledige ruwbouw,1.375,1.1,1.65,2006-08-16 08:00:00,2006-08-17 17:00:00,,1117.7099609375
9,1.5,Kapconstructie,30.375,30.07,30.68,2006-05-24 08:00:00,2006-06-23 17:00:00,,6791.65991210938
10,1.5.1,Koppels,0.375,0.3,0.45,2006-05-24 08:00:00,2006-05-24 17:00:00,,970.239990234375
11,1.5.2,Volledige kapconstructie,7.375,5.9,8.85,2006-06-16 08:00:00,2006-06-23 17:00:00,,5821.419921875
12,1.6,Dakwerken,21.375,21.16,21.59,2006-06-28 08:00:00,2006-07-19 17:00:00,,6939.91003417969
13,1.6.1,Zinkwerken,1.375,1.1,1.65,2006-06-28 08:00:00,2006-06-29 17:00:00,,2313.30004882813
14,1.6.2,Onderdak,0.375,0.3,0.45,2006-07-03 08:00:00,2006-07-03 17:00:00,,1156.65002441406
15,1.6.3,Plaatsing pannen,2.375,1.9,2.85,2006-07-17 08:00:00,2006-07-19 17:00:00,,3469.9599609375
16,1.7,Buitenschrijnwerk,69.375,68.68,70.07,2006-06-28 08:00:00,2006-09-05 17:00:00,,19170.7497558594
17,1.7.1,Schrijnwerk,69.375,68.68,70.07,2006-06-28 08:00:00,2006-09-05 17:00:00,,16572.8896484375
18,1.7.1.1,Opmeting schrijnwerk,0.375,0.3,0.45,2006-06-28 08:00:00,2006-06-28 17:00:00,,5524.2998046875
19,1.7.1.2,Plaatsing schrijnwerk,1.375,1.1,1.65,2006-09-04 08:00:00,2006-09-05 17:00:00,,11048.58984375
20,1.7.2,Poort,68.375,67.69,69.06,2006-06-28 08:00:00,2006-09-04 17:00:00,,2597.86010742188
21,1.7.2.1,Opmeting poort,0.375,0.3,0.45,2006-06-28 08:00:00,2006-06-28 17:00:00,,1298.93005371094
22,1.7.2.2,Plaatsing poort,0.375,0.3,0.45,2006-09-04 08:00:00,2006-09-04 17:00:00,,1298.93005371094
23,1.8,Ruwbouw sanitair en cv,5.375,4.3,6.45,2006-08-16 08:00:00,2006-08-21 17:00:00,,11733.4599609375
25,1.9,Ruwbouw elektriciteit,5.375,4.3,6.45,2006-08-25 08:00:00,2006-08-30 17:00:00,,3594.5400390625
26,1.10,Ruwbouw ventilatie,0.375,0.3,0.45,2006-08-24 08:00:00,2006-08-24 17:00:00,,1684.31005859375
27,1.11,Dakisolatie,1.375,1.1,1.65,2006-09-04 08:00:00,2006-09-05 17:00:00,,1014.91998291016
28,1.12,Pleisterwerken,25.375,20.3,30.45,2006-09-18 08:00:00,2006-10-13 17:00:00,,8332.740234375
29,1.13,Spuitplamuur,35.375,35.02,35.73,2006-09-20 08:00:00,2006-10-25 17:00:00,,536.759994506835
30,1.13.1,Opstop voegen,0.375,0.3,0.45,2006-09-20 08:00:00,2006-09-20 17:00:00,,178.919998168945
31,1.13.2,1-ste laag,0.375,0.3,0.45,2006-10-19 08:00:00,2006-10-19 17:00:00,,178.919998168945
32,1.13.3,2-de laag,0.375,0.3,0.45,2006-10-25 08:00:00,2006-10-25 17:00:00,,178.919998168945
33,1.14,Plaatsing baden / douche's (1 inloopdouche voorzien),0.375,0.3,0.45,2006-10-16 08:00:00,2006-10-16 17:00:00,,29.9300003051758
63,1.15,Verdichting inloopdouche plaatsen,0.375,0.3,0.45,2006-10-23 08:00:00,2006-10-23 17:00:00,,14.4300003051758
34,1.16,Chape,0.375,0.3,0.45,2006-10-19 08:00:00,2006-10-19 17:00:00,,1598.68994140625
35,1.17,Bevloering en faiences,21.375,21.16,21.59,2006-10-26 08:00:00,2006-11-16 17:00:00,,11097.830078125
36,1.17.1,Bevloering beneden+badkamer boven-wc boven,14.375,11.5,17.25,2006-10-26 08:00:00,2006-11-09 17:00:00,,6829.43017578125
37,1.17.2,Faiences boven,6.375,5.1,7.65,2006-11-10 08:00:00,2006-11-16 17:00:00,,4268.39990234375
38,1.18,Elektriciteit afwerking,30.375,30.07,30.68,2006-11-15 08:00:00,2006-12-15 17:00:00,,5278.83996582031
39,1.18.1,Afwerking elektriciteit,2.375,1.9,2.85,2006-11-15 08:00:00,2006-11-17 17:00:00,,2695.89990234375
40,1.18.2,Keuring,0.375,0.3,0.45,2006-12-04 08:00:00,2006-12-04 17:00:00,,898.630004882813
41,1.18.3,Afwerking ventilatie,0.375,0.3,0.45,2006-12-15 08:00:00,2006-12-15 17:00:00,,1684.31005859375
42,1.19,Binnenschrijnwerk,24.375,24.13,24.62,2006-11-14 08:00:00,2006-12-08 17:00:00,,4778.0
43,1.19.1,Opmeting binnenschrijnwerk,0.375,0.3,0.45,2006-11-14 08:00:00,2006-11-14 17:00:00,,1194.5
44,1.19.2,Plaatsing binnenschrijnwerk,2.375,1.9,2.85,2006-12-06 08:00:00,2006-12-08 17:00:00,,3583.5
