node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Tanglewood 4,938.4166666667006,929.03,947.8,2020-01-01 08:00:00,2022-07-27 18:00:00,,13812918.75
32,1.1,ActivityGroup,14.416666666700621,14.27,14.56,2020-01-01 08:00:00,2020-01-15 18:00:00,,6187.5
1,1.1.1,Geotechnical site investigation,14.416666666700621,11.53,17.3,2020-01-01 08:00:00,2020-01-15 18:00:00,Engineers[2.00 #8],6187.5
33,1.2,ActivityGroup,182.41666666670062,180.59,184.24,2020-01-16 08:00:00,2020-07-16 18:00:00,,701718.75
3,1.2.1,Stormwater pollution prevention plan design,76.41666666670062,61.13,91.7,2020-01-16 08:00:00,2020-04-01 18:00:00,Engineers[2.00 #8],30937.5
4,1.2.2,Civil engineering,41.41666666670062,33.13,49.7,2020-04-02 08:00:00,2020-05-13 18:00:00,Engineers[4.00 #8],33750.0
5,1.2.3,Pile foundation engineering,13.416666666700621,10.73,16.1,2020-05-14 08:00:00,2020-05-27 18:00:00,Engineers[3.00 #8],8437.5
6,1.2.4,AC/DC system engineering,105.41666666670062,84.33,126.5,2020-04-02 08:00:00,2020-07-16 18:00:00,Engineers[2.00 #8],42750.0
8,1.2.5,SCADA engineering,68.41666666670062,54.73,82.1,2020-04-02 08:00:00,2020-06-09 18:00:00,Engineers[2.00 #8];Workers[10.00 #58],578812.5
7,1.2.6,BLA & CAB system - shoals,34.41666666670062,27.53,41.3,2020-05-14 08:00:00,2020-06-17 18:00:00,Engineers,7031.25
2,1.3,Electrical site investigation,14.416666666700621,11.53,17.3,2020-01-01 08:00:00,2020-01-15 18:00:00,Engineers[3.00 #8],9281.25
34,1.4,ActivityGroup,181.41666666670062,179.6,183.23,2020-07-17 08:00:00,2021-01-14 18:00:00,,826200.0
9,1.4.1,AC cable & fiber procurement,96.41666666670062,77.13,115.7,2020-07-17 08:00:00,2020-10-21 18:00:00,Purchasepeople,93150.0
10,1.4.2,DC cable - procurement,54.41666666670062,43.53,65.3,2020-07-17 08:00:00,2020-09-09 18:00:00,Purchasepeople,52650.0
11,1.4.3,Piles - procurement,90.41666666670062,72.33,108.5,2020-07-17 08:00:00,2020-10-15 18:00:00,Purchasepeople,87750.0
12,1.4.4,Racking - procurement,133.41666666670062,106.73,160.1,2020-07-17 08:00:00,2020-11-27 18:00:00,Purchasepeople,129600.0
13,1.4.5,PV modules - procurement,175.41666666670062,140.33,210.5,2020-07-17 08:00:00,2021-01-08 18:00:00,Purchasepeople,170100.0
14,1.4.6,Inverters - procurement,181.41666666670062,145.13,217.7,2020-07-17 08:00:00,2021-01-14 18:00:00,Purchasepeople,175500.0
15,1.4.7,BLA - procurement,67.41666666670062,53.93,80.9,2020-10-16 08:00:00,2020-12-22 18:00:00,Purchasepeople,64800.0
