node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Compressor Station Zelzate,729.375,722.08,736.67,2006-06-01 08:00:00,2008-05-30 17:00:00,,62385597.5839844
24,1.1,JUNE 06,29.375,23.5,35.25,2006-06-01 08:00:00,2006-06-30 17:00:00,,6238559.9375
1,1.2,July,28.375,22.7,34.05,2006-07-03 08:00:00,2006-07-31 17:00:00,,2052486.0234375
2,1.3,August,30.375,24.3,36.45,2006-08-01 08:00:00,2006-08-31 17:00:00,,879636.9765625
3,1.4,September,28.375,22.7,34.05,2006-09-01 08:00:00,2006-09-29 17:00:00,,2564047.9921875
4,1.5,October,29.375,23.5,35.25,2006-10-02 08:00:00,2006-10-31 17:00:00,,2620195.015625
5,1.6,November,29.375,23.5,35.25,2006-11-01 08:00:00,2006-11-30 17:00:00,,1116701.953125
6,1.7,December,28.375,22.7,34.05,2006-12-01 08:00:00,2006-12-29 17:00:00,,1384960.0078125
7,1.8,January 07,30.375,24.3,36.45,2007-01-01 08:00:00,2007-01-31 17:00:00,,1391199.0234375
8,1.9,February,27.375,21.9,32.85,2007-02-01 08:00:00,2007-02-28 17:00:00,,4435615.9375
9,1.1,March,29.375,23.5,35.25,2007-03-01 08:00:00,2007-03-30 17:00:00,,3668273.125
10,1.11,April,28.375,22.7,34.05,2007-04-02 08:00:00,2007-04-30 17:00:00,,2620194.9375
11,1.12,May,30.375,24.3,36.45,2007-05-01 08:00:00,2007-05-31 17:00:00,,2626433.96875
12,1.13,June,28.375,22.7,34.05,2007-06-01 08:00:00,2007-06-29 17:00:00,,7186820.8125
13,1.14,July,29.375,23.5,35.25,2007-07-02 08:00:00,2007-07-31 17:00:00,,2663865.015625
14,1.15,August,30.375,24.3,36.45,2007-08-01 08:00:00,2007-08-31 17:00:00,,2021293.0078125
15,1.16,September,25.375,20.3,30.45,2007-09-03 08:00:00,2007-09-28 17:00:00,,2738728.125
16,1.17,October,30.375,24.3,36.45,2007-10-01 08:00:00,2007-10-31 17:00:00,,2626433.96875
17,1.18,November,29.375,23.5,35.25,2007-11-01 08:00:00,2007-11-30 17:00:00,,2595241.0
18,1.19,December,28.375,22.7,34.05,2007-12-03 08:00:00,2007-12-31 17:00:00,,1491015.9140625
19,1.2,January 08,30.375,24.3,36.45,2008-01-01 08:00:00,2008-01-31 17:00:00,,1297620.01953125
20,1.21,February,27.375,21.9,32.85,2008-02-01 08:00:00,2008-02-28 17:00:00,,792296.953125
21,1.22,March,28.375,22.7,34.05,2008-03-03 08:00:00,2008-03-31 17:00:00,,4055063.90625
22,1.23,April,29.375,23.5,35.25,2008-04-01 08:00:00,2008-04-30 17:00:00,,199633.994140625
23,1.24,May,29.375,23.5,35.25,2008-05-01 08:00:00,2008-05-30 17:00:00,,3119279.96875
