node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Apartment Building Foundations,107.375,106.3,108.45,2016-03-21 08:00:00,2016-07-06 17:00:00,,813663.060546875
21,1.1,Voorbereidende werken,4.375,4.33,4.42,2016-03-21 08:00:00,2016-03-25 17:00:00,,20245.0
2,1.1.1,rooien bomen en struiken terrein + afvoer,4.375,3.5,5.25,2016-03-21 08:00:00,2016-03-25 17:00:00,,18345.0
3,1.1.2,"werfinrichting : hekkens, keten, signalisatie",4.375,3.5,5.25,2016-03-21 08:00:00,2016-03-25 17:00:00,,1900.0
24,1.2,"Afbraak, realisatie bouwput en beschoeiing",100.375,99.37,101.38,2016-03-28 08:00:00,2016-07-06 17:00:00,,793418.060546875
22,1.2.1,sloopwerken,18.375,18.19,18.56,2016-03-28 08:00:00,2016-04-15 17:00:00,,79341.0
6,1.2.1.1,"afbraak herenhuis, scheimuur midden",18.375,14.7,22.05,2016-03-28 08:00:00,2016-04-15 17:00:00,,79341.0
23,1.2.2,"Grondwerken, beschoeiing en funderingspalen",100.375,99.37,101.38,2016-03-28 08:00:00,2016-07-06 17:00:00,,714077.060546875
8,1.2.2.1,voorafgraving terrein voor beschoeiing + geleidebalken,25.375,20.3,30.45,2016-03-28 08:00:00,2016-04-22 17:00:00,,16046.6796875
9,1.2.2.2,installatie bemaling rondom bouwput,4.375,3.5,5.25,2016-03-31 08:00:00,2016-04-04 17:00:00,,24070.009765625
10,1.2.2.3,werfinstallatie beschoeiing,1.375,1.1,1.65,2016-04-07 08:00:00,2016-04-08 17:00:00,,40116.69140625
11,1.2.2.4,uitvoering beschoeiing tussen as Ab-Hb (zone blok B),15.375,12.3,18.45,2016-04-11 08:00:00,2016-04-26 17:00:00,,80233.3828125
12,1.2.2.5,uitvoering beschoeiing tussen as Aa-Ab (zone blok A),13.375,10.7,16.05,2016-04-27 08:00:00,2016-05-10 17:00:00,,96280.046875
13,1.2.2.6,uitgraving bouwput zone as Ab-Hb,11.375,9.1,13.65,2016-05-06 08:00:00,2016-05-17 17:00:00,,64186.69921875
14,1.2.2.7,uitgraving bouwput zone as Aa-Ab,20.375,16.3,24.45,2016-05-25 08:00:00,2016-06-14 17:00:00,,80233.3828125
15,1.2.2.8,uitgraving inrit garage,5.375,4.3,6.45,2016-06-15 08:00:00,2016-06-20 17:00:00,,20058.33984375
16,1.2.2.9,werfinstallatie palenmachine,1.375,1.1,1.65,2016-06-13 08:00:00,2016-06-14 17:00:00,,28081.6796875
17,1.2.2.10,uitvoering funderingspalen tussen as Ab-Hb,6.375,5.1,7.65,2016-06-15 08:00:00,2016-06-21 17:00:00,,72210.0390625
18,1.2.2.11,uitvoering funderingspalen tussen as Aa-Ab,6.375,5.1,7.65,2016-06-22 08:00:00,2016-06-28 17:00:00,,88256.71875
19,1.2.2.12,Uitgraven paalkoppen as Ab-Hb,1.375,1.1,1.65,2016-06-28 08:00:00,2016-06-29 17:00:00,,44128.359375
20,1.2.2.13,Uitgraven paalkoppen as Aa-Ab,6.375,5.1,7.65,2016-06-30 08:00:00,2016-07-06 17:00:00,,60175.03125
