node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
3,1.1.1,MOVILIZACIÓN Y DESMOVILIZACIÓN DE MAQUINARIA PESADA,1.0,0.5,1.5,2021-03-01 00:00:00,nan,"plumber [1,00 #8]",
4,1.1.2,MOVILIZACIÓN Y DESMOVILIZACIÓN DE MAQUINARIA PESADA,1.0,0.5,1.5,2021-04-29 00:00:00,nan,carpenter,
5,1.1.3,FLETE TERRESTRE - INSUMOS Y EQUIPOS MENORES,45.0,40.0,50.0,2021-03-02 00:00:00,nan,mason,
8,1.2.1.1,"LIMPIEZA Y DESINFESSIÓN EN EL TRABAJO (insumos, frecuencia de realización)",57.0,50.0,64.0,2021-03-03 00:00:00,nan,"plumber [1,00 #8]",
10,1.2.2.1,EVALUACIÓN MÉDICA DE DESCARTE COVID-19,1.0,0.5,1.5,2021-03-03 00:00:00,nan,carpenter,
12,1.2.3.1,IMPLEMENTACIÓN DE PUNTOS DE LAVADO DE MANOS,1.0,0.5,1.5,2021-03-03 00:00:00,nan,team subcontractor,
14,1.2.4.1,CAPACITACIÓN EN PREVENCIÓN DE CONTAGIO COVID-19,1.0,0.5,1.5,2021-03-04 00:00:00,nan,mason,
15,1.2.4.2,SEÑALIZACIÓN,1.0,0.5,1.5,2021-03-03 00:00:00,nan,"plumber [1,00 #8]",
17,1.2.5.1,EQUIPOS DE PROTESSIÓN COLECTIVA,1.0,0.5,1.5,2021-03-03 00:00:00,nan,"plumber [1,00 #8]",
18,1.2.5.2,MOBILIARIO PARA ÁREA DE DESINFESSIÓN,1.0,0.5,1.5,2021-03-03 00:00:00,nan,"mason [2,00 #8]",
20,1.2.6.1,EQUIPOS DE PROTESSION PERSONAL (EPP),1.0,0.5,1.5,2021-03-03 00:00:00,nan,"carpenter [1,00 #8]",
22,1.2.7.1,INSTRUMENTOS MÉDICOS,1.0,0.5,1.5,2021-03-03 00:00:00,nan,electrician ,
23,1.2.7.2,ÚTILES DE OFICINA,2.0,1.0,3.0,2021-03-03 00:00:00,nan,"plumber [1,00 #8]",
26,1.3.1.1,TRAZO Y REPLANTEO EN TERRENO NORMAL CON EQUIPO,3.0,1.0,5.0,2021-03-04 00:00:00,nan,"carpenter [1,00 #8]",
27,1.3.1.2,ENCAUZAMIENTO DE CURSO DE AGUA,3.0,1.0,5.0,2021-03-05 00:00:00,nan,"steel worker [1,00 #8]",
29,1.3.2.1,EXCAVACIÓN PARA ESTRUCTURAS EN MATERIAL COMÚN CON EQUIPO,6.0,2.0,10.0,2021-03-08 00:00:00,nan,painter,
30,1.3.2.2,"REFINE, NIVELACIÓN Y COMPACTACIÓN",6.0,4.0,8.0,2021-03-10 00:00:00,nan,"plumber [1,00 #8]",
31,1.3.2.3,RELLENO PARA ESTRUCTURAS,6.0,3.0,9.0,2021-04-17 00:00:00,nan,"mason [2,00 #8]",
33,1.3.3.1,"MEJORAMIENTO CON MATERIAL GRANULAR CON PIEDRA DE 2"" A 6""",3.0,1.0,5.0,2021-03-16 00:00:00,nan,"mason [2,00 #8]",
34,1.3.3.2,CAMA DE MATERIAL GRANULAR,3.0,2.0,4.0,2021-03-18 00:00:00,nan,team subcontractor,
35,1.3.3.3,CONCRETO PARA SOLADO (F´C=100KG/CM2),3.0,1.0,5.0,2021-03-19 00:00:00,nan,"plumber [1,00 #8]",
36,1.3.3.4,ACERO DE REFUERZO FY=4200 KG/CM2,8.0,4.0,12.0,2021-03-22 00:00:00,nan,carpenter,
37,1.3.3.5,CONCRETO f'c=210 kg/cm2,8.0,3.0,13.0,2021-03-25 00:00:00,nan,team subcontractor,
38,1.3.3.6,ENCOFRADO Y DESENCOFRADO ALCANTARILLAS TIPO MARCO,10.0,5.0,15.0,2021-03-24 00:00:00,nan,"steel worker [1,00 #8]",
39,1.3.3.7,CURADO DE CONCRETO CON ADITIVO TIPO MEMBRANA,1.0,0.5,1.5,2021-04-03 00:00:00,nan,"plumber [1,00 #8]",
41,1.3.4.1,"MEJORAMIENTO CON MATERIAL GRANULAR CON PIEDRA DE 2"" A 6""",3.0,1.0,5.0,2021-04-02 00:00:00,nan,"steel worker [1,00 #8]",
42,1.3.4.2,CAMA DE MATERIAL GRANULAR,3.0,0.5,5.5,2021-04-04 00:00:00,nan,"plumber [1,00 #8]",
43,1.3.4.3,CONCRETO PARA SOLADO (F´C=100KG/CM2),3.0,0.5,5.5,2021-04-05 00:00:00,nan,mason,
44,1.3.4.4,ACERO DE REFUERZO FY=4200 KG/CM2,10.0,3.0,17.0,2021-04-06 00:00:00,nan,"plumber [1,00 #8]",
45,1.3.4.5,CONCRETO f'c=175 kg/cm2,8.0,4.0,12.0,2021-04-09 00:00:00,nan,"steel worker [1,00 #8]",
46,1.3.4.6,ENCOFRADO  DESENCOFRADO - CABEZALES DE ALCANTARILLA,10.0,5.0,15.0,2021-04-08 00:00:00,nan,team subcontractor,
47,1.3.4.7,CURADO DE CONCRETO CON ADITIVO TIPO MEMBRANA,1.0,0.5,1.5,2021-04-18 00:00:00,nan,"plumber [1,00 #8]",
49,1.3.5.1,"MEJORAMIENTO CON MATERIAL GRANULAR CON PIEDRA DE 2"" A 6""",3.0,1.0,5.0,2021-04-18 00:00:00,nan,"plumber [1,00 #8]",
50,1.3.5.2,CAMA DE MATERIAL GRANULAR,3.0,1.0,5.0,2021-04-20 00:00:00,nan,mason,
51,1.3.5.3,CONCRETO PARA SOLADO (F´C=100KG/CM2),3.0,0.5,5.5,2021-04-21 00:00:00,nan,carpenter,
52,1.3.5.4,"MAMPOSTERIA E=0.20 m, CONCRETO f ´c = 140 kg/cm2 + 50% PM",5.0,2.0,8.0,2021-04-23 00:00:00,nan,carpenter,
53,1.3.5.5,ENCOFRADO Y DESENCOFRADO,7.0,3.0,11.0,2021-04-22 00:00:00,nan,"plumber [1,00 #8]",
54,1.3.5.6,"JUNTA CON ASFALTO E=1/2""",1.0,0.5,1.5,2021-04-28 00:00:00,nan,"steel worker [1,00 #8]",
