node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Metal Extraction,121.375,120.16,122.59,2008-02-25 08:00:00,2008-06-25 17:00:00,,0
1,1.1,Foundation UG,6.375,5.1,7.65,2008-04-23 08:00:00,2008-04-29 17:00:00,,0
2,1.2,Additional part foundation for aspiration filters,3.375,2.7,4.05,2008-03-17 08:00:00,2008-03-20 17:00:00,,0
3,1.3,Drying foundation UG,5.375,4.3,6.45,2008-04-30 08:00:00,2008-05-05 17:00:00,,0
4,1.4,Drying foundation for aspiration filters,5.375,4.3,6.45,2008-03-21 08:00:00,2008-03-26 17:00:00,,0
5,1.5,Wall whole for conveyor 1.060,0.375,0.3,0.45,2008-03-27 08:00:00,2008-03-27 17:00:00,,0
6,1.6,Wall wholes for explosion-flapps filters,0.375,0.3,0.45,2008-03-27 08:00:00,2008-03-27 17:00:00,,0
7,1.7,Closing wall wholes,0.375,0.3,0.45,2008-04-02 08:00:00,2008-04-02 17:00:00,,0
8,1.8,Roof whole for Aspiration 1,0.375,0.3,0.45,2008-04-01 08:00:00,2008-04-01 17:00:00,4 Telescope lifting platform[0.50 #1],0
9,1.9,Roof whole for Aspiration 2,0.375,0.3,0.45,2008-04-01 08:00:00,2008-04-01 17:00:00,4 Telescope lifting platform[0.50 #1],0
10,1.1,Closing roof  wholes,0.375,0.3,0.45,2008-04-11 08:00:00,2008-04-11 17:00:00,4 Telescope lifting platform,0
11,1.11,Electric cable for central cabinet,3.375,2.7,4.05,2008-02-29 08:00:00,2008-03-03 17:00:00,Construction[2.00 #8],0
12,1.12,Electric cable for aspiration,1.375,1.1,1.65,2008-04-02 08:00:00,2008-04-03 17:00:00,Construction[2.00 #8],0
13,1.13,Electric cable for windsifter,1.375,1.1,1.65,2008-03-19 08:00:00,2008-03-20 17:00:00,Construction[2.00 #8],0
14,1.14,Electric cable for UC,1.375,1.1,1.65,2008-04-09 08:00:00,2008-04-10 17:00:00,Construction[2.00 #8],0
15,1.15,Electric cable for UG's,1.375,1.1,1.65,2008-05-27 08:00:00,2008-05-28 17:00:00,Construction[2.00 #8],0
16,1.16,Air pressure for service works,4.375,3.5,5.25,2008-03-21 08:00:00,2008-03-25 17:00:00,,0
17,1.17,Air pressure for filter cleaning,3.375,2.7,4.05,2008-04-04 08:00:00,2008-04-07 17:00:00,,0
18,1.18,Boxes for particular product,0.375,0.3,0.45,2008-06-12 08:00:00,2008-06-12 17:00:00,,0
19,1.19,Drying boxes for particular product,5.375,4.3,6.45,2008-06-13 08:00:00,2008-06-18 17:00:00,,0
20,1.2,Tranformer,4.375,3.5,5.25,2008-03-06 08:00:00,2008-03-10 17:00:00,,0
21,1.21,Low-Voltage Distribution System (NSHV),2.375,1.9,2.85,2008-03-11 08:00:00,2008-03-13 17:00:00,,0
22,1.22,"UC 150, M-875",4.375,3.5,5.25,2008-04-04 08:00:00,2008-04-08 17:00:00,Construction[4.00 #8];1 Manitu 6t;3 Fork lift 6t[0.50 #1];4 Telescope lifting platform[0.25 #1],0
23,1.23,"UG 208 MSL, M-766",3.375,2.7,4.05,2008-05-09 08:00:00,2008-05-12 17:00:00,Construction[4.00 #8];1 Manitu 6t;4 Telescope lifting platform[0.50 #1],0
24,1.24,"UG 208 MSL, M-832",3.375,2.7,4.05,2008-05-13 08:00:00,2008-05-16 17:00:00,Construction[4.00 #8];1 Manitu 6t;4 Telescope lifting platform[0.50 #1],0
25,1.25,"UG 208 MSL, M-872",2.375,1.9,2.85,2008-05-19 08:00:00,2008-05-21 17:00:00,Construction[4.00 #8];1 Manitu 6t;4 Telescope lifting platform[0.50 #1],0
26,1.26,Steel constructions for ascending conveyor UC,1.375,1.1,1.65,2008-03-27 08:00:00,2008-03-28 17:00:00,Construction[3.00 #8];1 Manitu 6t[0.50 #2];2 Hand lift truck;3 Fork lift 6t[0.25 #1];4 Telescope lifting platform[0.25 #1];5 Scherenhubbuhne[0.50 #1],0
27,1.27,Steel constructions for lifting electric overband magnet,3.375,2.7,4.05,2008-02-29 08:00:00,2008-03-03 17:00:00,Construction[3.00 #8];1 Manitu 6t[0.50 #2];2 Hand lift truck;3 Fork lift 6t[0.25 #1];4 Telescope lifting platform[0.25 #1];5 Scherenhubbuhne[0.50 #1],0
28,1.28,Steel constructions for lifting overband magnet,1.375,1.1,1.65,2008-03-06 08:00:00,2008-03-07 17:00:00,Construction[3.00 #8];1 Manitu 6t[0.50 #2];2 Hand lift truck;3 Fork lift 6t[0.25 #1];4 Telescope lifting platform[0.25 #1];5 Scherenhubbuhne[0.50 #1],0
29,1.29,Steel constructions for fine screen,2.375,1.9,2.85,2008-03-26 08:00:00,2008-03-28 17:00:00,Construction[3.00 #8];1 Manitu 6t[0.50 #2];2 Hand lift truck;3 Fork lift 6t[0.25 #1];4 Telescope lifting platform[0.25 #1];5 Scherenhubbuhne[0.50 #1],0
30,1.3,Steel constructions for windsifter,4.375,3.5,5.25,2008-02-29 08:00:00,2008-03-04 17:00:00,Construction[3.00 #8];1 Manitu 6t[0.50 #2];2 Hand lift truck;3 Fork lift 6t[0.25 #1];4 Telescope lifting platform[0.25 #1];5 Scherenhubbuhne[0.50 #1],0
