node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Project,5.0,5.0,5.0,2023-09-22 08:00:00,2023-09-29 11:00:00,,0
1,1.1,Placing outer heras fences,3.0,2.4,3.6,2023-09-22 08:00:00,2023-09-22 11:00:00,,0
2,1.2,Placing inner heras fences,2.0,1.6,2.4,2023-09-22 11:00:00,2023-09-22 14:00:00,,0
3,1.3,Setting up the tent (bar B1),2.0,1.6,2.4,2023-09-22 14:00:00,2023-09-22 16:00:00,,0
4,1.4,Tent equipping with utilities (bar B1),2.0,1.6,2.4,2023-09-22 16:00:00,2023-09-25 09:00:00,,0
5,1.5,Installing the bar (bar B1),1.0,0.8,1.2,2023-09-25 09:00:00,2023-09-25 10:00:00,,0
6,1.6,Connecting barrels (bar B1),1.0,0.8,1.2,2023-09-25 10:00:00,2023-09-25 11:00:00,,0
7,1.7,Positioning fridges (bar B1),1.0,0.8,1.2,2023-09-25 11:00:00,2023-09-25 12:00:00,,0
8,1.8,Filling fridges (bar B1),1.0,0.8,1.2,2023-09-25 13:00:00,2023-09-25 14:00:00,,0
9,1.9,Setting up the tent (bar B2),2.0,1.6,2.4,2023-09-22 14:00:00,2023-09-22 16:00:00,,0
10,1.1,Tent equipping with utilities (bar B2),2.0,1.6,2.4,2023-09-22 16:00:00,2023-09-25 09:00:00,,0
11,1.11,Installing the bar (bar B2),1.0,0.8,1.2,2023-09-25 09:00:00,2023-09-25 10:00:00,,0
12,1.12,Connecting barrels (bar B2),1.0,0.8,1.2,2023-09-25 10:00:00,2023-09-25 11:00:00,,0
13,1.13,Positioning fridges (bar B2),1.0,0.8,1.2,2023-09-25 11:00:00,2023-09-25 12:00:00,,0
14,1.14,Filling fridges (bar B2),1.0,0.8,1.2,2023-09-25 13:00:00,2023-09-25 14:00:00,,0
15,1.15,Setting up the tent (bar B5),2.0,1.6,2.4,2023-09-22 14:00:00,2023-09-22 16:00:00,,0
16,1.16,Tent equipping with utilities (bar B5),2.0,1.6,2.4,2023-09-22 16:00:00,2023-09-25 09:00:00,,0
17,1.17,Installing the bar (bar B5),1.0,0.8,1.2,2023-09-25 09:00:00,2023-09-25 10:00:00,,0
18,1.18,Connecting barrels (bar B5),1.0,0.8,1.2,2023-09-25 10:00:00,2023-09-25 11:00:00,,0
19,1.19,Positioning fridges (bar B5),1.0,0.8,1.2,2023-09-25 11:00:00,2023-09-25 12:00:00,,0
20,1.2,Filling fridges (bar B5),1.0,0.8,1.2,2023-09-25 13:00:00,2023-09-25 14:00:00,,0
21,1.21,Setting up the tent (bar B8),2.0,1.6,2.4,2023-09-22 14:00:00,2023-09-22 16:00:00,,0
22,1.22,Tent equipping with utilities (bar B8),2.0,1.6,2.4,2023-09-22 16:00:00,2023-09-25 09:00:00,,0
23,1.23,Installing the bar (bar B8),1.0,0.8,1.2,2023-09-25 09:00:00,2023-09-25 10:00:00,,0
24,1.24,Connecting barrels (bar B8),1.0,0.8,1.2,2023-09-25 10:00:00,2023-09-25 11:00:00,,0
25,1.25,Positioning fridges (bar B8),1.0,0.8,1.2,2023-09-25 11:00:00,2023-09-25 12:00:00,,0
26,1.26,Filling fridges (bar B8),1.0,0.8,1.2,2023-09-25 13:00:00,2023-09-25 14:00:00,,0
27,1.27,Setting up the tent (backstagetent),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
28,1.28,Tent equipping with utilities (backstagetent),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
29,1.29,Furnishing interior tent (backstagetent),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
30,1.3,Setting up the tent (first-aid tent),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
31,1.31,Tent equipping with utilities (first-aid tent),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
32,1.32,Setting up the tent (employees frame tent),2.0,1.6,2.4,2023-09-22 14:00:00,2023-09-22 16:00:00,,0
33,1.33,Tent equipping with utilities (employees frame tent),0.0,0.0,0.0,2023-09-22 16:00:00,2023-09-22 16:00:00,,0
34,1.34,Furnishing interior tent (employees frame tent),0.0,0.0,0.0,2023-09-22 16:00:00,2023-09-22 16:00:00,,0
35,1.35,Setting up the tent (Eristoff tent),2.0,1.6,2.4,2023-09-22 14:00:00,2023-09-22 16:00:00,,0
36,1.36,Tent equipping with utilities (Eristoff tent),0.0,0.0,0.0,2023-09-22 16:00:00,2023-09-22 16:00:00,,0
37,1.37,Furnishing interior tent (Eristoff tent),4.0,3.2,4.8,2023-09-25 08:00:00,2023-09-25 12:00:00,,0
38,1.38,Setting up 53 tents (association tents),2.0,1.6,2.4,2023-09-22 14:00:00,2023-09-22 16:00:00,,0
39,1.39,Setting up the tent (VIP catering),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
40,1.4,Tent equipping with utilities (VIP catering),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
41,1.41,Furnishing interior tent (VIP catering),1.0,0.8,1.2,2023-09-22 14:00:00,2023-09-22 15:00:00,,0
42,1.42,Setting up the deck (VIP deck),3.0,2.4,3.6,2023-09-22 14:00:00,2023-09-22 17:00:00,,0
43,1.43,Setting up the tent (VIP deck),3.0,2.4,3.6,2023-09-25 08:00:00,2023-09-25 11:00:00,,0
44,1.44,Tent equipping with utilities (VIP deck),2.0,1.6,2.4,2023-09-25 11:00:00,2023-09-25 14:00:00,,0
45,1.45,Furnishing interior tent (VIP deck),2.0,1.6,2.4,2023-09-25 14:00:00,2023-09-25 16:00:00,,0
46,1.46,Setting up the tent (recycling area 1),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
47,1.47,Tent equipping with utilities (recycling area 1),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
48,1.48,Furnishing interior tent (recycling area 1),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
49,1.49,Setting up the tent (recycling area 2),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
50,1.5,Tent equipping with utilities (recycling area 2),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
51,1.51,Furnishing interior tent (recycling area 2),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
52,1.52,Setting up the tent (recycling area 3),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
53,1.53,Tent equipping with utilities (recycling area 3),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
54,1.54,Furnishing interior tent (recycling area 3),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
55,1.55,Setting up the tent (direction 1),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
56,1.56,Tent equipping with utilities (direction 1),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
57,1.57,Furnishing interior tent (direction 1),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
58,1.58,Setting up the tent (direction 2),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
59,1.59,Tent equipping with utilities (direction 2),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
60,1.6,Furnishing interior tent (direction 2),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
61,1.61,Setting up the deck (Deck Kramersplein),7.0,5.6,8.4,2023-09-22 14:00:00,2023-09-25 12:00:00,,0
62,1.62,Setting up the tent (Deck Kramersplein),7.0,5.6,8.4,2023-09-25 13:00:00,2023-09-26 11:00:00,,0
63,1.63,Tent equipping with utilities (Deck Kramersplein),2.0,1.6,2.4,2023-09-26 11:00:00,2023-09-26 14:00:00,,0
64,1.64,Installing the bar (Deck Kramersplein bar 1),1.0,0.8,1.2,2023-09-26 14:00:00,2023-09-26 15:00:00,,0
65,1.65,Connecting barrels (Deck Kramersplein bar 1),1.0,0.8,1.2,2023-09-26 15:00:00,2023-09-26 16:00:00,,0
66,1.66,Positioning fridges (Deck Kramersplein bar 1),1.0,0.8,1.2,2023-09-26 16:00:00,2023-09-26 17:00:00,,0
67,1.67,Filling fridges (Deck Kramersplein bar 1),1.0,0.8,1.2,2023-09-27 08:00:00,2023-09-27 09:00:00,,0
68,1.68,Installing the bar (Deck Kramersplein bar 2),1.0,0.8,1.2,2023-09-26 14:00:00,2023-09-26 15:00:00,,0
69,1.69,Connecting barrels (Deck Kramersplein bar 2),1.0,0.8,1.2,2023-09-26 15:00:00,2023-09-26 16:00:00,,0
70,1.7,Positioning fridges (Deck Kramersplein bar 2),1.0,0.8,1.2,2023-09-26 16:00:00,2023-09-26 17:00:00,,0
71,1.71,Filling fridges (Deck Kramersplein bar 2),1.0,0.8,1.2,2023-09-27 08:00:00,2023-09-27 09:00:00,,0
72,1.72,Setting up the tent (recycling area Kramersplein),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
73,1.73,Tent equipping with utilities (recycling area Kramersplein),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
74,1.74,Furnishing interior tent (recycling area Kramersplein),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
75,1.75,Placing bottom container (bar 3),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
76,1.76,Placing top container (bar3),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
77,1.77,Installing the stairs (bar3),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
78,1.78,Equipping both containers with utilities (bar3),0.0,0.0,0.0,2023-09-22 15:00:00,2023-09-22 15:00:00,,0
79,1.79,Filling the fridges in the bottom container (bar 3),0.0,0.0,0.0,2023-09-22 15:00:00,2023-09-22 15:00:00,,0
80,1.8,Furnishing interior of upper container (bar 3),0.0,0.0,0.0,2023-09-22 15:00:00,2023-09-22 15:00:00,,0
81,1.81,Placing fully equipped container (bar 4),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
82,1.82,Equipping container with utilities (bar 4),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
83,1.83,Placing container (desk container boxoffices),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
84,1.84,Equipping container with utilities (desk container boxoffices),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
85,1.85,Furnishing interior of container (desk container boxoffices),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
86,1.86,Placing container (desk container coordinators),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
87,1.87,Equipping container with utilities (desk container coordinators),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
88,1.88,Furnishing interior of container (desk container coordinators),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
89,1.89,Placing container (first-aid),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
90,1.9,Equipping container with utilities (first-aid),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
91,1.91,Furnishing interior of container (first-aid),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
92,1.92,Placing bottom container (warehouse + SS),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
93,1.93,Placing top container (warehouse + SS),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
94,1.94,Installing the stairs (warehouse + SS),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
95,1.95,Equipping both containers with utilities (warehouse + SS),0.0,0.0,0.0,2023-09-22 15:00:00,2023-09-22 15:00:00,,0
96,1.96,Furnishing interior of both containers (warehouse + SS),0.0,0.0,0.0,2023-09-22 15:00:00,2023-09-22 15:00:00,,0
97,1.97,Placing container (press),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
98,1.98,Equipping container with utilities (press),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
99,1.99,Furnishing interior of container (press),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
100,1.1,Placing container (production x IT x bitstream),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
101,1.101,Equipping container with utilities (production x IT x bitstream),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
102,1.102,Furnishing interior of container (production x IT x bitstream),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
103,1.103,Placing container (checkout Petermans),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
104,1.104,Equipping container with utilities (checkout Petermans),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
105,1.105,Furnishing interior of container (checkout Petermans),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
106,1.106,Placing container (checkout 1 main toilet),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
107,1.107,Equipping container with utilities (checkout 1 main toilet),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
108,1.108,Furnishing interior of container (checkout 1 main toilet),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
109,1.109,Placing container (checkout 2 main toilet),0.0,0.0,0.0,2023-09-22 14:00:00,2023-09-22 14:00:00,,0
