node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Sewage Plant Hove,562.375,556.75,568.0,2004-04-28 08:00:00,2005-11-11 17:00:00,,1236603.66381836
1,1.1,RWZI-HOVE,0.375,0.3,0.45,2004-04-28 08:00:00,2004-04-28 17:00:00,,1.0
2,1.2,P1-P2-P3,557.375,445.9,668.85,2004-05-03 08:00:00,2005-11-11 17:00:00,,221408.0078125
3,1.3,werfinstallatie,37.375,37.0,37.75,2004-05-03 08:00:00,2004-06-09 17:00:00,,84728.1589660645
4,1.3.1,installatie werfketen,4.375,3.5,5.25,2004-05-03 08:00:00,2004-05-07 17:00:00,,1418.00003051758
5,1.3.2,sonderingen,4.375,3.5,5.25,2004-05-03 08:00:00,2004-05-07 17:00:00,,12470.0
6,1.3.3,afbraak slibverwerkingsgebouw,11.375,9.1,13.65,2004-05-17 08:00:00,2004-05-28 17:00:00,,30000.0
7,1.3.4,opbreken gedeelte terrein riolering,4.375,3.5,5.25,2004-05-10 08:00:00,2004-05-14 17:00:00,,12366.9995117188
8,1.3.5,opbreken gedeelte bestaande wegenis,4.375,3.5,5.25,2004-05-10 08:00:00,2004-05-14 17:00:00,,1660.0
9,1.3.6,afgraven teelaarde,2.375,1.9,2.85,2004-05-17 08:00:00,2004-05-19 17:00:00,,1000.07995605469
10,1.3.7,voorbereidende grondwerken,2.375,1.9,2.85,2004-05-24 08:00:00,2004-05-26 17:00:00,,1000.07995605469
11,1.3.8,plaatsen bemaling,4.375,3.5,5.25,2004-05-27 08:00:00,2004-05-31 17:00:00,,14812.9995117187
12,1.3.9,inbuizen van de beek en opvangen van drains (grasland),13.375,10.7,16.05,2004-05-27 08:00:00,2004-06-09 17:00:00,,10000.0
13,1.4,effluentmeting en lozingskonstruktie (deelwerk 2),159.375,157.78,160.97,2004-06-02 08:00:00,2004-11-08 17:00:00,,5430.91519165039
14,1.4.1,grondwerk,2.375,1.9,2.85,2004-06-02 08:00:00,2004-06-04 17:00:00,,499.999191284179
15,1.4.2,betonwerken,22.375,22.15,22.6,2004-06-07 08:00:00,2004-06-29 17:00:00,,1999.91918945313
16,1.4.2.1,zuiverheidsbeton,0.375,0.3,0.45,2004-06-07 08:00:00,2004-06-07 17:00:00,,500.0
17,1.4.2.2,vloerplaat,2.375,1.9,2.85,2004-06-08 08:00:00,2004-06-10 17:00:00,,499.999191284179
18,1.4.2.3,wanden,13.375,10.7,16.05,2004-06-11 08:00:00,2004-06-24 17:00:00,,500.0
19,1.4.2.4,waterdichtheidsproef,4.375,3.5,5.25,2004-06-25 08:00:00,2004-06-29 17:00:00,,499.919998168946
20,1.4.3,plaatsen stortbuizen (omlegging effluentwater),10.375,8.3,12.45,2004-06-25 08:00:00,2004-07-05 17:00:00,,999.997573852542
21,1.4.4,aansluiting op bestaande effluentkoker NBT1/2,0.375,0.3,0.45,2004-07-06 08:00:00,2004-07-06 17:00:00,,100.0
