node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Wind Farm,732.375,725.05,739.7,2008-10-20 08:00:00,2010-10-22 17:00:00,,21369835.5102008
1,1.1,Wind Farm,732.375,725.05,739.7,2008-10-20 08:00:00,2010-10-22 17:00:00,,21369835.5102008
2,1.1.1,Vergunningen,20.0,19.8,20.2,2009-02-10 17:00:00,2009-03-02 17:00:00,,0.0
3,1.1.1.1,Milieuvergunning,0.0,0.0,0.0,2009-02-12 17:00:00,2009-02-12 17:00:00,,0.0
4,1.1.1.2,Bouwvergunning,0.0,0.0,0.0,2009-02-10 17:00:00,2009-02-10 17:00:00,,0.0
5,1.1.1.3,RUP,0.0,0.0,0.0,2009-03-02 17:00:00,2009-03-02 17:00:00,,0.0
6,1.1.2,studies,403.375,399.34,407.41,2008-10-20 08:00:00,2009-11-27 17:00:00,,309795.075454712
7,1.1.2.1,sonderingen,53.375,52.84,53.91,2009-02-05 08:00:00,2009-03-30 17:00:00,,30387.9796142578
8,1.1.2.1.1,offerte,13.375,10.7,16.05,2009-02-05 08:00:00,2009-02-18 17:00:00,,6365.2998046875
9,1.1.2.1.2,sondering,19.375,15.5,23.25,2009-02-19 08:00:00,2009-03-10 17:00:00,,15511.0998535156
10,1.1.2.1.3,sonderingsverslag,19.375,15.5,23.25,2009-03-11 08:00:00,2009-03-30 17:00:00,,8511.57995605469
11,1.1.2.2,Aansluitingen,354.375,350.83,357.92,2008-10-20 08:00:00,2009-10-09 17:00:00,,147808.272109985
12,1.1.2.2.1,orientatiestudie,144.375,115.5,173.25,2008-10-20 08:00:00,2009-03-13 17:00:00,,61333.6209335327
13,1.1.2.2.2,detailstudie,123.375,98.7,148.05,2009-03-16 08:00:00,2009-07-17 17:00:00,,53284.4719161987
14,1.1.2.2.3,financieel plan,81.375,65.1,97.65,2009-07-20 08:00:00,2009-10-09 17:00:00,,33190.1792602539
15,1.1.2.3,uitvoeringsplan,269.375,266.68,272.07,2009-03-03 08:00:00,2009-11-27 17:00:00,,131598.823730469
16,1.1.2.3.1,roads and hardstands,17.375,13.9,20.85,2009-03-16 08:00:00,2009-04-02 17:00:00,,16511.7399902344
17,1.1.2.3.2,contracten,17.375,13.9,20.85,2009-03-03 08:00:00,2009-03-20 17:00:00,,16511.7399902344
18,1.1.2.3.3,extra vergunningen,249.375,199.5,299.25,2009-03-23 08:00:00,2009-11-27 17:00:00,,98575.34375
19,1.1.3,preconstruction,349.375,345.88,352.87,2009-02-12 08:00:00,2010-01-27 17:00:00,,1216717.08203125
20,1.1.3.1,Roads and hardstands,19.375,15.5,23.25,2010-01-08 08:00:00,2010-01-27 17:00:00,,1111351.78125
21,1.1.3.2,Mark NMP pipe,6.375,5.1,7.65,2009-02-12 08:00:00,2009-02-18 17:00:00,,52682.650390625
22,1.1.3.3,Mark NMP pipe,6.375,5.1,7.65,2010-01-01 08:00:00,2010-01-07 17:00:00,,52682.650390625
23,1.1.4,Foundations,209.375,207.28,211.47,2010-01-28 08:00:00,2010-08-25 17:00:00,,1546009.55535156
24,1.1.4.1,settlement on construction site,6.375,5.1,7.65,2010-01-28 08:00:00,2010-02-03 17:00:00,,2682.64990234375
25,1.1.4.2,Piling,153.375,151.84,154.91,2010-02-04 08:00:00,2010-07-07 17:00:00,,508182.657226563
26,1.1.4.2.1,foundation 1,6.375,5.1,7.65,2010-02-04 08:00:00,2010-02-10 17:00:00,,72597.5224609376
27,1.1.4.2.2,foundation 2,6.375,5.1,7.65,2010-02-18 08:00:00,2010-02-24 17:00:00,,72597.5224609376
28,1.1.4.2.3,foundation 3,6.375,5.1,7.65,2010-03-04 08:00:00,2010-03-10 17:00:00,,72597.5224609376
29,1.1.4.2.4,foundation 4,6.375,5.1,7.65,2010-03-18 08:00:00,2010-03-24 17:00:00,,72597.5224609376
30,1.1.4.2.5,foundation 5,6.375,5.1,7.65,2010-05-18 08:00:00,2010-05-24 17:00:00,,72597.5224609376
31,1.1.4.2.6,foundation 6,6.375,5.1,7.65,2010-06-09 08:00:00,2010-06-15 17:00:00,,72597.5224609376
32,1.1.4.2.7,foundation 7,6.375,5.1,7.65,2010-07-01 08:00:00,2010-07-07 17:00:00,,72597.5224609376
33,1.1.4.3,Concrete works foundations,167.375,165.7,169.05,2010-02-11 08:00:00,2010-07-28 17:00:00,,1035144.17822266
34,1.1.4.3.1,foundation 1,20.375,16.3,24.45,2010-02-11 08:00:00,2010-03-03 17:00:00,,147877.739746094
35,1.1.4.3.2,foundation 2,20.375,16.3,24.45,2010-02-25 08:00:00,2010-03-17 17:00:00,,147877.739746094
36,1.1.4.3.3,foundation 3,20.375,16.3,24.45,2010-03-11 08:00:00,2010-03-31 17:00:00,,147877.739746094
37,1.1.4.3.4,foundation 4,20.375,16.3,24.45,2010-03-25 08:00:00,2010-04-14 17:00:00,,147877.739746094
38,1.1.4.3.5,foundation 5,20.375,16.3,24.45,2010-05-25 08:00:00,2010-06-14 17:00:00,,147877.739746094
39,1.1.4.3.6,foundation 6,20.375,16.3,24.45,2010-06-16 08:00:00,2010-07-06 17:00:00,,147877.739746094
40,1.1.4.3.7,foundation 7,20.375,16.3,24.45,2010-07-08 08:00:00,2010-07-28 17:00:00,,147877.739746094
41,1.1.4.4,Setting of concrete,174.375,172.63,176.12,2010-03-04 08:00:00,2010-08-25 17:00:00,,0.0699999984353781
42,1.1.4.4.1,setting concrete 1,27.375,21.9,32.85,2010-03-04 08:00:00,2010-03-31 17:00:00,,0.00999999977648258
43,1.1.4.4.2,setting concrete 2,27.375,21.9,32.85,2010-03-18 08:00:00,2010-04-14 17:00:00,,0.00999999977648258
44,1.1.4.4.3,setting concrete 3,27.375,21.9,32.85,2010-04-01 08:00:00,2010-04-28 17:00:00,,0.00999999977648258
45,1.1.4.4.4,setting concrete 4,27.375,21.9,32.85,2010-04-15 08:00:00,2010-05-12 17:00:00,,0.00999999977648258
46,1.1.4.4.5,setting concrete 5,27.375,21.9,32.85,2010-06-15 08:00:00,2010-07-12 17:00:00,,0.00999999977648258
47,1.1.4.4.6,setting concrete 6,27.375,21.9,32.85,2010-07-07 08:00:00,2010-08-03 17:00:00,,0.00999999977648258
48,1.1.4.4.7,setting concrete 7,27.375,21.9,32.85,2010-07-29 08:00:00,2010-08-25 17:00:00,,0.00999999977648258
49,1.1.5,Windturbines,205.0,202.95,207.05,2010-03-31 17:00:00,2010-10-22 17:00:00,,16784528.0628662
50,1.1.5.1,Tower,169.0,167.31,170.69,2010-03-31 17:00:00,2010-09-16 17:00:00,,7401145.5
