node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Timber House,368.375,364.69,372.06,2011-06-30 08:00:00,2012-07-02 17:00:00,,501029.512077332
2,1.1,Voorbereiding,222.375,220.15,224.6,2011-06-30 08:00:00,2012-02-07 17:00:00,,904.299987792969
1,1.1.1,Bouwvergunning,0.375,0.3,0.45,2011-06-30 08:00:00,2011-06-30 17:00:00,,30.8600006103516
3,1.1.2,Technische bespreking,0.375,0.3,0.45,2011-08-26 08:00:00,2011-08-26 17:00:00,,780.859985351563
4,1.1.3,Ondertekening definitief contract,0.375,0.3,0.45,2011-09-23 08:00:00,2011-09-23 17:00:00,,30.8600006103516
5,1.1.4,Bestelling technisch bureau,0.375,0.3,0.45,2012-02-07 08:00:00,2012-02-07 17:00:00,,30.8600006103516
6,1.1.5,Bestelling projectleiders,0.375,0.3,0.45,2012-02-07 08:00:00,2012-02-07 17:00:00,,30.8600006103516
7,1.2,Funderingen,7.375,5.9,8.85,2012-02-14 08:00:00,2012-02-21 17:00:00,,23047.4609375
9,1.3,Montage,24.375,24.13,24.62,2012-02-20 08:00:00,2012-03-15 17:00:00,,186369.350097656
8,1.3.1,Schrijnwerk (levering),0.375,0.3,0.45,2012-02-20 08:00:00,2012-02-20 17:00:00,,1724.46997070313
10,1.3.2,Montage houten kit,11.375,9.1,13.65,2012-02-27 08:00:00,2012-03-09 17:00:00,,169353.5
11,1.3.3,Schrijnwerk (plaatsing),0.375,0.3,0.45,2012-03-12 08:00:00,2012-03-12 17:00:00,,1724.46997070313
13,1.3.4,Glas,0.375,0.3,0.45,2012-03-15 08:00:00,2012-03-15 17:00:00,,13566.91015625
15,1.4,Stelling,53.375,52.84,53.91,2012-03-12 08:00:00,2012-05-04 17:00:00,,61.7200012207032
14,1.4.1,Stelling (opbouw),0.375,0.3,0.45,2012-03-12 08:00:00,2012-03-12 17:00:00,,30.8600006103516
16,1.4.2,Stelling (afbraak),0.375,0.3,0.45,2012-05-04 08:00:00,2012-05-04 17:00:00,,30.8600006103516
18,1.5,Isolatie,13.375,13.24,13.51,2012-03-20 08:00:00,2012-04-02 17:00:00,,22041.1901855469
17,1.5.1,Muurisolatie,6.375,5.1,7.65,2012-03-27 08:00:00,2012-04-02 17:00:00,,18367.66015625
19,1.5.2,Pur,0.375,0.3,0.45,2012-03-20 08:00:00,2012-03-20 17:00:00,,3673.53002929688
21,1.6,Technieken (eerste fase),10.375,10.27,10.48,2012-03-13 08:00:00,2012-03-23 17:00:00,,51406.220703125
20,1.6.1,Elektriciteit (eerste fase),6.375,5.1,7.65,2012-03-13 08:00:00,2012-03-19 17:00:00,,8928.5703125
22,1.6.2,Sanitair - ventilatie (eerste fase),6.375,5.1,7.65,2012-03-13 08:00:00,2012-03-19 17:00:00,,20995.990234375
23,1.6.3,Verwarming (eerste fase),6.375,5.1,7.65,2012-03-13 08:00:00,2012-03-19 17:00:00,,10695.25
24,1.6.4,Vloerverwarming,2.375,1.9,2.85,2012-03-21 08:00:00,2012-03-23 17:00:00,,10786.41015625
25,1.7,Chape,0.375,0.3,0.45,2012-03-26 08:00:00,2012-03-26 17:00:00,,4263.740234375
27,1.8,Zinkwerken,77.375,76.6,78.15,2012-03-22 08:00:00,2012-06-07 17:00:00,,9552.64013671875
26,1.8.1,Goten,1.375,1.1,1.65,2012-03-22 08:00:00,2012-03-23 17:00:00,,6536.2001953125
28,1.8.2,Afleiders,0.375,0.3,0.45,2012-06-07 08:00:00,2012-06-07 17:00:00,,3016.43994140625
29,1.9,Metselwerken,22.375,17.9,26.85,2012-04-03 08:00:00,2012-04-25 17:00:00,,29433.6796875
30,1.10,Voegwerken,1.375,1.1,1.65,2012-05-14 08:00:00,2012-05-15 17:00:00,,3213.169921875
31,1.11,Stabilisé,0.375,0.3,0.45,2012-05-14 08:00:00,2012-05-14 17:00:00,,1962.25
33,1.12,Dakwerken,17.375,17.2,17.55,2012-03-12 08:00:00,2012-03-29 17:00:00,,21980.6396484375
32,1.12.1,Pannenlatten,0.375,0.3,0.45,2012-03-12 08:00:00,2012-03-12 17:00:00,,4396.1298828125
34,1.12.2,Pannen,2.375,1.9,2.85,2012-03-26 08:00:00,2012-03-28 17:00:00,,13188.3798828125
55,1.12.3,Pannen (fase 2),0.375,0.3,0.45,2012-03-29 08:00:00,2012-03-29 17:00:00,,4396.1298828125
35,1.13,Vloeren (eerste fase),2.375,1.9,2.85,2012-04-03 08:00:00,2012-04-05 17:00:00,,19974.650390625
37,1.14,Afwerking,58.375,57.79,58.96,2012-04-10 08:00:00,2012-06-07 17:00:00,,89234.9203109741
38,1.14.1,Afwerking (intern),30.375,24.3,36.45,2012-05-07 08:00:00,2012-06-06 17:00:00,,38565.19140625
54,1.14.2,Trappen,0.375,0.3,0.45,2012-06-07 08:00:00,2012-06-07 17:00:00,,83.7300033569336
39,1.14.3,Afwerking (extern),7.375,5.9,8.85,2012-04-26 08:00:00,2012-05-03 17:00:00,,43852.37890625
40,1.14.4,Houten terras,1.375,1.1,1.65,2012-05-15 08:00:00,2012-05-16 17:00:00,,2064.13989257813
