node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Project,190.16666666663514,188.26,192.07,2016-08-23 13:00:00,2017-03-01 17:00:00,,0
1,1.1,Planning Phase,49.95833333329938,49.46,50.46,2016-08-23 13:00:00,2016-10-12 12:00:00,,0
2,1.1.1,Concept automatisation techniques,12.958333333299379,10.37,15.55,2016-08-23 13:00:00,2016-09-05 12:00:00,,0
3,1.1.2,Research automatisation techniques,20.95833333329938,16.77,25.15,2016-09-05 13:00:00,2016-09-26 12:00:00,,0
4,1.1.3,Choices of different techniques,9.958333333299379,7.97,11.95,2016-09-26 13:00:00,2016-10-06 12:00:00,,0
5,1.1.4,Meeting with EMASC and ENTREC,5.958333333299379,4.77,7.15,2016-10-06 13:00:00,2016-10-12 12:00:00,,0
6,1.2,Design Phase,41.16666666659876,40.75,41.58,2016-10-12 13:00:00,2016-11-22 17:00:00,,0
7,1.2.1,Testing supply hoppers candy (min. 70/min.),0.16666666659875773,0.13,0.2,2016-10-12 13:00:00,2016-10-12 17:00:00,,0
8,1.2.2,Testing supply hoppers PP handles (min. 70/min.),0.16666666659875773,0.13,0.2,2016-10-12 13:00:00,2016-10-12 17:00:00,,0
9,1.2.3,Elaboration of concept,20.375,16.3,24.45,2016-10-13 08:00:00,2016-11-02 17:00:00,,0
10,1.2.4,Evaluation concept with Sweetpack,4.375,3.5,5.25,2016-11-04 08:00:00,2016-11-08 17:00:00,,0
11,1.2.5,Adjustments of concept,7.375,5.9,8.85,2016-11-09 08:00:00,2016-11-16 17:00:00,,0
12,1.2.6,Definitive concept,4.375,3.5,5.25,2016-11-18 08:00:00,2016-11-22 17:00:00,,0
13,1.3,Assembly Phase,69.375,68.68,70.07,2016-11-23 08:00:00,2017-01-31 17:00:00,,0
14,1.3.1,Adaption robots according to concept,5.375,4.3,6.45,2016-12-15 08:00:00,2016-12-20 17:00:00,,0
15,1.3.2,Software development for robots,2.1666666665987577,2.14,2.19,2017-01-25 13:00:00,2017-01-27 17:00:00,,0
16,1.3.2.1,Handle picker robot,0.16666666659875773,0.13,0.2,2017-01-25 13:00:00,2017-01-25 17:00:00,,0
17,1.3.2.2,Candy picker robot,0.16666666659875773,0.13,0.2,2017-01-25 13:00:00,2017-01-25 17:00:00,,0
18,1.3.2.3,Shifting robot,0.16666666670062114,0.13,0.2,2017-01-26 08:00:00,2017-01-26 12:00:00,,0
19,1.3.2.4,Feeding Buffer 3.2,1.1666666665987577,0.93,1.4,2017-01-26 13:00:00,2017-01-27 17:00:00,,0
20,1.3.3,Production flowpacker,59.16666666670062,58.58,59.76,2016-12-02 08:00:00,2017-01-30 12:00:00,,0
21,1.3.3.1,Customization standard flowpacker,33.375,26.7,40.05,2016-12-02 08:00:00,2017-01-04 17:00:00,,0
22,1.3.3.2,Testing,6.375,5.1,7.65,2017-01-05 08:00:00,2017-01-11 17:00:00,,0
23,1.3.3.3,Delivery flowpacker at Sweetpack,0.375,0.3,0.45,2017-01-12 08:00:00,2017-01-12 17:00:00,,0
24,1.3.3.4,Feeding Buffer 3.3,17.16666666670062,13.73,20.6,2017-01-13 08:00:00,2017-01-30 12:00:00,,0
25,1.3.4,Development turning station,65.16666666670062,64.52,65.82,2016-11-23 08:00:00,2017-01-27 12:00:00,,0
26,1.3.4.1,Designing,21.375,17.1,25.65,2016-11-23 08:00:00,2016-12-14 17:00:00,,0
27,1.3.4.2,Production of elements,6.375,5.1,7.65,2016-12-22 08:00:00,2016-12-28 17:00:00,,0
28,1.3.4.3,Assembly of elements,4.375,3.5,5.25,2016-12-29 08:00:00,2017-01-02 17:00:00,,0
29,1.3.4.4,Software programming,0.9583333332993789,0.77,1.15,2017-01-26 13:00:00,2017-01-27 12:00:00,,0
30,1.3.5,Development dispensing machine,7.375,7.3,7.45,2016-12-21 08:00:00,2016-12-28 17:00:00,,0
31,1.3.5.1,Designing,1.375,1.1,1.65,2016-12-21 08:00:00,2016-12-22 17:00:00,,0
32,1.3.5.2,Production of elements,1.375,1.1,1.65,2016-12-26 08:00:00,2016-12-27 17:00:00,,0
33,1.3.5.3,Assembly of elements,0.375,0.3,0.45,2016-12-28 08:00:00,2016-12-28 17:00:00,,0
34,1.3.6,Development frame and conductors,28.375,28.09,28.66,2016-12-23 08:00:00,2017-01-20 17:00:00,,0
35,1.3.6.1,Designing,10.375,8.3,12.45,2016-12-23 08:00:00,2017-01-02 17:00:00,,0
36,1.3.6.2,Production of elements,8.375,6.7,10.05,2017-01-03 08:00:00,2017-01-11 17:00:00,,0
37,1.3.6.3,Assembly of elements,8.375,6.7,10.05,2017-01-12 08:00:00,2017-01-20 17:00:00,,0
38,1.3.7,Erection of new production line,7.375,7.3,7.45,2017-01-23 08:00:00,2017-01-30 17:00:00,,0
39,1.3.7.1,Installation frame and conductors,0.375,0.3,0.45,2017-01-23 08:00:00,2017-01-23 17:00:00,,0
40,1.3.7.2,Feeding Buffer 3.7.1,6.166666666598758,4.93,7.4,2017-01-24 13:00:00,2017-01-30 17:00:00,,0
41,1.3.7.3,Installation turning station,0.16666666659875773,0.13,0.2,2017-01-27 13:00:00,2017-01-27 17:00:00,,0
42,1.3.7.4,Installation new robots,0.375,0.3,0.45,2017-01-30 08:00:00,2017-01-30 17:00:00,,0
43,1.3.7.5,Installation dispensing machine,0.16666666670062114,0.13,0.2,2017-01-24 08:00:00,2017-01-24 12:00:00,,0
44,1.3.7.6,Feeding Buffer 3.7.4,6.166666666598758,4.93,7.4,2017-01-24 13:00:00,2017-01-30 17:00:00,,0
45,1.3.8,Dismantling of hoppers from dummy production line,0.16666666670062114,0.13,0.2,2017-01-30 08:00:00,2017-01-30 12:00:00,,0
46,1.3.9,Delivery hoppers and flowpacker,0.16666666659875773,0.13,0.2,2017-01-30 13:00:00,2017-01-30 17:00:00,,0
47,1.3.10,Integration of hoppers and flowpacker in new production line,0.375,0.3,0.45,2017-01-31 08:00:00,2017-01-31 17:00:00,,0
48,1.4,Testing Phase,9.375,9.28,9.47,2017-01-31 08:00:00,2017-02-09 17:00:00,,0
49,1.4.1,Testing of full production line,7.375,5.9,8.85,2017-02-01 08:00:00,2017-02-08 17:00:00,,0
50,1.4.2,Adjusting new production line,0.375,0.37,0.38,2017-02-09 08:00:00,2017-02-09 17:00:00,,0
51,1.4.2.1,Possible adjustments software,0.375,0.3,0.45,2017-02-09 08:00:00,2017-02-09 17:00:00,,0
52,1.4.2.2,Possible adjustments production line,0.375,0.3,0.45,2017-02-09 08:00:00,2017-02-09 17:00:00,,0
53,1.4.3,Restructuring production lines,9.375,9.28,9.47,2017-01-31 08:00:00,2017-02-09 17:00:00,,0
54,1.4.3.1,Disassembly of old dummy production line,0.375,0.3,0.45,2017-01-31 08:00:00,2017-01-31 17:00:00,,0
55,1.4.3.2,Shutdown of whistle production lines,0.16666666670062114,0.13,0.2,2017-02-01 08:00:00,2017-02-01 12:00:00,,0
56,1.4.3.3,Reorganization whistle production lines,4.958333333299379,3.97,5.95,2017-02-01 13:00:00,2017-02-06 12:00:00,,0
57,1.4.3.4,Provisions dummy production line,0.9583333332993789,0.77,1.15,2017-02-06 13:00:00,2017-02-07 12:00:00,,0
58,1.4.3.5,Feeding Buffer 4.3,2.1666666665987577,1.73,2.6,2017-02-07 13:00:00,2017-02-09 17:00:00,,0
59,1.5,Final Assembly Phase,4.166666666700621,4.13,4.21,2017-02-10 08:00:00,2017-02-14 12:00:00,,0
60,1.5.1,Installation new production line,3.375,3.34,3.41,2017-02-10 08:00:00,2017-02-13 17:00:00,,0
61,1.5.1.1,Construction,0.375,0.3,0.45,2017-02-10 08:00:00,2017-02-10 17:00:00,,0
62,1.5.1.2,Final tests,0.375,0.3,0.45,2017-02-13 08:00:00,2017-02-13 17:00:00,,0
63,1.5.2,Evaluation,0.16666666670062114,0.13,0.2,2017-02-14 08:00:00,2017-02-14 12:00:00,,0
64,1.6,Projectbuffer,15.166666666598758,12.13,18.2,2017-02-14 13:00:00,2017-03-01 17:00:00,,0
