node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
5,1.2.1.1,01.01.01 CASETA DE ALMACEN Y GUARDIANIA,1.0,0.5,1.5,2022-07-01 00:00:00,nan,plumber,
6,1.2.1.2,01.01.02 OFICINAS PARA CLIENTE,3.0,2.0,4.0,2022-07-01 00:00:00,nan,carpenter,
7,1.2.1.3,01.01.03 CARTEL DE IDENTIFICACION DE OBRA 3.60 X 2.40 m,1.0,0.5,1.5,2022-07-01 00:00:00,nan,carpenter,
8,1.2.1.4,01.01.04 BAÑO PERSONAL OBRERO,2.0,0.5,3.0,2022-07-01 00:00:00,nan,carpenter,
9,1.2.1.5,01.01.05 MOVILIZACION Y DESMOVILIZACION DE MAQUINARIA,1.0,0.5,1.5,2022-07-01 00:00:00,nan,plumber,
11,1.2.2.1,01.02.01 LIMPIEZA GENERAL DE TERRENO,3.0,1.0,5.0,2022-07-02 00:00:00,nan,carpenter,
12,1.2.2.2,01.02.02 TRAZO DE NIVELES Y REPLANTEO,4.0,2.0,6.0,2022-07-06 00:00:00,nan,plumber,
13,1.2.2.3,01.02.03 DEMOLICION DE VEREDAS EXISTENTE,5.0,2.0,8.0,2022-07-11 00:00:00,nan,welder,
14,1.2.2.4,01.02.04 DEMOLICION DE ALCANTARILLA DE CONCRETO,1.0,0.5,1.5,2022-07-16 00:00:00,nan,team subcontractor[2.00 #8],
15,1.2.2.5,01.02.05 ELIMINACION DE MATERIAL DE DEMOLICIONES,1.0,0.5,1.5,2022-07-18 00:00:00,nan,team subcontractor[2.00 #8],
17,1.2.3.1,01.03.01 EXCAVACION DE TERRENO NORMAL A NIVEL DE SUB RASANTE,6.0,4.0,8.0,2022-07-18 00:00:00,nan,welder,
18,1.2.3.2,01.03.02 EXCAVACION DE ROCA SUELTA A NIVEL DE SUB RASANTE,3.0,1.0,5.0,2022-07-18 00:00:00,nan,team subcontractor[2.00 #8],
19,1.2.3.3,01.03.03 RELLENO CON MATERIAL PROPIO SELESSIONADO,1.0,0.5,1.5,2022-07-21 00:00:00,nan,team subcontractor[2.00 #8],
20,1.2.3.4,01.03.04 ELIMINACION DE MATERIAL EXCEDENTE,5.0,1.0,9.0,2022-07-22 00:00:00,nan,team subcontractor[2.00 #8],
22,1.2.4.1,"01.04.01 ELABORACION, IMPLEMENTACION Y ADMINISTRACION DEL PLAN DE SEGURIDAD EN EL TRABAJO",1.0,0.5,1.5,2022-07-01 00:00:00,nan,mason,
23,1.2.4.2,01.04.02 EQUIPOS DE PROTESSION INDIVIDUAL,1.0,0.5,1.5,2022-07-01 00:00:00,nan,electrician ,
24,1.2.4.3,01.04.03 EQUIPOS DE PROTESSION COLECTIVO,1.0,0.5,1.5,2022-07-01 00:00:00,nan,mason,
25,1.2.4.4,01.04.04 SEÑALIZACION Y SEGURIDAD EN OBRA,1.0,0.5,1.5,2022-07-01 00:00:00,nan,plasterer,
27,1.2.5.1,"01.05.01 ELABORACION, IMPLEMENTACION Y ADMINISTRACION DEL PLAN DE MONITOREO Y MANEJO AMBIENTAL",1.0,0.5,1.5,2022-07-01 00:00:00,nan,carpenter,
28,1.2.5.2,01.05.02 LIMPIEZA FINAL DE OBRA,2.0,1.0,3.0,2022-09-24 00:00:00,nan,painter,
29,1.2.5.3,01.05.03 REACONDICIONAMIENTO DE ZONA DE BOTADERO,1.0,0.5,1.5,2022-07-01 00:00:00,nan,plumber,
30,1.2.5.4,01.05.04 PLAN DE MONITOREO ARQUEOLOGICO,1.0,0.5,1.5,2022-07-01 00:00:00,nan,mason,
33,1.3.1.1,02.01.01 TRAZO Y REPLANTEO,2.0,1.0,3.0,2022-07-07 00:00:00,nan,welder,
35,1.3.2.1,02.02.01 EXCAVACION DE ZANJA P/TUB. Aprox.=0.80 Hmáx<=1.00m EN TERRENO NORMAL MANUAL,3.0,1.0,5.0,2022-07-09 00:00:00,nan,mason,
36,1.3.2.2,02.02.02 NIVELACION INTERIOR Y APISIONADO MANUAL,2.0,1.0,3.0,2022-07-13 00:00:00,nan,mason,
37,1.3.2.3,02.02.03 CAMA DE APOYO P/TUB HASTA  0.10 m C/MATER. DE PRESTAMO ARENA GRUESA,2.0,1.0,3.0,2022-07-15 00:00:00,nan,plumber,
38,1.3.2.4,02.02.04 RELLENO CON MATERIAL PROPIO SELESSIONADO APISONADO,2.0,1.0,3.0,2022-07-18 00:00:00,nan,mason,
39,1.3.2.5,02.02.05 RELLENO CON MATERIAL PROPIO SELESSIONADO COMPACTADO,2.0,1.0,3.0,2022-07-20 00:00:00,nan,carpenter,
40,1.3.2.6,02.02.06 ELIMINACION DE MATERIAL EXCEDENTE,1.0,0.5,1.5,2022-07-22 00:00:00,nan,mason,
42,1.3.3.1,"02.03.01 SUMIN. E INST. DE TUBERIA PVC-SAP C-10 PARA AGUA Ø 1 1/2"".",2.0,1.0,3.0,2022-07-22 00:00:00,nan,mason,
43,1.3.3.2,"02.03.02 PRUEBA HIDRAULICA TUBERIA PVC-SAP C-10 PARA AGUA DE Ø 1 1/2""",2.0,0.5,4.0,2022-07-26 00:00:00,nan,mason,
44,1.3.3.3,"02.03.03 ASSESORIOS DE RED DE AGUA DE TUB. PVC-SAP C-10 PARA AGUA DE Ø 1 1/2""",1.0,0.25,1.5,2022-07-25 00:00:00,nan,welder,
46,1.3.4.1,02.04.01 SUMIN. E INSTAL. DE CAJA DE VALVULAS + ASSESORIOS,2.0,1.0,3.0,2022-07-28 00:00:00,nan,painter,
48,1.3.5.1,02.05.01 EXCAVACION DE ZANJA P/TUB. Aprox.=0.60 Hmáx<=1.00m EN TERRENO NORMAL MANUAL,3.0,0.5,5.5,2022-07-30 00:00:00,nan,painter,
49,1.3.5.2,02.05.02 CAMA DE APOYO P/TUB HASTA  0.10 m C/MATER. DE PRESTAMO ARENA GRUESA EN CONEXION DOMIC.,2.0,1.0,3.0,2022-08-03 00:00:00,nan,plumber,
50,1.3.5.3,02.05.03 RELLENO CON MATERIAL PROPIO SELESSIONADO APISONADO,1.0,0.5,1.5,2022-08-05 00:00:00,nan,mason,
51,1.3.5.4,02.05.04 RELLENO CON MATERIAL PROPIO SELESSIONADO COMPACTADO,1.0,0.5,1.5,2022-08-06 00:00:00,nan,team subcontractor[4.00 #8],
52,1.3.5.5,02.05.05 ELIMINACION DE MATERIAL EXCEDENTE,1.0,0.5,1.5,2022-08-08 00:00:00,nan,team subcontractor[4.00 #8],
53,1.3.5.6,02.05.06 SUMIN. E INSTAL. DE CONEX. DOMIC. AGUA INC. ASSES. PVC,3.0,1.0,5.0,2022-08-09 00:00:00,nan,mason,
