node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
4,1.1.1,CARTEL DE OBRA 3.60M X 2.40M,2.0,1.0,3.0,2023-08-01 00:00:00,nan,"plumber [1,00 #8]",
6,1.2.1,EQUIPO DE PROTECCION INDIVIDUAL,2.0,0.5,3.5,2023-08-03 00:00:00,nan,"plumber [1,00 #8]",
7,1.2.2,SEÑALIZACIÓN TEMPORAL DE SEGURIDAD,2.0,1.0,3.0,2023-08-05 00:00:00,nan,"carpenter [1,00 #8]",
9,1.3.1,"TRAZO, NIVELACION Y REPLANTEO",3.0,1.0,5.0,2023-08-06 00:00:00,nan,"carpenter [1,00 #8]",
11,1.4.1,"REFINE, NIVELACIÓN Y COMPACTACIÓN",4.0,2.0,6.0,2023-08-09 00:00:00,nan,"plumber [1,00 #8]",
13,1.5.1,SUMINISTRO Y COLOCACIÓN DE GRASS SINTETICO 30MM,15.0,10.0,20.0,2023-08-28 00:00:00,nan,"team subcontractor[2,00 #8]",
16,2.1.1,RELLENO COMPACTADO CON MATERIAL DE PRESTAMO,5.0,2.0,8.0,2023-08-21 00:00:00,nan,"plumber [1,00 #8]",
18,2.2.1,ENCOFRADO Y DESENCOFRADO EN RAMPAS,7.0,3.0,11.0,2023-08-14 00:00:00,nan,"mason [2,00 #8]",
19,2.2.2,CONCRETO PARA RAMPA F´C=175 KG/CM2,6.0,2.0,0.6,2023-08-30 00:00:00,nan,"team subcontractor[2,00 #8]",
20,2.2.3,ACERO DE REFUERZO F´Y = 4200 KG/CM2,4.0,2.0,6.0,2023-08-26 00:00:00,nan,"carpenter [1,00 #8]",
22,2.3.1,JUNTA EN RAMPAS,5.0,2.0,8.0,2023-09-05 00:00:00,nan,mason,
24,1.2.4.1,"PASAMANOS DE TUBO GALVANIZADO 2""",6.0,4.0,8.0,2023-09-05 00:00:00,nan,mason,
26,3.1,MESA PENTAGONAL R=60CM ALTO 48CM,2.0,1.0,3.0,2023-09-10 00:00:00,nan,"carpenter [1,00 #8]",
27,3.2,SILLAS 27CM ALTO X 32.20CM ANCHO CON ESPALDAR 52.35CM,2.0,1.0,3.0,2023-08-03 00:00:00,nan,"steel worker [1,00 #8]",
28,3.3,ESCRITORIO 100CMX75CMX60CM CON 02 CAJONES,2.0,1.0,3.0,2023-08-03 00:00:00,nan,painter,
29,3.4,SILLAS 46CM ALTO X 42.20CM ANCHO CON ESPALDAR 86CM,2.0,0.5,3.5,2023-08-03 00:00:00,nan,"carpenter [1,00 #8]",
31,4.1,"EQUIPO DE COMPUTO CORE I5 MEMORIA RAM 4GB MONITOR 23"" + IMPRESORA",1.0,0.5,1.5,2023-09-14 00:00:00,nan,"mason [2,00 #8]",
32,4.2,PARLANTE TORRE BLUETOOH 80 W,1.0,0.5,1.5,2023-09-12 00:00:00,nan,"team subcontractor[1,00 #8]",
33,4.3,"TV 45""",1.0,0.5,1.5,2023-09-12 00:00:00,nan,"mason [2,00 #8]",
