node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,PROJECT Emergency Department,578.375,578.375,578.375,2016-07-15 08:00:00,2018-02-13 17:00:00,,967878
1,1.1,indienen,0.375,0.37,0.38,2016-07-15 08:00:00,2016-07-15 17:00:00,,320
2,1.2,termijn,199.375,197.38,201.37,2016-07-15 08:00:00,2017-01-30 17:00:00,,0
3,1.3,prijsvraag studiebureau,70.375,69.67,71.08,2016-07-15 08:00:00,2016-09-23 17:00:00,,2000
4,1.4,gunning studiebureau,50.375,49.87,50.88,2016-09-26 08:00:00,2016-11-15 17:00:00,,10000
5,1.5,opstellen studiedossier,103.375,102.34,104.41,2016-11-16 08:00:00,2017-02-27 17:00:00,,38000
6,1.6,aanpassing ontwerp ifv budget,85.375,84.52,86.23,2017-02-28 08:00:00,2017-05-24 17:00:00,,8000
7,1.7,opstellen mockup + ontwerp box,19.375,19.18,19.57,2017-06-07 08:00:00,2017-06-26 17:00:00,,1000
8,1.8,afwerken lokaalfiches,19.375,19.18,19.57,2017-06-07 08:00:00,2017-06-26 17:00:00,,1000
9,1.9,"Voorbereiding grondwerken, fundering",116.375,115.21,117.54,2017-04-24 08:00:00,2017-08-18 17:00:00,,20000
10,1.1,"inrichten tijdelijk onthaal, triage,…",11.375,11.26,11.49,2017-08-07 08:00:00,2017-08-18 17:00:00,,5000
11,1.11,verhuis uitwijklocatie,0.375,0.37,0.38,2017-08-18 08:00:00,2017-08-18 17:00:00,,1000
12,1.12,afwerken dossier voor prijsaanvraag,0.375,0.37,0.38,2017-06-09 08:00:00,2017-06-09 17:00:00,,320
13,1.13,ontvangen offertes aannemer,11.375,11.26,11.49,2017-06-12 08:00:00,2017-06-23 17:00:00,,0
14,1.14,nazicht offerte,3.375,3.34,3.41,2017-06-26 08:00:00,2017-06-29 17:00:00,,1280
15,1.15,onderhandeling offertes,0.375,0.37,0.38,2017-06-30 08:00:00,2017-06-30 17:00:00,,320
16,1.16,bestelling werken,4.375,4.33,4.42,2017-07-03 08:00:00,2017-07-07 17:00:00,,320
17,1.17,Uitvoering,176.375,174.61,178.14,2017-08-21 08:00:00,2018-02-13 17:00:00,,879318
