node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Organizational Development,318.291666666667,315.11,321.47,2012-07-16 08:00:00,2013-05-30 15:00:00,,43170.15
85,1.1,Department A,115.375,114.22,116.53,2012-07-16 08:00:00,2012-11-08 17:00:00,,3516.15
1,1.1.1,Directieteam,0.0416666666666667,0.03,0.05,2012-07-16 08:00:00,2012-07-16 09:00:00,Personeel[0.80 #10],12.0
107,1.1.2,Directieteam extra,0.0416666666666667,0.03,0.05,2012-07-16 09:00:00,2012-07-16 10:00:00,Personeel[0.80 #10],123.0
2,1.1.3,Organisatorische oefening,49.0,39.2,58.8,2012-07-17 11:00:00,2012-09-04 11:00:00,Personeel[0.40 #10],1680.0
3,1.1.4,Opleiding,21.0,16.8,25.2,2012-09-04 11:00:00,2012-09-25 11:00:00,Personeel[0.60 #10],1080.0
108,1.1.5,Opleiding extra,0.0416666666666667,0.03,0.05,2012-09-25 11:00:00,2012-09-25 12:00:00,Personeel[0.60 #10],9.0
4,1.1.6,Testfase,35.0,28.0,42.0,2012-09-26 14:00:00,2012-10-31 14:00:00,Personeel[0.20 #10],600.0
5,1.1.7,Live,7.0,5.6,8.4,2012-10-31 14:00:00,2012-11-07 14:00:00,Personeel[0.01 #10],6.0
109,1.1.8,Live extra,0.0416666666666667,0.03,0.05,2012-11-07 14:00:00,2012-11-07 15:00:00,Personeel[0.01 #10],0.15
6,1.1.9,Optimalisatie/standaardisatie,0.0416666666666667,0.03,0.05,2012-11-08 16:00:00,2012-11-08 17:00:00,Personeel[0.40 #10],6.0
86,1.2,Department B,115.375,114.22,116.53,2012-09-04 08:00:00,2012-12-28 17:00:00,,3411.0
7,1.2.1,Directieteam,0.0416666666666667,0.03,0.05,2012-09-04 08:00:00,2012-09-04 09:00:00,Personeel[0.80 #10],12.0
110,1.2.2,Directieteam extra,0.0416666666666667,0.03,0.05,2012-09-04 09:00:00,2012-09-04 10:00:00,Personeel[0.80 #10],12.0
8,1.2.3,Organisatorische oefening,49.0,39.2,58.8,2012-09-05 11:00:00,2012-10-24 11:00:00,Personeel[0.40 #10],1680.0
111,1.2.4,Organisatorische oefening extra,0.0416666666666667,0.03,0.05,2012-10-24 11:00:00,2012-10-24 12:00:00,Personeel[0.40 #10],6.0
9,1.2.5,Opleiding,21.0,16.8,25.2,2012-10-25 14:00:00,2012-11-15 14:00:00,Personeel[0.60 #10],1080.0
112,1.2.6,Opleiding extra,0.0416666666666667,0.03,0.05,2012-11-15 14:00:00,2012-11-15 15:00:00,Personeel[0.60 #10],9.0
10,1.2.7,Testfase,35.0,28.0,42.0,2012-11-16 16:00:00,2012-12-21 16:00:00,Personeel[0.20 #10],600.0
11,1.2.8,Live,7.0,5.6,8.4,2012-12-21 16:00:00,2012-12-28 16:00:00,Personeel[0.01 #10],6.0
12,1.2.9,Live extra,0.0416666666666667,0.03,0.05,2012-12-28 16:00:00,2012-12-28 17:00:00,Personeel[0.40 #10],6.0
87,1.3,Department C,113.166666666667,112.04,114.3,2012-07-16 08:00:00,2012-11-06 12:00:00,,3390.0
13,1.3.1,Directieteam,0.0416666666666667,0.03,0.05,2012-07-16 08:00:00,2012-07-16 09:00:00,Personeel[0.80 #10],12.0
14,1.3.2,Organisatorische oefening,49.0,39.2,58.8,2012-07-16 09:00:00,2012-09-03 09:00:00,Personeel[0.40 #10],1680.0
113,1.3.3,Organisatorische oefening extra,0.0416666666666667,0.03,0.05,2012-09-03 09:00:00,2012-09-03 10:00:00,Personeel[0.40 #10],6.0
15,1.3.4,Opleiding,21.0,16.8,25.2,2012-09-04 11:00:00,2012-09-25 11:00:00,Personeel[0.60 #10],1080.0
16,1.3.5,Testfase,35.0,28.0,42.0,2012-09-25 11:00:00,2012-10-30 11:00:00,Personeel[0.20 #10],600.0
