node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
3.0,1.1.1,"OFICINAS, ALMACEN Y GUARDIANIA",2.0,2.0,2.0,2021-01-01 00:00:00,nan,"carpenter [1,00 #8]",
4.0,1.1.2,CARTEL DE OBRA 3.60M X 2.40M CON GIGANTOGRAFÍA,1.0,1.0,1.0,2021-01-03 00:00:00,nan,"plumber [1,00 #8]",
5.0,1.1.3,MOVILIZACIÓN Y DESMOVILIZACIÓN DE EQUIPOS Y MAQUINARIAS,2.0,2.0,2.0,2021-01-01 00:00:00,nan,"plumber [1,00 #8]",
7.0,2.1,IMPLEMENTOS DE SEGURIDAD INDIVIDUAL,5.0,5.0,5.0,2021-01-01 00:00:00,nan,"plumber [1,00 #8]",
8.0,2.2,IMPLEMENTOS DE SEGURIDAD COLECTIVA,5.0,5.0,5.0,2021-01-06 00:00:00,nan,"plumber [1,00 #8]",
9.0,2.3,SEÑALIZACION TEMPORAL DE SEGURIDAD,1.0,1.0,1.0,2021-01-11 00:00:00,nan,"carpenter [1,00 #8]",
10.0,2.4,ELABORACION Y ADMINISTRACION DEL PLAN DE SEGURIDAD Y SALUD OCUPACIONAL,1.0,1.0,1.0,2021-01-12 00:00:00,nan,"plumber [1,00 #8]",
14.0,3.1.1.1,DEMOLICION DE ESTRUCTURAS EXISTENTES,3.0,3.0,3.0,2021-03-22 00:00:00,nan,"plumber [1,00 #8]",
16.0,3.1.2.1,PICADO Y RETIRO DE PISO DE PIEDRA LAJA,3.0,3.0,3.0,2021-03-25 00:00:00,nan,"electrician [4,00 #8]",
17.0,3.1.2.2,PISO DE PIEDRA LAJA,3.0,3.0,3.0,2021-03-28 00:00:00,nan,"plumber [1,00 #8]",
18.0,3.1.2.3,TARRAJEO DE SARDINEL 1;5 E=1.50cm,1.0,1.0,1.0,2021-03-25 00:00:00,nan,"plumber [1,00 #8]",
19.0,3.1.2.4,DESMONTAJE DE BARANDA METALICA DE GRADAS,1.0,1.0,1.0,2021-03-25 00:00:00,nan,"plumber [1,00 #8]",
20.0,3.1.2.5,SUMINISTRO E INSTALACION DE BARANDA DE SEGURIDAD,2.0,2.0,2.0,2021-03-26 00:00:00,nan,"carpenter [1,00 #8]",
21.0,3.1.2.6,PINTURA LATEX LAVABLE A DOS MANOS EN MUROS EXTERIORES,3.0,3.0,3.0,2021-03-28 00:00:00,nan,"carpenter [1,00 #8]",
22.0,3.1.2.7,PINTURA DE BARANDAS METALICAS DE GRADAS,2.0,2.0,2.0,2021-03-28 00:00:00,nan,welder,
23.0,3.1.2.8,PINTURA LATEX EN SARDINEL,2.0,2.0,2.0,2021-03-30 00:00:00,nan,painter,
25.0,3.1.3.1,DESMONTAJE DE POSTE DE ALUMBRADO,2.0,2.0,2.0,2021-03-26 00:00:00,nan,"carpenter [1,00 #8]",
26.0,3.1.3.2,SUMINISTRO E INSTALACION DE POSTE DE ALUMBRADO,2.0,2.0,2.0,2021-03-28 00:00:00,nan,"carpenter [1,00 #8]",
27.0,3.1.3.3,SUMINISTRO E INSTALACION DE FAROLAS EN POSTES,2.0,2.0,2.0,2021-03-30 00:00:00,nan,"carpenter [1,00 #8]",
28.0,3.1.3.4,REPOSICION DE ALUMBRADO TIPO BRACKET,2.0,2.0,2.0,2021-03-30 00:00:00,nan,"welder[1,00 #8]",
