node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Brussels Finance Tower,594.375,588.43,600.32,2006-03-15 08:00:00,2007-10-30 17:00:00,,15440865.889679
1,1.1,Koningstraat,594.375,588.43,600.32,2006-03-15 08:00:00,2007-10-30 17:00:00,,15440865.889679
2,1.1.1,Werfinstallatie,594.375,475.5,713.25,2006-03-15 08:00:00,2007-10-30 17:00:00,,1850314.07470703
9,1.1.2,Beton,254.375,251.83,256.92,2006-04-10 08:00:00,2006-12-20 17:00:00,,2872078.28125
10,1.1.2.1,Verdiep +3,18.375,14.7,22.05,2006-06-15 08:00:00,2006-07-03 17:00:00,,255893.041015626
11,1.1.2.2,Verdiep +4,16.375,13.1,19.65,2006-06-27 08:00:00,2006-07-13 17:00:00,,255893.041015626
12,1.1.2.3,Verdiep +5,18.375,14.7,22.05,2006-08-04 08:00:00,2006-08-22 17:00:00,,255893.041015626
13,1.1.2.4,Verdiep +6,18.375,14.7,22.05,2006-09-11 08:00:00,2006-09-29 17:00:00,,255892.79296875
14,1.1.2.5,Verdiep +7,18.375,14.7,22.05,2006-09-25 08:00:00,2006-10-13 17:00:00,,255892.79296875
15,1.1.2.6,Verdiep +8,18.375,14.7,22.05,2006-10-09 08:00:00,2006-10-27 17:00:00,,255892.79296875
16,1.1.2.7,Verdiep +9,18.375,14.7,22.05,2006-10-23 08:00:00,2006-11-10 17:00:00,,191919.594726563
17,1.1.2.8,Verdiep +10,18.375,14.7,22.05,2006-11-06 08:00:00,2006-11-24 17:00:00,,191919.594726563
18,1.1.2.9,Verdiep +2,16.375,13.1,19.65,2006-06-05 08:00:00,2006-06-21 17:00:00,,255893.041015626
19,1.1.2.10,Verdiep +1,16.375,13.1,19.65,2006-05-22 08:00:00,2006-06-07 17:00:00,,255893.041015626
20,1.1.2.11,Verdiep glk,39.375,31.5,47.25,2006-04-10 08:00:00,2006-05-19 17:00:00,,383839.189453126
21,1.1.2.12,Buitentrappen (2 fazen),33.375,26.7,40.05,2006-11-17 08:00:00,2006-12-20 17:00:00,,57256.318359375
765,1.1.3,Gevels inbegrepen natuursteen (start = landmeter),214.375,171.5,257.25,2006-10-02 08:00:00,2007-05-04 17:00:00,,2756606.88476563
764,1.1.4,Gevels Wind & waterdicht +3 t/m +10,26.375,21.1,31.65,2007-03-02 08:00:00,2007-03-28 17:00:00,,376803.435546876
45,1.1.5,Technisch lokaal +10,23.375,23.14,23.61,2007-01-15 08:00:00,2007-02-07 17:00:00,,141518.001464844
46,1.1.5.1,Metselwerk,11.375,9.1,13.65,2007-01-15 08:00:00,2007-01-26 17:00:00,,134151.201171875
48,1.1.5.2,HVAC Groepen,2.375,1.9,2.85,2007-02-05 08:00:00,2007-02-07 17:00:00,,7366.80029296874
49,1.1.6,Dakdichting,161.375,159.76,162.99,2006-11-02 08:00:00,2007-04-12 17:00:00,,130114.799316406
50,1.1.6.1,Balkons : wachtslabben,8.375,6.7,10.05,2006-11-02 08:00:00,2006-11-10 17:00:00,,19697.439453125
51,1.1.6.2,Balkons: horizontaal definitief,4.375,3.5,5.25,2007-03-12 08:00:00,2007-03-16 17:00:00,,7951.59973144532
52,1.1.6.3,Boven Schachten,4.375,3.5,5.25,2007-01-29 08:00:00,2007-02-02 17:00:00,,16671.1999511719
53,1.1.6.4,"Metselwerk, helling, dampscherm, slabben",23.375,18.7,28.05,2007-01-08 08:00:00,2007-01-31 17:00:00,,39193.9189453125
54,1.1.6.5,"Helling, dampscherm, definitief",18.375,14.7,22.05,2007-01-29 08:00:00,2007-02-16 17:00:00,,22675.200805664
55,1.1.6.6,Definitief,29.375,23.5,35.25,2007-03-14 08:00:00,2007-04-12 17:00:00,,23925.4404296875
