node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Young Cattle Barn,180.375,178.57,182.18,2010-09-08 08:00:00,2011-03-07 17:00:00,,818439.991821289
1,1.1,Begin,0.625,0.5,0.75,2010-09-08 08:00:00,2010-09-07 17:00:00,,0.0
2,1.2,Werfinstallatie,13.375,10.7,16.05,2010-09-08 08:00:00,2010-09-21 17:00:00,,12659.259765625
3,1.3,Afbraak jongveestal,6.375,5.1,7.65,2010-09-08 08:00:00,2010-09-14 17:00:00,,7491.39013671875
31,1.4,Bijkomende sloopwerken,20.375,16.3,24.45,2010-09-08 08:00:00,2010-09-28 17:00:00,,22474.1796875
5,1.5,Omleggen elektrische kabel,0.375,0.3,0.45,2010-09-08 08:00:00,2010-09-08 17:00:00,,26412.580078125
6,1.6,Grondwerken,6.375,5.1,7.65,2010-09-15 08:00:00,2010-09-21 17:00:00,,14850.3095703125
7,1.7,Aanvulling afbraak jongveestal,6.375,5.1,7.65,2010-09-15 08:00:00,2010-09-21 17:00:00,,7491.39013671875
8,1.8,Plaatfundering-ondergronds,13.375,10.7,16.05,2010-09-22 08:00:00,2010-10-05 17:00:00,,31783.869140625
9,1.9,Funderingswanden,28.375,22.7,34.05,2010-10-06 08:00:00,2010-11-03 17:00:00,,118171.171875
10,1.1,Draagvloeren,15.375,12.3,18.45,2010-11-04 08:00:00,2010-11-19 17:00:00,,63201.19140625
11,1.11,Wederaanvulling-binnen,1.375,1.1,1.65,2010-11-22 08:00:00,2010-11-23 17:00:00,,437.869995117188
12,1.12,Plaatfundering op volle grond,6.375,5.1,7.65,2010-11-24 08:00:00,2010-11-30 17:00:00,,9987.6201171875
32,1.13,Betonnen binnenwanden,6.375,5.1,7.65,2010-12-01 08:00:00,2010-12-07 17:00:00,,3145.84008789063
14,1.14,Wederaanvulling-buiten,2.375,1.9,2.85,2010-12-01 08:00:00,2010-12-03 17:00:00,,6072.33984375
15,1.15,Structuurelementen-staal,4.375,3.5,5.25,2010-12-06 08:00:00,2010-12-10 17:00:00,,80027.828125
16,1.16,Structuurelementen-gewapend beton,4.375,3.5,5.25,2010-12-13 08:00:00,2010-12-17 17:00:00,,86174.0078125
33,1.17,Dakstructuur,6.375,5.1,7.65,2010-12-01 08:00:00,2010-12-07 17:00:00,,24820.109375
18,1.18,Dakwerken,28.375,22.7,34.05,2010-12-20 08:00:00,2011-01-17 17:00:00,,60579.80859375
19,1.19,"Buitenramen, -deuren, -poorten",13.375,10.7,16.05,2011-01-11 08:00:00,2011-01-24 17:00:00,,15649.669921875
20,1.2,Gevelbekledingen,13.375,10.7,16.05,2011-01-18 08:00:00,2011-01-31 17:00:00,,24598.51953125
34,1.21,Elektrische windzeilen,13.375,10.7,16.05,2011-02-01 08:00:00,2011-02-14 17:00:00,,7995.08984375
35,1.22,Poort melkveestal,20.375,16.3,24.45,2011-02-01 08:00:00,2011-02-21 17:00:00,,20107.6796875
23,1.23,Rioleringen,13.375,10.7,16.05,2011-01-25 08:00:00,2011-02-07 17:00:00,,35762.73828125
24,1.24,Omgevingswerken,27.375,21.9,32.85,2011-02-08 08:00:00,2011-03-07 17:00:00,,30891.08984375
26,1.25,Bedrijfsvloeren,6.375,5.1,7.65,2011-02-01 08:00:00,2011-02-07 17:00:00,,2350.36010742188
27,1.26,Hekkens,20.375,16.3,24.45,2011-02-08 08:00:00,2011-02-28 17:00:00,,58538.5390625
28,1.27,Sanitair,27.375,21.9,32.85,2011-02-08 08:00:00,2011-03-07 17:00:00,,45095.58984375
29,1.28,Brandbestrijding,27.375,21.9,32.85,2011-02-08 08:00:00,2011-03-07 17:00:00,,1669.94995117188
30,1.29,Einde,0.0,0.0,0.0,2011-03-07 17:00:00,2011-03-07 17:00:00,,0.0
